occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,off,off,1,1,1,1,True
2,101,101,101,,,Temps restant:  ,Temps restant:  ,2,2,1,1,True
3,102,102,102,,, secondes., secondes.,3,3,1,1,True
4,103,103,103,,,"Là, c'est la mort assurée.","Là, c'est la mort assurée.",4,4,1,1,True
5,104,104,104,,,off,off,5,5,1,1,True
6,105,105,105,,,on,on,6,6,1,1,True
7,106,106,106,,,off,off,7,7,1,1,True
8,107,107,107,,,Temps restant:  ,Temps restant:  ,8,8,1,1,True
9,108,108,108,,, secondes., secondes.,9,9,1,1,True
10,109,109,109,,,"Là, c'est la mort assurée.","Là, c'est la mort assurée.",10,10,1,1,True
11,110,110,110,,,Temps restant:  ,Temps restant:  ,11,11,1,1,True
12,111,111,111,,, secondes., secondes.,12,12,1,1,True
13,112,112,112,,,"Là, c'est la mort assurée.","Là, c'est la mort assurée.",13,13,1,1,True
