occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un homme battu.,Voici un homme battu.,1,1,1,1,True
2,101,101,101,,,"Merci! Je ne sais pas depuis combien de semaines, ou peut-être de mois, ces brutes me retiennent ici. Je te suis très reconnaissant de m'avoir aidé. Je suis sûr que la Confrérie de l'Acier doit l'être aussi.","Merci! Je ne sais pas depuis combien de semaines, ou peut-être de mois, ces brutes me retiennent ici. Je te suis très reconnaissant de m'avoir aidé. Je suis sûr que la Confrérie de l'Acier doit l'être aussi.",2,2,1,1,True
3,102,102,102,,,La Confrérie de l'Acier?,La Confrérie de l'Acier?,3,3,1,1,True
4,103,103,103,,,"Eh bien, ça m'a fait plaisir de t'aider.","Eh bien, ça m'a fait plaisir de t'aider.",4,4,1,1,True
5,104,104,104,,,Ça va aller?,Ça va aller?,5,5,1,1,True
6,105,105,105,,,Je viens de la Confrérie. Je te cherchais.,Je viens de la Confrérie. Je te cherchais.,6,6,1,1,True
7,106,106,106,,,Je t'en prie. Au revoir.,Je t'en prie. Au revoir.,7,7,1,1,True
8,107,107,107,,,Euh.,Euh.,8,8,1,1,True
9,108,108,108,,,"Tu n'as jamais entendu parler de nous? Ça m'étonne beaucoup. Tu ne dois pas t'éloigner très souvent du Centre. Tu as tort. Nous vivons au nord-ouest d'ici, sur le flanc ouest de la chaîne de montagnes.","Tu n'as jamais entendu parler de nous? Ça m'étonne beaucoup. Tu ne dois pas t'éloigner très souvent du Centre. Tu as tort. Nous vivons au nord-ouest d'ici, sur le flanc ouest de la chaîne de montagnes.",9,9,1,1,True
10,109,109,109,,,"J'apprécie vraiment ce que tu as fait pour moi, mais pourquoi me mens-tu? Tu crois que je ne connais pas tous les membres de notre ordre?","J'apprécie vraiment ce que tu as fait pour moi, mais pourquoi me mens-tu? Tu crois que je ne connais pas tous les membres de notre ordre?",10,10,1,1,True
11,110,110,110,,,C'est Talus qui m'envoie.,C'est Talus qui m'envoie.,11,11,1,1,True
12,111,111,111,,,"Eh bien, tu ne me connais pas, je viens de rejoindre la Confrérie.","Eh bien, tu ne me connais pas, je viens de rejoindre la Confrérie.",12,12,1,1,True
13,112,112,112,,,Je crois que tu ne sais pas de quoi tu parles.,Je crois que tu ne sais pas de quoi tu parles.,13,13,1,1,True
14,113,113,113,,,"Merci encore! Si tu passes par la Confrérie, j'apprécierais que tu dises à Talus que je vais bien. Il doit s'inquiéter. Au revoir et prends soin de toi.","Merci encore! Si tu passes par la Confrérie, j'apprécierais que tu dises à Talus que je vais bien. Il doit s'inquiéter. Au revoir et prends soin de toi.",14,14,1,1,True
15,114,114,114,,,"Oh, tout ira bien maintenant, merci. Des amis ici m'hébergeront le temps que je reprenne des forces. J'essaierai de prévenir la Confrérie que je suis hors de danger, grâce à toi. Au revoir.","Oh, tout ira bien maintenant, merci. Des amis ici m'hébergeront le temps que je reprenne des forces. J'essaierai de prévenir la Confrérie que je suis hors de danger, grâce à toi. Au revoir.",15,15,1,1,True
16,115,115,115,,,"Comment... Oh, excuse-moi. Tu as dû passer le 'test' des Anciens. J'avais complètement oublié ça. Eh bien, mes remerciements n'en sont que plus sincères. Merci de n'avoir jamais abandonné. Ma vie ne tenait qu'à un fil. Il a dû te falloir du temps pour retrouver ma trace. La ville est grande. Tu as dû rencontrer bien des obstacles.","Comment... Oh, excuse-moi. Tu as dû passer le 'test' des Anciens. J'avais complètement oublié ça. Eh bien, mes remerciements n'en sont que plus sincères. Merci de n'avoir jamais abandonné. Ma vie ne tenait qu'à un fil. Il a dû te falloir du temps pour retrouver ma trace. La ville est grande. Tu as dû rencontrer bien des obstacles.",16,16,1,1,True
17,116,116,116,,,"Eh bien, tu sais... J'ai du talent pour ça.","Eh bien, tu sais... J'ai du talent pour ça.",17,17,1,1,True
18,117,117,117,,,"En fait, ça a été plutôt facile. Talus connaissait ta destination.","En fait, ça a été plutôt facile. Talus connaissait ta destination.",18,18,1,1,True
19,118,118,118,,,Je crois que j'ai eu de la chance.,Je crois que j'ai eu de la chance.,19,19,1,1,True
20,119,119,119,,,"Eh bien, je t'en prie. Ça me fait plaisir de t'avoir trouvé.","Eh bien, je t'en prie. Ça me fait plaisir de t'avoir trouvé.",20,20,1,1,True
21,120,120,120,,,"Oh... Eh bien, merci beaucoup.","Oh... Eh bien, merci beaucoup.",21,21,1,1,True
22,121,121,121,,,Je suppose. Tu as fait du bon travail.,Je suppose. Tu as fait du bon travail.,22,22,1,1,True
23,122,122,122,,,"Eh bien, ça me fait plaisir de t'avoir aidé.","Eh bien, ça me fait plaisir de t'avoir aidé.",23,23,1,1,True
24,123,123,123,,,Ça va aller?,Ça va aller?,24,24,1,1,True
