occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Bonjour, en quoi je peux t'aider?","Bonjour, en quoi je peux t'aider?",1,1,1,1,True
2,101,101,101,,,Qui es-tu?,Qui es-tu?,2,2,1,1,True
3,102,102,102,,,Es-tu le chef de ce gang?,Es-tu le chef de ce gang?,3,3,1,1,True
4,103,103,103,,,Peu importe.,Peu importe.,4,4,1,1,True
5,104,104,104,,,Un... quoi?,Un... quoi?,5,5,1,1,True
6,105,105,105,,,On m'appelle Razor... Je suis ce qu'on pourrait appeler le chef.,On m'appelle Razor... Je suis ce qu'on pourrait appeler le chef.,6,6,1,1,True
7,106,106,106,,,"Alors, t'es le chef de ce gang?","Alors, t'es le chef de ce gang?",7,7,1,1,True
8,107,107,107,,,Qu'est-ce que c'est que cette histoire de Secteur clos au sud?,Qu'est-ce que c'est que cette histoire de Secteur clos au sud?,8,8,1,1,True
9,108,108,108,,,Un vrai plaisir de te rencontrer! Je m'appelle ,Un vrai plaisir de te rencontrer! Je m'appelle ,9,9,1,1,True
10,109,109,109,,,Un vrai plaisir de te rencontrer! Mais faut que j'y aille.,Un vrai plaisir de te rencontrer! Mais faut que j'y aille.,10,10,1,1,True
11,110,110,110,,,"Un gang? Pas vraiment, non. Mais c'est moi le chef ici.","Un gang? Pas vraiment, non. Mais c'est moi le chef ici.",11,11,1,1,True
12,111,111,111,,,"Si vous êtes pas un gang, alors vous êtes quoi?","Si vous êtes pas un gang, alors vous êtes quoi?",12,12,1,1,True
13,112,112,112,,,"Euh, pour moi, vous avez tout d'un gang.","Euh, pour moi, vous avez tout d'un gang.",13,13,1,1,True
14,113,113,113,,,Au revoir,Au revoir,14,14,1,1,True
15,114,114,114,,,"C'est le Sanctuaire. Un camp d'esclaves dirigé par une bande appelée les Régulateurs... mais ils disent partout que c'est une ""ville"". Ils n'arrêtent pas de venir ici pour emmener les nôtres et les faire mourir à la tâche.","C'est le Sanctuaire. Un camp d'esclaves dirigé par une bande appelée les Régulateurs... mais ils disent partout que c'est une ""ville"". Ils n'arrêtent pas de venir ici pour emmener les nôtres et les faire mourir à la tâche.",15,15,1,1,True
16,115,115,115,,,Vous pouvez pas y faire une descente pour libérer les vôtres?,Vous pouvez pas y faire une descente pour libérer les vôtres?,16,16,1,1,True
17,116,116,116,,,"Mais, je sais pas pourquoi je te parle! C'est avec ces mecs que je dois m'associer.","Mais, je sais pas pourquoi je te parle! C'est avec ces mecs que je dois m'associer.",17,17,1,1,True
18,117,117,117,,,Je vais voir ce que je peux apprendre sur le Sanctuaire. Salut.,Je vais voir ce que je peux apprendre sur le Sanctuaire. Salut.,18,18,1,1,True
19,118,118,118,,,"Alors, que viens-tu faire dans ce coin du désert?","Alors, que viens-tu faire dans ce coin du désert?",19,19,1,1,True
20,119,119,119,,,Je cherche une Puce d'eau. Tu sais où je peux en trouver?,Je cherche une Puce d'eau. Tu sais où je peux en trouver?,20,20,1,1,True
21,120,120,120,,,Je parcours le monde.,Je parcours le monde.,21,21,1,1,True
22,121,121,121,,,J'admire le paysage. Salut.,J'admire le paysage. Salut.,22,22,1,1,True
23,122,122,122,,,On essaie seulement de survivre. Le Sanctuaire nous a mis dans cette position. Ils nous dominent et nous traitent comme des bêtes. Et même pas moyen de nous défendre.,On essaie seulement de survivre. Le Sanctuaire nous a mis dans cette position. Ils nous dominent et nous traitent comme des bêtes. Et même pas moyen de nous défendre.,23,23,1,1,True
24,123,123,123,,,Pourquoi vous luttez pas contre eux?,Pourquoi vous luttez pas contre eux?,24,24,1,1,True
25,124,124,124,,,Vous défendre contre qui?,Vous défendre contre qui?,25,25,1,1,True
26,125,125,125,,,"Oh, les gens du Sanctuaire sont plus forts et plus intelligents que vous; c'est leur droit d'exploiter les faibles.","Oh, les gens du Sanctuaire sont plus forts et plus intelligents que vous; c'est leur droit d'exploiter les faibles.",26,26,1,1,True
27,126,126,126,,,Je vais voir aux alentours ce que je peux découvrir. Salut.,Je vais voir aux alentours ce que je peux découvrir. Salut.,27,27,1,1,True
28,127,127,127,,,"Ah, si seulement on était un gang! Au moins, on aurait des armes convenables pour se défendre.","Ah, si seulement on était un gang! Au moins, on aurait des armes convenables pour se défendre.",28,28,1,1,True
29,128,128,128,,,Vous défendre contre qui?,Vous défendre contre qui?,29,29,1,1,True
30,129,129,129,,,"Ouais, je suis pas dupe! Vous êtes juste une bande de dégénérés, prêts à faire le mal.","Ouais, je suis pas dupe! Vous êtes juste une bande de dégénérés, prêts à faire le mal.",30,30,1,1,True
31,130,130,130,,,"Pour moi, vous avez tout d'un gang.","Pour moi, vous avez tout d'un gang.",31,31,1,1,True
32,131,131,131,,,"Ah, là-dessus, je peux pas t'aider.","Ah, là-dessus, je peux pas t'aider.",32,32,1,1,True
33,132,132,132,,,Qu'est-ce que c'est que cette histoire de Secteur clos au sud?,Qu'est-ce que c'est que cette histoire de Secteur clos au sud?,33,33,1,1,True
34,133,133,133,,,Es-tu le chef de ce gang?,Es-tu le chef de ce gang?,34,34,1,1,True
