occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici un Régulateur, l'un des gardes du Sanctuaire.","Voici un Régulateur, l'un des gardes du Sanctuaire.",1,1,1,1,True
2,101,101,101,,,,,2,2,1,1,True
3,102,102,102,,,"Tant que tu seras dans le coin, évite d'utiliser tes armes.","Tant que tu seras dans le coin, évite d'utiliser tes armes.",3,3,1,1,True
4,103,103,103,,,"Bienvenue au Sanctuaire. Mais attention, nous te surveillerons.","Bienvenue au Sanctuaire. Mais attention, nous te surveillerons.",4,4,1,1,True
5,104,104,104,,,Je voudrais entrer.,Je voudrais entrer.,5,5,1,1,True
6,105,105,105,,,Puis-je te poser quelques questions?,Puis-je te poser quelques questions?,6,6,1,1,True
7,106,106,106,,,Euhhh...,Euhhh...,7,7,1,1,True
8,107,107,107,,,"Zimmerman a peut-être quelque chose pour toi. Entre, mais n'oublie pas que nous te surveillons.","Zimmerman a peut-être quelque chose pour toi. Entre, mais n'oublie pas que nous te surveillons.",8,8,1,1,True
9,108,108,108,,,Tu es de retour! Tes visites sont toujours les bienvenues.,Tu es de retour! Tes visites sont toujours les bienvenues.,9,9,1,1,True
10,109,109,109,,,N'as-tu pas un travail à faire? Reviens ici lorsque ce sera fait.,N'as-tu pas un travail à faire? Reviens ici lorsque ce sera fait.,10,10,1,1,True
11,110,110,110,,,Va t'en!,Va t'en!,11,11,1,1,True
12,111,111,111,,,Que veux-tu savoir?,Que veux-tu savoir?,12,12,1,1,True
13,112,112,112,,,Je voudrais entrer.,Je voudrais entrer.,13,13,1,1,True
14,113,113,113,,,,,14,14,1,1,True
15,114,114,114,,,Rien. Merci.,Rien. Merci.,15,15,1,1,True
16,115,115,115,,,,,16,16,1,1,True
17,116,116,116,,,Non.,Non.,17,17,1,1,True
18,117,117,117,,,Que veux-tu savoir?,Que veux-tu savoir?,18,18,1,1,True
19,118,118,118,,,Que fais-tu ici?,Que fais-tu ici?,19,19,1,1,True
20,119,119,119,,,Peux-tu m'en dire plus sur le Cimetière?,Peux-tu m'en dire plus sur le Cimetière?,20,20,1,1,True
21,120,120,120,,,Comment puis-je entrer?,Comment puis-je entrer?,21,21,1,1,True
22,121,121,121,,,Que sais-tu sur les Enfants de la Cathédrale et sur les Disciples de l'Apocalypse?,Que sais-tu sur les Enfants de la Cathédrale et sur les Disciples de l'Apocalypse?,22,22,1,1,True
23,122,122,122,,,"Rien, merci.","Rien, merci.",23,23,1,1,True
24,123,123,123,,,"Je suis un Régulateur. Notre travail consiste à maintenir la paix au Sanctuaire et à protéger la ville. Notre chef, Caleb, pourra peut-être t'en dire plus.","Je suis un Régulateur. Notre travail consiste à maintenir la paix au Sanctuaire et à protéger la ville. Notre chef, Caleb, pourra peut-être t'en dire plus.",24,24,1,1,True
25,124,124,124,,,"Les Disciples vivent à l'est d'ici. C'est une bande de pacifistes un peu fous. A l'est, il y a les Ecorcheurs; une bande de pauv'types si tu veux mon avis. Au sud se trouve la Cathédrale, le centre religieux des Enfants.","Les Disciples vivent à l'est d'ici. C'est une bande de pacifistes un peu fous. A l'est, il y a les Ecorcheurs; une bande de pauv'types si tu veux mon avis. Au sud se trouve la Cathédrale, le centre religieux des Enfants.",25,25,1,1,True
26,125,125,125,,,Désolé mais nous devons nous méfier des étrangers. C'est trop dangereux. Peut-être pourrais-tu travailler pour Zimmerman?,Désolé mais nous devons nous méfier des étrangers. C'est trop dangereux. Peut-être pourrais-tu travailler pour Zimmerman?,26,26,1,1,True
27,126,126,126,,,Termine ton travail.,Termine ton travail.,27,27,1,1,True
28,127,127,127,,,Tes visites sont toujours les bienvenues!,Tes visites sont toujours les bienvenues!,28,28,1,1,True
29,128,128,128,,,Deux bandes de cinglés. Les Disciples prêchent pour la paix et le bonheur. Ils ne se rendent pas compte que le monde est bien trop dur pour ça.,Deux bandes de cinglés. Les Disciples prêchent pour la paix et le bonheur. Ils ne se rendent pas compte que le monde est bien trop dur pour ça.,29,29,1,1,True
