occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici Saul, le boxeur.","Voici Saul, le boxeur.",1,1,1,1,True
2,101,101,101,,,Voici un homme robuste et musclé.,Voici un homme robuste et musclé.,2,2,1,1,True
3,102,102,102,,,Sa musculature s'est développée au fil des années de combats et sa stature agile est caractéristique d'un boxeur confirmé.,Sa musculature s'est développée au fil des années de combats et sa stature agile est caractéristique d'un boxeur confirmé.,3,3,1,1,True
4,103,103,103,,,"Oh! Eh bien, bonne chance.","Oh! Eh bien, bonne chance.",4,4,1,1,True
5,104,104,104,,,"Ce n'est ni le lieu ni le moment pour utiliser des armes. Mais si tu veux m'affronter un jour sur un ring, pas de problème!","Ce n'est ni le lieu ni le moment pour utiliser des armes. Mais si tu veux m'affronter un jour sur un ring, pas de problème!",5,5,1,1,True
6,105,105,105,,,Que veux-tu?,Que veux-tu?,6,6,1,1,True
7,106,106,106,,,Oui?,Oui?,7,7,1,1,True
8,107,107,107,,,Que fais-tu ici?,Que fais-tu ici?,8,8,1,1,True
9,108,108,108,,,"Un type robuste, hein? Je parie que je pourrais te battre.","Un type robuste, hein? Je parie que je pourrais te battre.",9,9,1,1,True
10,109,109,109,,,Je m'appelle ,Je m'appelle ,10,10,1,1,True
11,110,110,110,,,. Je jetais juste un oeil.,. Je jetais juste un oeil.,11,11,1,1,True
12,111,111,111,,,[Saul rit de bon coeur.] Je suis boxeur!,[Saul rit de bon coeur.] Je suis boxeur!,12,12,1,1,True
13,112,112,112,,,"Ah, je pourrais te botter le train.","Ah, je pourrais te botter le train.",13,13,1,1,True
14,113,113,113,,,Hmm. Alors?,Hmm. Alors?,14,14,1,1,True
15,114,114,114,,,"Euh, non merci.","Euh, non merci.",15,15,1,1,True
16,115,115,115,,,Saul est inconscient.,Saul est inconscient.,16,16,1,1,True
17,116,116,116,,,,,17,17,1,1,True
18,117,117,117,,,,,18,18,1,1,True
19,118,118,118,,,,,19,19,1,1,True
20,119,119,119,,,,,20,20,1,1,True
21,120,120,120,,,,,21,21,1,1,True
22,121,121,121,,,,,22,22,1,1,True
23,122,122,122,,,,,23,23,1,1,True
24,123,123,123,,,,,24,24,1,1,True
25,124,124,124,,, [Saul rit de bon coeur.], [Saul rit de bon coeur.],25,25,1,1,True
26,125,125,125,,, [Saul rit d'un air menaçant.], [Saul rit d'un air menaçant.],26,26,1,1,True
27,126,126,126,,,Très bien. Ça ne devrait pas être bien long.,Très bien. Ça ne devrait pas être bien long.,27,27,1,1,True
28,127,127,127,,,Vas-y ou tais-toi.,Vas-y ou tais-toi.,28,28,1,1,True
29,128,128,128,,,"Eh bien, si tu cherchais quelqu'un pour te refaire le portrait, tu l'as trouvé.","Eh bien, si tu cherchais quelqu'un pour te refaire le portrait, tu l'as trouvé.",29,29,1,1,True
30,129,129,129,,,Je m'appelle Saul.,Je m'appelle Saul.,30,30,1,1,True
31,130,130,130,,,"Euh, non merci. Puis-je te poser quelques questions?","Euh, non merci. Puis-je te poser quelques questions?",31,31,1,1,True
32,131,131,131,,,"Alors, tu vis à Dépôtville depuis longtemps?","Alors, tu vis à Dépôtville depuis longtemps?",32,32,1,1,True
33,132,132,132,,,"Eh bien, ça m'a fait plaisir de te rencontrer. À plus tard.","Eh bien, ça m'a fait plaisir de te rencontrer. À plus tard.",33,33,1,1,True
34,133,133,133,,,Oui.,Oui.,34,34,1,1,True
35,134,134,134,,,J'y ai toujours vécu. J'y ai grandi.,J'y ai toujours vécu. J'y ai grandi.,35,35,1,1,True
36,135,135,135,,,Que peux-tu me dire sur Dépôtville?,Que peux-tu me dire sur Dépôtville?,36,36,1,1,True
37,136,136,136,,,Comment es-tu devenu boxeur?,Comment es-tu devenu boxeur?,37,37,1,1,True
38,137,137,137,,,"Hmm. Eh bien, je travaille pour Gizmo. C'est le propriétaire du grand casino, là-bas. Les combats rapportent bien ici! Que veux-tu savoir d'autre?","Hmm. Eh bien, je travaille pour Gizmo. C'est le propriétaire du grand casino, là-bas. Les combats rapportent bien ici! Que veux-tu savoir d'autre?",38,38,1,1,True
39,138,138,138,,,Qu'y a-t-il à faire ici?,Qu'y a-t-il à faire ici?,39,39,1,1,True
40,139,139,139,,,Peux-tu m'en dire un peu plus sur Gizmo et sur ce casino?,Peux-tu m'en dire un peu plus sur Gizmo et sur ce casino?,40,40,1,1,True
41,140,140,140,,,Je boxe depuis plusieurs années.,Je boxe depuis plusieurs années.,41,41,1,1,True
42,141,141,141,,,"Je me bagarrais toujours avec mes frères quand j'étais petit. Un jour, une petite bande de pillards a attaqué Dépôtville, et j'ai réussi à en battre un avant qu'il ne pointe son arme sur moi. Par chance, Gizmo parrainait des combats de boxe, et j'avais besoin d'argent. Depuis, je boxe en professionnel.","Je me bagarrais toujours avec mes frères quand j'étais petit. Un jour, une petite bande de pillards a attaqué Dépôtville, et j'ai réussi à en battre un avant qu'il ne pointe son arme sur moi. Par chance, Gizmo parrainait des combats de boxe, et j'avais besoin d'argent. Depuis, je boxe en professionnel.",42,42,1,1,True
43,142,142,142,,,Qu'est-il arrivé à tes frères?,Qu'est-il arrivé à tes frères?,43,43,1,1,True
44,143,143,143,,,"Alors, qu'y a-t-il à faire dans cette ville?","Alors, qu'y a-t-il à faire dans cette ville?",44,44,1,1,True
45,144,144,144,,,Peux-tu me parler de ton chef?,Peux-tu me parler de ton chef?,45,45,1,1,True
46,145,145,145,,,"Si tu as besoin de provisions, tu peux te rendre au magasin de Killian Darkwater, au sud-est d'ici. Si tu cherches une chambre pour la nuit, va à la Pieuterie, juste à côté. Et si tu envisages de séjourner ici quelque temps, tu peux aller prendre un verre au Skum Pitt. Mais attention aux Skulz!","Si tu as besoin de provisions, tu peux te rendre au magasin de Killian Darkwater, au sud-est d'ici. Si tu cherches une chambre pour la nuit, va à la Pieuterie, juste à côté. Et si tu envisages de séjourner ici quelque temps, tu peux aller prendre un verre au Skum Pitt. Mais attention aux Skulz!",46,46,1,1,True
47,146,146,146,,,Qui sont les Skulz?,Qui sont les Skulz?,47,47,1,1,True
48,147,147,147,,,Parle-moi du casino.,Parle-moi du casino.,48,48,1,1,True
