occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Tu remarques une caméra de sécurité apparemment en fonctionnement.,Tu remarques une caméra de sécurité apparemment en fonctionnement.,1,1,1,1,True
2,101,101,101,,,Tu remarques des armes à feu dissimulées qui suivent tes mouvements.,Tu remarques des armes à feu dissimulées qui suivent tes mouvements.,2,2,1,1,True
3,102,102,102,,,"Des armes cachées ouvrent le feu! En te tordant et en te faufilant, tu parviens à éviter les balles!","Des armes cachées ouvrent le feu! En te tordant et en te faufilant, tu parviens à éviter les balles!",3,3,1,1,True
4,103,103,103,,,"Des armes cachées ouvrent le feu! En te tordant et en essayant d'esquiver les tirs, une balle t'érafle.","Des armes cachées ouvrent le feu! En te tordant et en essayant d'esquiver les tirs, une balle t'érafle.",4,4,1,1,True
5,104,104,104,,,Tu as subi ,Tu as subi ,5,5,1,1,True
6,105,105,105,,, de dégât., de dégât.,6,6,1,1,True
7,106,106,106,,,"Des armes cachées ouvrent le feu! Dans la panique, tu trébuches et tu tombes, mais tes blessures sont bénignes.","Des armes cachées ouvrent le feu! Dans la panique, tu trébuches et tu tombes, mais tes blessures sont bénignes.",7,7,1,1,True
8,107,107,107,,,Tu as subi ,Tu as subi ,8,8,1,1,True
9,108,108,108,,, de dégât., de dégât.,9,9,1,1,True
10,109,109,109,,,Des armes cachées ouvrent le feu! Une balle te touche!,Des armes cachées ouvrent le feu! Une balle te touche!,10,10,1,1,True
11,110,110,110,,,Tu as subi ,Tu as subi ,11,11,1,1,True
12,111,111,111,,, de dégât., de dégât.,12,12,1,1,True
