occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un mur.,Voici un mur.,1,1,1,1,True
2,101,101,101,,,Ce pan de mur a quelque chose d'étrange.,Ce pan de mur a quelque chose d'étrange.,2,2,1,1,True
3,102,102,102,,,Voici une porte coulissante.,Voici une porte coulissante.,3,3,1,1,True
4,103,103,103,,,La porte est verrouillée.,La porte est verrouillée.,4,4,1,1,True
5,104,104,104,,,Tu désamorces le piège de la porte.,Tu désamorces le piège de la porte.,5,5,1,1,True
6,105,105,105,,, détecte un piège sur la porte., détecte un piège sur la porte.,6,6,1,1,True
7,106,106,106,,,Tu détectes un piège sur la porte.,Tu détectes un piège sur la porte.,7,7,1,1,True
8,107,107,107,,,Rien ne se passe.,Rien ne se passe.,8,8,1,1,True
9,108,108,108,,,La porte est déjà déverrouillée.,La porte est déjà déverrouillée.,9,9,1,1,True
10,109,109,109,,,Tu brises ton passe-partout sur ce verrou difficile.,Tu brises ton passe-partout sur ce verrou difficile.,10,10,1,1,True
11,110,110,110,,,Tu ne parviens pas à crocheter le verrou.,Tu ne parviens pas à crocheter le verrou.,11,11,1,1,True
12,111,111,111,,,Tu crochètes le verrou de la porte.,Tu crochètes le verrou de la porte.,12,12,1,1,True
13,112,112,112,,,Ce verrou est encore trop difficile à ouvrir pour toi.,Ce verrou est encore trop difficile à ouvrir pour toi.,13,13,1,1,True
14,113,113,113,,,Tu remarques un piège hautement explosif sur la porte verrouillée.,Tu remarques un piège hautement explosif sur la porte verrouillée.,14,14,1,1,True
15,114,114,114,,,Tu remarques un piège hautement explosif sur la porte.,Tu remarques un piège hautement explosif sur la porte.,15,15,1,1,True
16,115,115,115,,,Tu remarques un piège sur la porte verrouillée.,Tu remarques un piège sur la porte verrouillée.,16,16,1,1,True
17,116,116,116,,,Tu remarques un piège sur la porte.,Tu remarques un piège sur la porte.,17,17,1,1,True
18,117,117,117,,,Tu ne remarques rien de spécial sur cette porte verrouillée.,Tu ne remarques rien de spécial sur cette porte verrouillée.,18,18,1,1,True
19,118,118,118,,,Tu ne remarques rien de spécial sur cette porte.,Tu ne remarques rien de spécial sur cette porte.,19,19,1,1,True
