occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici Sid, l'assistant de Beth.","Voici Sid, l'assistant de Beth.",1,1,1,1,True
2,101,101,101,,,Bonjour.,Bonjour.,2,2,1,1,True
3,102,102,102,,,"Bonjour, monsieur!","Bonjour, monsieur!",3,3,1,1,True
4,103,103,103,,,"Bonjour, madame!","Bonjour, madame!",4,4,1,1,True
5,104,104,104,,,Bonsoir.,Bonsoir.,5,5,1,1,True
6,105,105,105,,,"Je sais, je sais... [chuchotement] elle parle beaucoup, tu ne trouves pas?","Je sais, je sais... [chuchotement] elle parle beaucoup, tu ne trouves pas?",6,6,1,1,True
7,106,106,106,,,Bienvenue à l'Armurerie et au Moulin à Rumeurs de Beth.,Bienvenue à l'Armurerie et au Moulin à Rumeurs de Beth.,7,7,1,1,True
8,107,107,107,,,"Beth, il y a quelqu'un pour toi.","Beth, il y a quelqu'un pour toi.",8,8,1,1,True
9,108,108,108,,,Bienvenue au Palais des Plaisirs de Beth.,Bienvenue au Palais des Plaisirs de Beth.,9,9,1,1,True
10,109,109,109,,,As-tu apporté des cadeaux?,As-tu apporté des cadeaux?,10,10,1,1,True
11,110,110,110,,,[chuchotement] Ne te confie pas à elle si tu ne veux pas que toute la ville soit au courant.,[chuchotement] Ne te confie pas à elle si tu ne veux pas que toute la ville soit au courant.,11,11,1,1,True
12,111,111,111,,,Encore?,Encore?,12,12,1,1,True
13,112,112,112,,,Des armes gratuites! Viens les prendre!,Des armes gratuites! Viens les prendre!,13,13,1,1,True
14,113,113,113,,,Le bleu clair spécial se trouve dans l'allée trois.,Le bleu clair spécial se trouve dans l'allée trois.,14,14,1,1,True
15,114,114,114,,,"Elle est à moi, alors laisse tomber!","Elle est à moi, alors laisse tomber!",15,15,1,1,True
16,115,115,115,,,Elle aime se faire désirer.,Elle aime se faire désirer.,16,16,1,1,True
17,116,116,116,,,Pause petit déjeuner.,Pause petit déjeuner.,17,17,1,1,True
18,117,117,117,,,Pause déjeuner!,Pause déjeuner!,18,18,1,1,True
19,118,118,118,,,Bonsoir.,Bonsoir.,19,19,1,1,True
20,119,119,119,,,"C'est une belle combinaison bleue, hein? Le 13 est-il ton chiffre porte-bonheur?","C'est une belle combinaison bleue, hein? Le 13 est-il ton chiffre porte-bonheur?",20,20,1,1,True
21,120,120,120,,,"Oh, c'est un homme mystérieux!","Oh, c'est un homme mystérieux!",21,21,1,1,True
22,121,121,121,,,"Oh, c'est une femme mystérieuse!","Oh, c'est une femme mystérieuse!",22,22,1,1,True
23,122,122,122,,,Lis-tu les lignes de la main?,Lis-tu les lignes de la main?,23,23,1,1,True
24,123,123,123,,,"Oh, Beth adore le cuir!","Oh, Beth adore le cuir!",24,24,1,1,True
25,124,124,124,,,"Eh trésor, achète son blouson de cuir pour moi.","Eh trésor, achète son blouson de cuir pour moi.",25,25,1,1,True
26,125,125,125,,,"Eh trésor, achète son blouson de cuir pour moi.","Eh trésor, achète son blouson de cuir pour moi.",26,26,1,1,True
27,126,126,126,,,Belle armure!,Belle armure!,27,27,1,1,True
28,127,127,127,,,C'est du camouflage. Attends! Où vas-tu?,C'est du camouflage. Attends! Où vas-tu?,28,28,1,1,True
29,128,128,128,,,"Eh, cet équipement semble redoutable!","Eh, cet équipement semble redoutable!",29,29,1,1,True
30,129,129,129,,,Non!,Non!,30,30,1,1,True
31,130,130,130,,,Eh! C'est la boîte en métal! Comment vas-tu?,Eh! C'est la boîte en métal! Comment vas-tu?,31,31,1,1,True
