occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici La Forge.,Voici La Forge.,1,1,1,1,True
2,101,101,101,,,Voici un homme grand et musclé.,Voici un homme grand et musclé.,2,2,1,1,True
3,102,102,102,,,Bonjour. Que puis-je pour toi?,Bonjour. Que puis-je pour toi?,3,3,1,1,True
4,103,103,103,,,Que veux-tu?,Que veux-tu?,4,4,1,1,True
5,104,104,104,,,Puis-je te demander ton nom?,Puis-je te demander ton nom?,5,5,1,1,True
6,105,105,105,,,Je voudrais que tu m'arranges ces pièces pour réparer vos fermes hydroponiques.,Je voudrais que tu m'arranges ces pièces pour réparer vos fermes hydroponiques.,6,6,1,1,True
7,106,106,106,,,Je voudrais acheter quelque chose.,Je voudrais acheter quelque chose.,7,7,1,1,True
8,107,107,107,,,Puis-je te poser quelques questions?,Puis-je te poser quelques questions?,8,8,1,1,True
9,108,108,108,,,"Rien, merci. A bientôt.","Rien, merci. A bientôt.",9,9,1,1,True
10,109,109,109,,,Euhhh...,Euhhh...,10,10,1,1,True
11,110,110,110,,,"Je te conseille d'aller voir au magasin de Tine, juste à côté des portes. En fait, je ne vends rien ici; je traite uniquement avec Tine ou avec les marchands du Centre.","Je te conseille d'aller voir au magasin de Tine, juste à côté des portes. En fait, je ne vends rien ici; je traite uniquement avec Tine ou avec les marchands du Centre.",11,11,1,1,True
12,111,111,111,,,"Tout le monde m'appelle ""La Forge"". Je suis le forgeron local.","Tout le monde m'appelle ""La Forge"". Je suis le forgeron local.",12,12,1,1,True
13,112,112,112,,,Renseigne-toi ailleurs.,Renseigne-toi ailleurs.,13,13,1,1,True
14,113,113,113,,,D'où vient le matériel de ton atelier?,D'où vient le matériel de ton atelier?,14,14,1,1,True
15,114,114,114,,,Que fais-tu ici?,Que fais-tu ici?,15,15,1,1,True
16,115,115,115,,,Peux-tu fabriquer des armes et des munitions?,Peux-tu fabriquer des armes et des munitions?,16,16,1,1,True
17,116,116,116,,,"Rien d'autre, merci.","Rien d'autre, merci.",17,17,1,1,True
18,117,117,117,,,"Excuse-moi, je ne peux rien pour toi. Va voir Zimmerman.","Excuse-moi, je ne peux rien pour toi. Va voir Zimmerman.",18,18,1,1,True
19,118,118,118,,,Bien sûr.,Bien sûr.,19,19,1,1,True
20,119,119,119,,,"N'importe quel bon forgeron est capable de fabriquer sa propre enclume! Bien sûr, c'est en travaillant que j'ai appris mon métier, mais j'ai fabriqué la plupart de mes outils moi-même.","N'importe quel bon forgeron est capable de fabriquer sa propre enclume! Bien sûr, c'est en travaillant que j'ai appris mon métier, mais j'ai fabriqué la plupart de mes outils moi-même.",20,20,1,1,True
21,120,120,120,,,"Mon travail consiste surtout à réparer des outils. Je répare aussi différentes choses pour les marchands du Centre. Et avec l'aide de Miles, le chimiste, je refais des balles de temps en temps.","Mon travail consiste surtout à réparer des outils. Je répare aussi différentes choses pour les marchands du Centre. Et avec l'aide de Miles, le chimiste, je refais des balles de temps en temps.",21,21,1,1,True
22,121,121,121,,,"Eh bien, la fabrication des armes et des munitions nécessite un usinage, et je n'ai pas les outils qu'il faut pour ça. Mais avec l'aide de Miles, le chimiste, j'utilise des cartouches usagées pour en faire de nouvelles.","Eh bien, la fabrication des armes et des munitions nécessite un usinage, et je n'ai pas les outils qu'il faut pour ça. Mais avec l'aide de Miles, le chimiste, j'utilise des cartouches usagées pour en faire de nouvelles.",22,22,1,1,True
23,122,122,122,,,"Oui, je peux réparer ça. Donne-moi un peu de temps.","Oui, je peux réparer ça. Donne-moi un peu de temps.",23,23,1,1,True
24,123,123,123,,,Voilà. [La Forge te tend les pièces réparées.],Voilà. [La Forge te tend les pièces réparées.],24,24,1,1,True
25,124,124,124,,,J'ai déjà réparé les pièces. Tu dois les remettre à Miles maintenant.,J'ai déjà réparé les pièces. Tu dois les remettre à Miles maintenant.,25,25,1,1,True
26,125,125,125,,,"Merci d'avoir réparé les fermes. Et si tu as un fusil à plasma, amène-le-moi. Je pourrai peut-être te le régler.","Merci d'avoir réparé les fermes. Et si tu as un fusil à plasma, amène-le-moi. Je pourrai peut-être te le régler.",26,26,1,1,True
27,126,126,126,,,"Eh bien, j'en ai un justement.","Eh bien, j'en ai un justement.",27,27,1,1,True
28,127,127,127,,,"Alors, tu as un fusil à plasma!","Alors, tu as un fusil à plasma!",28,28,1,1,True
29,128,128,128,,,"Donne-le moi, je vais y jeter un oeil. [La Forge prend ton fusil à plasma, saisit ses outils et commence à bricoler.]","Donne-le moi, je vais y jeter un oeil. [La Forge prend ton fusil à plasma, saisit ses outils et commence à bricoler.]",29,29,1,1,True
30,129,129,129,,,"Tiens, je pense que ça devrait aller. [La Forge te rend ton fusil à plasma.] Essaie-le pour voir si ça te va.","Tiens, je pense que ça devrait aller. [La Forge te rend ton fusil à plasma.] Essaie-le pour voir si ça te va.",30,30,1,1,True
31,130,130,130,,,"Comme je te l'ai déjà dit, si tu as un fusil à plasma et que tu me l'apportes, je pourrai te le régler.","Comme je te l'ai déjà dit, si tu as un fusil à plasma et que tu me l'apportes, je pourrai te le régler.",31,31,1,1,True
32,131,131,131,,,Ça me fait plaisir de te revoir. J'espère que tu vas bien.,Ça me fait plaisir de te revoir. J'espère que tu vas bien.,32,32,1,1,True
