occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici deux super mutants. L'un est blessé et l'autre le soigne.,Voici deux super mutants. L'un est blessé et l'autre le soigne.,1,1,1,1,True
2,101,101,101,,,"Alors, comment te sens-tu maintenant?","Alors, comment te sens-tu maintenant?",2,2,1,1,True
3,102,102,102,,,"[En bougeant l'épaule] Ah, c'est encore un peu douloureux. Mais au moins, ça ne saigne plus.","[En bougeant l'épaule] Ah, c'est encore un peu douloureux. Mais au moins, ça ne saigne plus.",3,3,1,1,True
4,103,103,103,,,"Bien, bien. Continue à prendre tes médicaments et tu te sentiras comme neuf.","Bien, bien. Continue à prendre tes médicaments et tu te sentiras comme neuf.",4,4,1,1,True
5,104,104,104,,,"Excellent. Lorsque je mettrai la main sur ce petit humain, je l'écraserai.","Excellent. Lorsque je mettrai la main sur ce petit humain, je l'écraserai.",5,5,1,1,True
6,105,105,105,,,"Excellent. Lorsque je mettrai la main sur cette petite humaine, je l'écraserai.","Excellent. Lorsque je mettrai la main sur cette petite humaine, je l'écraserai.",6,6,1,1,True
7,106,106,106,,,"Il a fait assez de dégâts comme ça, c'est sûr. J'espère qu'ils l'attraperont vite.","Il a fait assez de dégâts comme ça, c'est sûr. J'espère qu'ils l'attraperont vite.",7,7,1,1,True
8,107,107,107,,,"Elle a fait assez de dégâts comme ça, c'est sûr. J'espère qu'ils l'attraperont vite.","Elle a fait assez de dégâts comme ça, c'est sûr. J'espère qu'ils l'attraperont vite.",8,8,1,1,True
9,108,108,108,,,Imagine si tous nos plans étaient réduits à néant à cause d'un petit humain.,Imagine si tous nos plans étaient réduits à néant à cause d'un petit humain.,9,9,1,1,True
10,109,109,109,,,"[Rires] Ouais, ce serait dommage.","[Rires] Ouais, ce serait dommage.",10,10,1,1,True
11,110,110,110,,,[Petits rires],[Petits rires],11,11,1,1,True
