occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici Sophia, une instructrice des Initiés de la Confrérie.","Voici Sophia, une instructrice des Initiés de la Confrérie.",1,1,1,1,True
2,101,101,101,,,"Ok, des questions?","Ok, des questions?",2,2,1,1,True
3,102,102,102,,,N'hésitez pas à poser des questions si vous ne comprenez pas quelque chose. Ne soyez pas timides.,N'hésitez pas à poser des questions si vous ne comprenez pas quelque chose. Ne soyez pas timides.,3,3,1,1,True
4,103,103,103,,,Relisez vos notes.,Relisez vos notes.,4,4,1,1,True
5,104,104,104,,,"Demain, nous ferons un nouveau test pour les élèves travaillant sur la section 14.","Demain, nous ferons un nouveau test pour les élèves travaillant sur la section 14.",5,5,1,1,True
6,105,105,105,,,"Désolée, mais je ne peux pas te parler pour le moment. J'ai un cours à donner.","Désolée, mais je ne peux pas te parler pour le moment. J'ai un cours à donner.",6,6,1,1,True
7,106,106,106,,,Je crois que tu as quelque chose pour moi.,Je crois que tu as quelque chose pour moi.,7,7,1,1,True
8,107,107,107,,,Oui. Voilà.,Oui. Voilà.,8,8,1,1,True
9,108,108,108,,,"Oui, mais je ne l'ai pas sur moi.","Oui, mais je ne l'ai pas sur moi.",9,9,1,1,True
10,109,109,109,,,Toi.,Toi.,10,10,1,1,True
11,110,110,110,,,"Désolée, mais j'ai un cours à donner. Ne me dérange pas, s'il te plaît.","Désolée, mais j'ai un cours à donner. Ne me dérange pas, s'il te plaît.",11,11,1,1,True
12,111,111,111,,,Tu ne devrais pas être ici. Vree n'aime pas être dérangée pendant la nuit. C'est le moment où nous méditons.,Tu ne devrais pas être ici. Vree n'aime pas être dérangée pendant la nuit. C'est le moment où nous méditons.,12,12,1,1,True
13,112,112,112,,,"Nous méditons. Va t'en, s'il te plaît. Reviens demain matin.","Nous méditons. Va t'en, s'il te plaît. Reviens demain matin.",13,13,1,1,True
14,113,113,113,,,Laisse-nous.,Laisse-nous.,14,14,1,1,True
15,114,114,114,,,Aie un peu de respect. Tu ne dois pas déranger ceux qui méditent.,Aie un peu de respect. Tu ne dois pas déranger ceux qui méditent.,15,15,1,1,True
16,115,115,115,,,"Les Initiés ont décidément beaucoup à apprendre. Va t'en, s'il te plaît.","Les Initiés ont décidément beaucoup à apprendre. Va t'en, s'il te plaît.",16,16,1,1,True
17,116,116,116,,,Ne me dérange pas.,Ne me dérange pas.,17,17,1,1,True
18,117,117,117,,,Nous ne sommes pas disponibles la nuit. Reviens nous voir demain matin.,Nous ne sommes pas disponibles la nuit. Reviens nous voir demain matin.,18,18,1,1,True
19,118,118,118,,,"Il fait nuit. Tu devrais être au lit, à moins que tu ne sois de garde, auquel cas tu devrais être à ton poste.","Il fait nuit. Tu devrais être au lit, à moins que tu ne sois de garde, auquel cas tu devrais être à ton poste.",19,19,1,1,True
20,200,200,200,,,Bonjour initié. Que puis-je pour toi?,Bonjour initié. Que puis-je pour toi?,20,20,1,1,True
21,201,201,201,,,Je crois que tu as quelque chose pour moi?,Je crois que tu as quelque chose pour moi?,21,21,1,1,True
22,202,202,202,,,"Oui, voilà.","Oui, voilà.",22,22,1,1,True
23,203,203,203,,,"Oui, mais je ne l'ai pas sur moi.","Oui, mais je ne l'ai pas sur moi.",23,23,1,1,True
24,204,204,204,,,"Moi? Non, excuse-moi. Tu dois me confondre avec quelqu'un d'autre.","Moi? Non, excuse-moi. Tu dois me confondre avec quelqu'un d'autre.",24,24,1,1,True
25,205,205,205,,,Euh...,Euh...,25,25,1,1,True
26,206,206,206,,,Merci beaucoup. C'est gentil à toi de m'avoir donné ça.,Merci beaucoup. C'est gentil à toi de m'avoir donné ça.,26,26,1,1,True
27,207,207,207,,,"Hmm, merci. Ça va? En tout cas, c'est gentil à toi de m'avoir donné ça.","Hmm, merci. Ça va? En tout cas, c'est gentil à toi de m'avoir donné ça.",27,27,1,1,True
28,208,208,208,,,"Mes recherches auraient été retardées sans ça. C'est une bonne chose de savoir que nous comptons parmi nous une jeune recrue digne de confiance. Je savais que ce ne serait pas une mauvaise idée d'accepter les étrangers parmi nous. Va voir Michael, il aura quelque chose pour toi.","Mes recherches auraient été retardées sans ça. C'est une bonne chose de savoir que nous comptons parmi nous une jeune recrue digne de confiance. Je savais que ce ne serait pas une mauvaise idée d'accepter les étrangers parmi nous. Va voir Michael, il aura quelque chose pour toi.",28,28,1,1,True
29,301,301,301,,,"Salut. C'est la première fois que je te vois ici, tu cherches ton chemin? Que puis-je pour toi?","Salut. C'est la première fois que je te vois ici, tu cherches ton chemin? Que puis-je pour toi?",29,29,1,1,True
30,302,302,302,,,Euh......,Euh......,30,30,1,1,True
31,303,303,303,,,Peux-tu me dire où est la bibliothèque?,Peux-tu me dire où est la bibliothèque?,31,31,1,1,True
32,304,304,304,,,Je cherche Vree.,Je cherche Vree.,32,32,1,1,True
33,305,305,305,,,Où sommes-nous?,Où sommes-nous?,33,33,1,1,True
34,306,306,306,,,"Si je cherchais mon chemin, ce n'est pas à quelqu'un d'aussi stupide que toi que je m'adresserais!","Si je cherchais mon chemin, ce n'est pas à quelqu'un d'aussi stupide que toi que je m'adresserais!",34,34,1,1,True
35,307,307,307,,,Quand je pense au genre de personnes que nous acceptons comme initiés en ce moment! Que dieu nous aide!,Quand je pense au genre de personnes que nous acceptons comme initiés en ce moment! Que dieu nous aide!,35,35,1,1,True
