occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un des gardes des Sables Ombragés.,Voici un des gardes des Sables Ombragés.,1,1,1,1,True
2,101,101,101,,,"Hé, je crois que tu devrais partir. Nous n'aimons pas les gens comme toi ici.","Hé, je crois que tu devrais partir. Nous n'aimons pas les gens comme toi ici.",2,2,1,1,True
3,102,102,102,,,Je ne peux pas croire que Tandi ait disparu. J'espère que tu vas la retrouver. Aradesh serait très peiné si quelque chose lui arrivait.,Je ne peux pas croire que Tandi ait disparu. J'espère que tu vas la retrouver. Aradesh serait très peiné si quelque chose lui arrivait.,3,3,1,1,True
4,103,103,103,,,"Merci d'avoir ramené Tandi. C'est un bon présage pour le futur, tu ne crois pas?","Merci d'avoir ramené Tandi. C'est un bon présage pour le futur, tu ne crois pas?",4,4,1,1,True
5,104,104,104,,,Quelle tristesse pour Tandi! J'espère qu'Aradesh va s'en remettre.,Quelle tristesse pour Tandi! J'espère qu'Aradesh va s'en remettre.,5,5,1,1,True
6,105,105,105,,,"Bienvenue, nomade. Nous ne voyons pas souvent des gens de ton espèce.","Bienvenue, nomade. Nous ne voyons pas souvent des gens de ton espèce.",6,6,1,1,True
7,106,106,106,,,"Euh, merci. Au revoir.","Euh, merci. Au revoir.",7,7,1,1,True
8,107,107,107,,,Pourquoi pas?,Pourquoi pas?,8,8,1,1,True
9,108,108,108,,,Grrr!,Grrr!,9,9,1,1,True
10,109,109,109,,,"Pas si vite! Nous sommes une petite communauté. Nous ne voyons pas souvent d'étrangers et nous n'avons pas vraiment besoin d'eux, si tu vois ce que je veux dire. Si tu n'as pas une bonne raison d'être ici, je te conseille de poursuivre ton chemin.","Pas si vite! Nous sommes une petite communauté. Nous ne voyons pas souvent d'étrangers et nous n'avons pas vraiment besoin d'eux, si tu vois ce que je veux dire. Si tu n'as pas une bonne raison d'être ici, je te conseille de poursuivre ton chemin.",10,10,1,1,True
11,110,110,110,,,"Hé, je n'ai pas l'intention de faire de mal à qui que ce soit.","Hé, je n'ai pas l'intention de faire de mal à qui que ce soit.",11,11,1,1,True
12,111,111,111,,,Euh...,Euh...,12,12,1,1,True
13,112,112,112,,,Ce n'est pas ce que j'ai dit. Tu devrais nous laisser tranquilles.,Ce n'est pas ce que j'ai dit. Tu devrais nous laisser tranquilles.,13,13,1,1,True
14,113,113,113,,,Je ne cherche pas à vous causer des ennuis.,Je ne cherche pas à vous causer des ennuis.,14,14,1,1,True
15,114,114,114,,,J'en ai assez de tes conneries. Prépare-toi à monter au ciel.,J'en ai assez de tes conneries. Prépare-toi à monter au ciel.,15,15,1,1,True
16,115,115,115,,,"Ecoute, les Sables Ombragés n'ont pas besoin de gens de ton espèce venant du Centre, de Dépôtville ou de je ne sais où. Nous nous débrouillons très bien seuls.","Ecoute, les Sables Ombragés n'ont pas besoin de gens de ton espèce venant du Centre, de Dépôtville ou de je ne sais où. Nous nous débrouillons très bien seuls.",16,16,1,1,True
17,116,116,116,,,Le dernier marchand du Centre à être venu ici nous a vendu une pompe d'irrigation inutilisable. Nous en avons assez de vos coups foireux.,Le dernier marchand du Centre à être venu ici nous a vendu une pompe d'irrigation inutilisable. Nous en avons assez de vos coups foireux.,17,17,1,1,True
18,117,117,117,,,Tu te trompes sur toute la ligne. Je ne suis pas comme ça.,Tu te trompes sur toute la ligne. Je ne suis pas comme ça.,18,18,1,1,True
19,118,118,118,,,"Ouais, d'accord. Si tu le dis. Mais ne cherche pas d'ennuis, ok?","Ouais, d'accord. Si tu le dis. Mais ne cherche pas d'ennuis, ok?",19,19,1,1,True
20,119,119,119,,,Pas de problème.,Pas de problème.,20,20,1,1,True
21,120,120,120,,,"Ouais, qu'importe.","Ouais, qu'importe.",21,21,1,1,True
22,121,121,121,,,"Eh bien, peut-être. C'est vrai que tu n'es pas comme les autres. Tu veux que je te dise? Tu devrais parler à Aradesh. Il est au centre ville.","Eh bien, peut-être. C'est vrai que tu n'es pas comme les autres. Tu veux que je te dise? Tu devrais parler à Aradesh. Il est au centre ville.",22,22,1,1,True
23,122,122,122,,,Nous ne voulons pas de gens de ton espèce ici. Retourne d'où tu viens.,Nous ne voulons pas de gens de ton espèce ici. Retourne d'où tu viens.,23,23,1,1,True
24,123,123,123,,,"Hé, pas besoin d'armes. Nous n'aimons pas beaucoup les gens qui traînent dans le coin.","Hé, pas besoin d'armes. Nous n'aimons pas beaucoup les gens qui traînent dans le coin.",24,24,1,1,True
25,124,124,124,,,"Hé, tu n'as pas l'air si terrible après tout. Bonne journée.","Hé, tu n'as pas l'air si terrible après tout. Bonne journée.",25,25,1,1,True
26,125,125,125,,,J'aimerais vraiment que tu quittes la ville.,J'aimerais vraiment que tu quittes la ville.,26,26,1,1,True
27,126,126,126,,,[SUITE],[SUITE],27,27,1,1,True
