occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici Thorndyke.,Voici Thorndyke.,1,1,1,1,True
2,101,101,101,,,Je n'utilise pas mes talents pour soigner mes ennemis. Fiche le camp!,Je n'utilise pas mes talents pour soigner mes ennemis. Fiche le camp!,2,2,1,1,True
3,102,102,102,,,J'ai entendu parler de toi. Tu es un tueur impitoyable. Je ne soignerai pas quelqu'un qui a fait tant de mal autour de lui. Fiche le camp!,J'ai entendu parler de toi. Tu es un tueur impitoyable. Je ne soignerai pas quelqu'un qui a fait tant de mal autour de lui. Fiche le camp!,3,3,1,1,True
4,103,103,103,,,Je suis guérisseur. Tu n'as nul besoin de mes services.,Je suis guérisseur. Tu n'as nul besoin de mes services.,4,4,1,1,True
5,104,104,104,,,Je suis guérisseur. Tu n'as nul besoin de mes services.,Je suis guérisseur. Tu n'as nul besoin de mes services.,5,5,1,1,True
6,105,105,105,,,Parle-moi de ton travail.,Parle-moi de ton travail.,6,6,1,1,True
7,106,106,106,,,Quel est cet endroit?,Quel est cet endroit?,7,7,1,1,True
8,107,107,107,,,Combien te fais-tu payer pour tes services?,Combien te fais-tu payer pour tes services?,8,8,1,1,True
9,108,108,108,,,Peut-être plus tard...,Peut-être plus tard...,9,9,1,1,True
10,109,109,109,,,"Tu sais, je pourrais t'amener des clients. J'ai du talent pour blesser les gens!","Tu sais, je pourrais t'amener des clients. J'ai du talent pour blesser les gens!",10,10,1,1,True
11,110,110,110,,,Hein?,Hein?,11,11,1,1,True
12,111,111,111,,,Je t'ai déjà donné des médicaments. Je n'ose pas t'administrer une deuxième dose.,Je t'ai déjà donné des médicaments. Je n'ose pas t'administrer une deuxième dose.,12,12,1,1,True
13,112,112,112,,,Je t'ai déjà donné des médicaments. Je n'ose pas t'administrer une deuxième dose.,Je t'ai déjà donné des médicaments. Je n'ose pas t'administrer une deuxième dose.,13,13,1,1,True
14,113,113,113,,,Parle-moi de ton travail.,Parle-moi de ton travail.,14,14,1,1,True
15,114,114,114,,,Quel est cet endroit?,Quel est cet endroit?,15,15,1,1,True
16,115,115,115,,,Ces médicaments ne semblent pas suffire. Tu devrais peut-être trouver quelque chose de plus fort.,Ces médicaments ne semblent pas suffire. Tu devrais peut-être trouver quelque chose de plus fort.,16,16,1,1,True
17,116,116,116,,,"Pardon de te déranger, Doc.","Pardon de te déranger, Doc.",17,17,1,1,True
18,117,117,117,,,"Tu sais, je pourrais t'amener des clients. J'ai du talent pour blesser les gens!","Tu sais, je pourrais t'amener des clients. J'ai du talent pour blesser les gens!",18,18,1,1,True
19,118,118,118,,,Hein?,Hein?,19,19,1,1,True
20,119,119,119,,,"Tu es blessé, je peux te soigner si tu le veux. Je suis guérisseur.","Tu es blessé, je peux te soigner si tu le veux. Je suis guérisseur.",20,20,1,1,True
21,120,120,120,,,"Tu es blessée, je peux te soigner si tu le veux. Je suis guérisseur.","Tu es blessée, je peux te soigner si tu le veux. Je suis guérisseur.",21,21,1,1,True
22,121,121,121,,,Parle-moi de ton travail.,Parle-moi de ton travail.,22,22,1,1,True
23,122,122,122,,,Quel est cet endroit?,Quel est cet endroit?,23,23,1,1,True
24,123,123,123,,,Combien?,Combien?,24,24,1,1,True
25,124,124,124,,,Continue.,Continue.,25,25,1,1,True
26,125,125,125,,,Non merci.,Non merci.,26,26,1,1,True
27,126,126,126,,,Je déteste les médecins!,Je déteste les médecins!,27,27,1,1,True
28,127,127,127,,,Ouille! Aïïïee!,Ouille! Aïïïee!,28,28,1,1,True
29,128,128,128,,,Grrrr!!!,Grrrr!!!,29,29,1,1,True
30,129,129,129,,,Tu es gravement blessé. Je te conseille vivement de me laisser te soigner. Je suis guérisseur.,Tu es gravement blessé. Je te conseille vivement de me laisser te soigner. Je suis guérisseur.,30,30,1,1,True
31,130,130,130,,,Tu es gravement blessée. Je te conseille vivement de me laisser te soigner. Je suis guérisseur.,Tu es gravement blessée. Je te conseille vivement de me laisser te soigner. Je suis guérisseur.,31,31,1,1,True
32,131,131,131,,,Parle-moi de ton travail.,Parle-moi de ton travail.,32,32,1,1,True
33,132,132,132,,,Quel est cet endroit?,Quel est cet endroit?,33,33,1,1,True
34,133,133,133,,,Combien?,Combien?,34,34,1,1,True
35,134,134,134,,,Non merci.,Non merci.,35,35,1,1,True
36,135,135,135,,,Je déteste les médecins!,Je déteste les médecins!,36,36,1,1,True
37,136,136,136,,,Oooo! Aïïïee!,Oooo! Aïïïee!,37,37,1,1,True
38,137,137,137,,,Grrrr!!!,Grrrr!!!,38,38,1,1,True
