occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici un homme vêtu d'une armure en cuir poussiéreuse, d'un trench-coat et d'un masque à gaz.","Voici un homme vêtu d'une armure en cuir poussiéreuse, d'un trench-coat et d'un masque à gaz.",1,1,1,1,True
2,101,101,101,,,Voici Tycho.,Voici Tycho.,2,2,1,1,True
3,102,102,102,,,Une nouvelle tête. Les voyageurs courent les rues ici. Mais tu n'as pas l'air comme les autres. Veux-tu te joindre à moi pour boire un verre?,Une nouvelle tête. Les voyageurs courent les rues ici. Mais tu n'as pas l'air comme les autres. Veux-tu te joindre à moi pour boire un verre?,3,3,1,1,True
4,103,103,103,,,Excuse-moi mais je n'ai pas le temps.,Excuse-moi mais je n'ai pas le temps.,4,4,1,1,True
5,104,104,104,,,Avec plaisir.,Avec plaisir.,5,5,1,1,True
6,105,105,105,,,Que-Quoi?,Que-Quoi?,6,6,1,1,True
7,106,106,106,,,Formidable. J'espère que tu ne vois pas d'inconvénient à déguster une boisson bien arrosée. Ils ne savent pas faire la bière ici.,Formidable. J'espère que tu ne vois pas d'inconvénient à déguster une boisson bien arrosée. Ils ne savent pas faire la bière ici.,7,7,1,1,True
8,107,107,107,,,"Eh bien, quelle est ton histoire?","Eh bien, quelle est ton histoire?",8,8,1,1,True
9,108,108,108,,,"Ouais, un verre d'eau. Qu'importe.","Ouais, un verre d'eau. Qu'importe.",9,9,1,1,True
10,109,109,109,,,"Je pourrais te demander la même chose. Je pense que je devrais me présenter. Je m'appelle Tycho. Je suis originaire de l'Est, d'un endroit qui s'appelait autrefois le Nevada.","Je pourrais te demander la même chose. Je pense que je devrais me présenter. Je m'appelle Tycho. Je suis originaire de l'Est, d'un endroit qui s'appelait autrefois le Nevada.",10,10,1,1,True
11,110,110,110,,,Ton voyage pour arriver jusqu'ici a du être long...,Ton voyage pour arriver jusqu'ici a du être long...,11,11,1,1,True
12,111,111,111,,,Comment as-tu fait pour survivre à tous les dangers?,Comment as-tu fait pour survivre à tous les dangers?,12,12,1,1,True
13,112,112,112,,,"Ouais, en effet. J'avais décidé de prendre du bon temps. Cet endroit peut être sympa... enfin il le sera  quand quelqu'un l'aura débarrassé de ses ordures.","Ouais, en effet. J'avais décidé de prendre du bon temps. Cet endroit peut être sympa... enfin il le sera  quand quelqu'un l'aura débarrassé de ses ordures.",13,13,1,1,True
14,113,113,113,,,Pourquoi ne t'en charges-tu pas?,Pourquoi ne t'en charges-tu pas?,14,14,1,1,True
15,114,114,114,,,"Oui, j'ai remarqué. Que sais-tu sur ces connards?","Oui, j'ai remarqué. Que sais-tu sur ces connards?",15,15,1,1,True
16,115,115,115,,,Je suis bien entraîné et bien armé. Mon grand-père était guide et il a appris à mon père tout ce qu'il savait. Mon père me l'a ensuite appris à son tour. Alors j'en connais assez pour ne pas boire d'eau rayonnante et pour ne pas trop parler.,Je suis bien entraîné et bien armé. Mon grand-père était guide et il a appris à mon père tout ce qu'il savait. Mon père me l'a ensuite appris à son tour. Alors j'en connais assez pour ne pas boire d'eau rayonnante et pour ne pas trop parler.,16,16,1,1,True
17,116,116,116,,,Intéressant. Merci pour le verre.,Intéressant. Merci pour le verre.,17,17,1,1,True
18,117,117,117,,,Vraiment? Difficile de survivre de nos jours. Tu dois connaître beaucoup de choses.,Vraiment? Difficile de survivre de nos jours. Tu dois connaître beaucoup de choses.,18,18,1,1,True
19,118,118,118,,,"Après tout, je préférerais ne pas croiser Killian. Il nettoiera cette ville lorsqu'il y viendra. C'est un homme bon, et je pèse mes mots. Mais méfie-toi de ce Gizmo. Il me fait penser à un autre sale type dont mon père m'avait parlé de retour de Las Vegas.","Après tout, je préférerais ne pas croiser Killian. Il nettoiera cette ville lorsqu'il y viendra. C'est un homme bon, et je pèse mes mots. Mais méfie-toi de ce Gizmo. Il me fait penser à un autre sale type dont mon père m'avait parlé de retour de Las Vegas.",19,19,1,1,True
20,119,119,119,,,Merci pour le conseil et pour le verre.,Merci pour le conseil et pour le verre.,20,20,1,1,True
21,120,120,120,,,Il y a deux types de vermines ici. Les Skulz sont une bande qui agissent pour le compte de Marcelles. Ce sont des andouilles de seconde zone. Mais les autres obéissent à un sale type dont tu devines sans doute le nom. Il tient le casino. Ces types sont organisés et dangereux.,Il y a deux types de vermines ici. Les Skulz sont une bande qui agissent pour le compte de Marcelles. Ce sont des andouilles de seconde zone. Mais les autres obéissent à un sale type dont tu devines sans doute le nom. Il tient le casino. Ces types sont organisés et dangereux.,21,21,1,1,True
22,121,121,121,,,Je vois. Merci pour le renseignement.,Je vois. Merci pour le renseignement.,22,22,1,1,True
23,122,122,122,,,"Ouais, eh bien, ma famille m'a appris tout ce qu'il fallait savoir pour survivre. Comme ne boire de l'eau que si elle est claire, exempte d'insectes et de mousse. Seules les eaux empoisonnées ou radioactives peuvent être si claires dans le désert! Tout comme un tas d'autres petites choses auxquelles il faut faire gaffe.","Ouais, eh bien, ma famille m'a appris tout ce qu'il fallait savoir pour survivre. Comme ne boire de l'eau que si elle est claire, exempte d'insectes et de mousse. Seules les eaux empoisonnées ou radioactives peuvent être si claires dans le désert! Tout comme un tas d'autres petites choses auxquelles il faut faire gaffe.",23,23,1,1,True
24,123,123,123,,,Comme quoi?,Comme quoi?,24,24,1,1,True
25,124,124,124,,,"Eh bien, si tu as un peu de temps, je pourrais te donner quelques tuyaux.","Eh bien, si tu as un peu de temps, je pourrais te donner quelques tuyaux.",25,25,1,1,True
26,125,125,125,,,"Certainement, ce serait formidable.","Certainement, ce serait formidable.",26,26,1,1,True
27,126,126,126,,,Excuse-moi mais je n'ai pas vraiment le temps.,Excuse-moi mais je n'ai pas vraiment le temps.,27,27,1,1,True
28,127,127,127,,,"Eh, pas si vite. Nous n'avons pas terminé les présentations, tu t'en souviens? C'est quoi ton nom?","Eh, pas si vite. Nous n'avons pas terminé les présentations, tu t'en souviens? C'est quoi ton nom?",28,28,1,1,True
29,128,128,128,,,Je m'appelle ,Je m'appelle ,29,29,1,1,True
30,129,129,129,,,.,.,30,30,1,1,True
31,130,130,130,,,"Cela ne te regarde pas, imbécile.","Cela ne te regarde pas, imbécile.",31,31,1,1,True
32,131,131,131,,,Cette rencontre fut un plaisir! Fais attention à toi.,Cette rencontre fut un plaisir! Fais attention à toi.,32,32,1,1,True
33,132,132,132,,,"Hé, hé, tu peux ranger ton impolitesse. Si tu continues comme ça, je te conseille de foutre le camp!","Hé, hé, tu peux ranger ton impolitesse. Si tu continues comme ça, je te conseille de foutre le camp!",33,33,1,1,True
34,133,133,133,,,Frappe-moi.,Frappe-moi.,34,34,1,1,True
35,134,134,134,,,Qu'importe. Au revoir.,Qu'importe. Au revoir.,35,35,1,1,True
36,135,135,135,,,Que veux-tu?,Que veux-tu?,36,36,1,1,True
37,136,136,136,,,Excuse-moi d'abuser de ton temps. Va te faire voir.,Excuse-moi d'abuser de ton temps. Va te faire voir.,37,37,1,1,True
38,137,137,137,,,J'ai besoin de renseignements sur les bandits dans le coin.,J'ai besoin de renseignements sur les bandits dans le coin.,38,38,1,1,True
39,138,138,138,,,J'ai besoin de renseignements sur la ville.,J'ai besoin de renseignements sur la ville.,39,39,1,1,True
40,139,139,139,,,Rebonjour. Que puis-je faire pour toi?,Rebonjour. Que puis-je faire pour toi?,40,40,1,1,True
41,140,140,140,,,Killian veut que je nettoye cette ville et j'aimerais que tu m'aides.,Killian veut que je nettoye cette ville et j'aimerais que tu m'aides.,41,41,1,1,True
42,141,141,141,,,"Eh bien, voici le Skum Pitt, la retraite des voyous. A l'ouest d'ici se trouve le grand casino de Gizmo. On dit que les jeux y sont truqués. Au sud se trouve la Pieuterie, tenue par Marcelles, où tu peux dormir moyennant une bonne somme de caps. Ensuite, il y a chez Killian. Killian tient un magasin et il fait également régner la loi dans cette ville. Toujours au sud vit Doc Morbide, un homme bizarre, si tu vois ce que je veux dire.","Eh bien, voici le Skum Pitt, la retraite des voyous. A l'ouest d'ici se trouve le grand casino de Gizmo. On dit que les jeux y sont truqués. Au sud se trouve la Pieuterie, tenue par Marcelles, où tu peux dormir moyennant une bonne somme de caps. Ensuite, il y a chez Killian. Killian tient un magasin et il fait également régner la loi dans cette ville. Toujours au sud vit Doc Morbide, un homme bizarre, si tu vois ce que je veux dire.",42,42,1,1,True
43,142,142,142,,,J'espère que ces petites indications te seront utiles.,J'espère que ces petites indications te seront utiles.,43,43,1,1,True
44,143,143,143,,,,,44,44,1,1,True
45,144,144,144,,,On dit que tu as eu quelques contacts avec Gizmo. Je me méfierais de ce tas de graisse si j'étais toi...,On dit que tu as eu quelques contacts avec Gizmo. Je me méfierais de ce tas de graisse si j'étais toi...,45,45,1,1,True
46,145,145,145,,,Ce sont mes affaires.,Ce sont mes affaires.,46,46,1,1,True
47,146,146,146,,,"Ouais, je travaille pour Gizmo désormais. Ça te va?","Ouais, je travaille pour Gizmo désormais. Ça te va?",47,47,1,1,True
48,147,147,147,,,Très bien mais fais quand même attention à toi. Gizmo n'est pas du genre à avoir beaucoup de respect pour ses employés.,Très bien mais fais quand même attention à toi. Gizmo n'est pas du genre à avoir beaucoup de respect pour ses employés.,48,48,1,1,True
49,148,148,148,,,Il est important de souligner que ton employeur est responsable de tous les malheurs de cette ville. N'espère rien de quiconque et surtout pas de Gizmo! Dommage. Tu aurais été capable d'améliorer la situation de cette ville...,Il est important de souligner que ton employeur est responsable de tous les malheurs de cette ville. N'espère rien de quiconque et surtout pas de Gizmo! Dommage. Tu aurais été capable d'améliorer la situation de cette ville...,49,49,1,1,True
50,149,149,149,,,Que puis-je pour toi?,Que puis-je pour toi?,50,50,1,1,True
51,150,150,150,,,Des recommandations?,Des recommandations?,51,51,1,1,True
52,151,151,151,,,Merci de ton aide. Je pense qu'il est temps de nous séparer.,Merci de ton aide. Je pense qu'il est temps de nous séparer.,52,52,1,1,True
53,152,152,152,,,"Ouais, je préfère rester loin de ce qui a fait ça. Sérieusement, je n'ai jamais rien vu de tel. Je pense que nous devrions partir et vite.","Ouais, je préfère rester loin de ce qui a fait ça. Sérieusement, je n'ai jamais rien vu de tel. Je pense que nous devrions partir et vite.",53,53,1,1,True
54,153,153,153,,,Très bien. Je dois dire que ce fut un honneur et un plaisir.,Très bien. Je dois dire que ce fut un honneur et un plaisir.,54,54,1,1,True
55,154,154,154,,,"Fais attention aux zones rouges radioactives! De toute évidence, cet endroit a été touché par une bombe nucléaire et les phénomènes de radiations en cascades sont très dangereux. Je te conseille d'éviter à tout prix cet endroit si tu le peux.","Fais attention aux zones rouges radioactives! De toute évidence, cet endroit a été touché par une bombe nucléaire et les phénomènes de radiations en cascades sont très dangereux. Je te conseille d'éviter à tout prix cet endroit si tu le peux.",55,55,1,1,True
