occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici Vinnie, de la bande des Skulz.","Voici Vinnie, de la bande des Skulz.",1,1,1,1,True
2,101,101,101,,,Voici un jeune homme tatoué et à l'air méchant.,Voici un jeune homme tatoué et à l'air méchant.,2,2,1,1,True
3,102,102,102,,,J'aimerais faire partie de votre bande.,J'aimerais faire partie de votre bande.,3,3,1,1,True
4,103,103,103,,,Tu es sur le territoire des Skulz. Tu ferais mieux de te dépêcher de parler.,Tu es sur le territoire des Skulz. Tu ferais mieux de te dépêcher de parler.,4,4,1,1,True
5,104,104,104,,,"Pardon, ce n'est pas la bonne chambre.","Pardon, ce n'est pas la bonne chambre.",5,5,1,1,True
6,105,105,105,,,"Les Skulz? Qui êtes-vous, les gars?","Les Skulz? Qui êtes-vous, les gars?",6,6,1,1,True
7,106,106,106,,,Hein?,Hein?,7,7,1,1,True
8,107,107,107,,,"Ouais, c'est ça! Pas la bonne chambre!","Ouais, c'est ça! Pas la bonne chambre!",8,8,1,1,True
9,108,108,108,,,"Nous sommes la seule et unique bande de Dépôtville. Nous avons le contrôle des rues, et la nuit, nous régnons sur la ville.","Nous sommes la seule et unique bande de Dépôtville. Nous avons le contrôle des rues, et la nuit, nous régnons sur la ville.",9,9,1,1,True
10,109,109,109,,,Oh. Pardon. Au revoir.,Oh. Pardon. Au revoir.,10,10,1,1,True
11,110,110,110,,,"Tu ne serais même pas capable de faire la loi dans une cour d'école, Chromo.","Tu ne serais même pas capable de faire la loi dans une cour d'école, Chromo.",11,11,1,1,True
12,111,111,111,,,Je pensais que la nuit cette ville était contrôlée par Gizmo.,Je pensais que la nuit cette ville était contrôlée par Gizmo.,12,12,1,1,True
13,112,112,112,,,"Fiche le camp d'ici, débile!","Fiche le camp d'ici, débile!",13,13,1,1,True
14,113,113,113,,,Ce gros lard ne tient même pas debout tout seul. C'est nous qui avons le contrôle de cette ville. On y fait ce qu'on veut.,Ce gros lard ne tient même pas debout tout seul. C'est nous qui avons le contrôle de cette ville. On y fait ce qu'on veut.,14,14,1,1,True
15,114,114,114,,,Je vois.,Je vois.,15,15,1,1,True
16,115,115,115,,,Vous avez passé une sorte d'accord avec Killian?,Vous avez passé une sorte d'accord avec Killian?,16,16,1,1,True
17,116,116,116,,,Quoi?! Tu vas regretter cette remarque!,Quoi?! Tu vas regretter cette remarque!,17,17,1,1,True
18,117,117,117,,,Nous n'embêtons pas Killian et il ne nous embête pas tant qu'on se tient à carreau. Tu me comprends?,Nous n'embêtons pas Killian et il ne nous embête pas tant qu'on se tient à carreau. Tu me comprends?,18,18,1,1,True
19,118,118,118,,,Ouais. Au revoir.,Ouais. Au revoir.,19,19,1,1,True
20,119,119,119,,,Je comprends très bien. Vous devez l'éviter.,Je comprends très bien. Vous devez l'éviter.,20,20,1,1,True
21,120,120,120,,,"Nous n'acceptons cela de personne, et encore moins de Killian! Ce n'est pas parce qu'il se prend pour un super shérif qu'il contrôle les Skulz!","Nous n'acceptons cela de personne, et encore moins de Killian! Ce n'est pas parce qu'il se prend pour un super shérif qu'il contrôle les Skulz!",21,21,1,1,True
22,121,121,121,,,"Pardon, je ne voulais pas te mettre en colère.","Pardon, je ne voulais pas te mettre en colère.",22,22,1,1,True
23,122,122,122,,,"Alors, il vous met des bâtons dans les roues, hein? A moi aussi. En fait, j'envisage de lui donner une bonne leçon. Ça te dit?","Alors, il vous met des bâtons dans les roues, hein? A moi aussi. En fait, j'envisage de lui donner une bonne leçon. Ça te dit?",23,23,1,1,True
24,123,123,123,,,"Tu veux donner une leçon à Killian? C'est de la folie... je ne sais pas... Très bien, je suis d'accord.","Tu veux donner une leçon à Killian? C'est de la folie... je ne sais pas... Très bien, je suis d'accord.",24,24,1,1,True
25,124,124,124,,,"Espèce de nullité, tu as dit qu'on allait donner une leçon à Killian. Fiche le camp.","Espèce de nullité, tu as dit qu'on allait donner une leçon à Killian. Fiche le camp.",25,25,1,1,True
26,125,125,125,,,"Bon, allons donner une leçon à Killian.","Bon, allons donner une leçon à Killian.",26,26,1,1,True
27,126,126,126,,,"Qu'est-ce que tu veux, maintenant?","Qu'est-ce que tu veux, maintenant?",27,27,1,1,True
28,127,127,127,,,Rien. Pardon.,Rien. Pardon.,28,28,1,1,True
29,128,128,128,,,Je cherche quelqu'un pour m'aider à éliminer Killian. Les Skulz me semblent parfaits pour ça.,Je cherche quelqu'un pour m'aider à éliminer Killian. Les Skulz me semblent parfaits pour ça.,29,29,1,1,True
30,129,129,129,,,"Bon sang, je ne pensais pas que tu le ferais! Les Skulz règnent sur cette ville, maintenant! Ouah!","Bon sang, je ne pensais pas que tu le ferais! Les Skulz règnent sur cette ville, maintenant! Ouah!",30,30,1,1,True
31,130,130,130,,,"Tout allait bien avant que tu ne te mêles de nos affaires, alors disparais tout de suite!","Tout allait bien avant que tu ne te mêles de nos affaires, alors disparais tout de suite!",31,31,1,1,True
32,131,131,131,,,"Tu veux entrer dans notre bande, hein? Qu'est-ce qui nous dit que tu as assez de cran pour devenir un Skulz?","Tu veux entrer dans notre bande, hein? Qu'est-ce qui nous dit que tu as assez de cran pour devenir un Skulz?",32,32,1,1,True
33,132,132,132,,,"Tu vas voir si j'ai du cran, ordure!","Tu vas voir si j'ai du cran, ordure!",33,33,1,1,True
34,133,133,133,,,Laisse-moi faire mes preuves.,Laisse-moi faire mes preuves.,34,34,1,1,True
35,134,134,134,,,"Fais-moi confiance, j'ai du cran.","Fais-moi confiance, j'ai du cran.",35,35,1,1,True
36,135,135,135,,,[Vinnie te regarde et rit.] Je ne crois pas.,[Vinnie te regarde et rit.] Je ne crois pas.,36,36,1,1,True
37,136,136,136,,,Je vais te le prouver.,Je vais te le prouver.,37,37,1,1,True
38,137,137,137,,,C'est ça. Ton heure est venue.,C'est ça. Ton heure est venue.,38,38,1,1,True
39,138,138,138,,,"Tu as raison, je m'en vais.","Tu as raison, je m'en vais.",39,39,1,1,True
40,139,139,139,,,Comment se fait-il que les Skulz aient autant de cran?,Comment se fait-il que les Skulz aient autant de cran?,40,40,1,1,True
41,140,140,140,,,"[Vinnie réfléchit une seconde.] Si tu veux prouver que tu es capable de faire partie des Skulz, je veux que tu voles les cendres de la femme de ce vieux schnok. Hé. [Vinnie marmonne] Faisons souffrir Neal pour les quelques heures qui lui restent à vivre...","[Vinnie réfléchit une seconde.] Si tu veux prouver que tu es capable de faire partie des Skulz, je veux que tu voles les cendres de la femme de ce vieux schnok. Hé. [Vinnie marmonne] Faisons souffrir Neal pour les quelques heures qui lui restent à vivre...",41,41,1,1,True
42,141,141,141,,,"Très bien, je vais le faire.","Très bien, je vais le faire.",42,42,1,1,True
43,142,142,142,,,Pas question.,Pas question.,43,43,1,1,True
44,143,143,143,,,"Euh, je ne crois pas être capable de faire ça.","Euh, je ne crois pas être capable de faire ça.",44,44,1,1,True
45,144,144,144,,,Je les ai déjà volées.,Je les ai déjà volées.,45,45,1,1,True
46,145,145,145,,,Ce ne sera pas aussi dur que tu le crois. J'ai déjà tué cette ordure.,Ce ne sera pas aussi dur que tu le crois. J'ai déjà tué cette ordure.,46,46,1,1,True
47,146,146,146,,,"Si tu as assez de cran pour faire ça, alors, tu pourras devenir un Skulz après tout. Rapporte-les ici quand tu les auras.","Si tu as assez de cran pour faire ça, alors, tu pourras devenir un Skulz après tout. Rapporte-les ici quand tu les auras.",47,47,1,1,True
48,147,147,147,,,Je savais que tu ne ferais pas un bon Skulz. Fiche le camp d'ici.,Je savais que tu ne ferais pas un bon Skulz. Fiche le camp d'ici.,48,48,1,1,True
49,148,148,148,,,Tu les as?,Tu les as?,49,49,1,1,True
50,149,149,149,,,Ouais.,Ouais.,50,50,1,1,True
51,150,150,150,,,Non.,Non.,51,51,1,1,True
52,151,151,151,,,J'ai dû tuer Neal pour les avoir. Il pleurait comme une fillette.,J'ai dû tuer Neal pour les avoir. Il pleurait comme une fillette.,52,52,1,1,True
53,152,152,152,,,Ha ha! Nous allons faire souffrir ce vieux schnok jusqu'à sa mort! Ce soir. Tu seras des nôtres?,Ha ha! Nous allons faire souffrir ce vieux schnok jusqu'à sa mort! Ce soir. Tu seras des nôtres?,53,53,1,1,True
54,153,153,153,,,"Finalement, je préfère ne rien avoir à faire avec des minables comme vous.","Finalement, je préfère ne rien avoir à faire avec des minables comme vous.",54,54,1,1,True
55,154,154,154,,,Faisons-lui la peau!,Faisons-lui la peau!,55,55,1,1,True
56,155,155,155,,,J'ai autre chose à faire avant ça. On se retrouvera là-bas.,J'ai autre chose à faire avant ça. On se retrouvera là-bas.,56,56,1,1,True
57,156,156,156,,,Pourquoi me fais-tu perdre mon temps?,Pourquoi me fais-tu perdre mon temps?,57,57,1,1,True
58,157,157,157,,,"Ça lui apprendra à ce vieux! Merci de lui avoir fait la peau pour nous. [Une larme à l'oeil] Tu es un Skulz, maintenant.","Ça lui apprendra à ce vieux! Merci de lui avoir fait la peau pour nous. [Une larme à l'oeil] Tu es un Skulz, maintenant.",58,58,1,1,True
59,158,158,158,,,"Euh, très bien... retrouve-nous plus tard... mais que ce ne soit pas trop long!","Euh, très bien... retrouve-nous plus tard... mais que ce ne soit pas trop long!",59,59,1,1,True
60,159,159,159,,,"Neal va bientôt payer, hein?","Neal va bientôt payer, hein?",60,60,1,1,True
61,160,160,160,,,"On t'avait dit qu'on reviendrait, vieux schnok!","On t'avait dit qu'on reviendrait, vieux schnok!",61,61,1,1,True
62,161,161,161,,,Beaucoup de gens arrivent au bar...,Beaucoup de gens arrivent au bar...,62,62,1,1,True
63,162,162,162,,,"Va te faire foutre, sale flic!","Va te faire foutre, sale flic!",63,63,1,1,True
64,163,163,163,,,Tu reçois 400 points d'expérience pour avoir volé l'urne de Neal. Les morts ne doivent jamais reposer en paix.,Tu reçois 400 points d'expérience pour avoir volé l'urne de Neal. Les morts ne doivent jamais reposer en paix.,64,64,1,1,True
65,164,164,164,,,"Tu reçois 300 points d'expérience pour avoir donné une bonne leçon à Neal, toi qui es maintenant un Skulz.","Tu reçois 300 points d'expérience pour avoir donné une bonne leçon à Neal, toi qui es maintenant un Skulz.",65,65,1,1,True
66,165,165,165,,,D'accord pour éliminer Neal?,D'accord pour éliminer Neal?,66,66,1,1,True
67,166,166,166,,,"Ouais, allons-y.","Ouais, allons-y.",67,67,1,1,True
68,167,167,167,,,"Non, j'ai autre chose à faire.","Non, j'ai autre chose à faire.",68,68,1,1,True
69,168,168,168,,,Pas question. Je veux partir.,Pas question. Je veux partir.,69,69,1,1,True
70,169,169,169,,,Trop tard. Tu as laissé passer ta chance.,Trop tard. Tu as laissé passer ta chance.,70,70,1,1,True
71,170,170,170,,,Nous contrôlons cette ville.,Nous contrôlons cette ville.,71,71,1,1,True
72,171,171,171,,,"Eh, nous contrôlons cette ville!","Eh, nous contrôlons cette ville!",72,72,1,1,True
