occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici Zax, la machine intelligente contrôlant le Rayon.","Voici Zax, la machine intelligente contrôlant le Rayon.",1,1,1,1,True
2,101,101,101,,,Voici un ordinateur très perfectionné.,Voici un ordinateur très perfectionné.,2,2,1,1,True
3,102,102,102,,,Puis-je t'aider?,Puis-je t'aider?,3,3,1,1,True
4,103,103,103,,,Qui... ou plutôt qu'es-tu?,Qui... ou plutôt qu'es-tu?,4,4,1,1,True
5,104,104,104,,,Donne-moi un beignet.,Donne-moi un beignet.,5,5,1,1,True
6,105,105,105,,,Parle-moi de cette installation.,Parle-moi de cette installation.,6,6,1,1,True
7,106,106,106,,,Tu veux jouer aux échecs?,Tu veux jouer aux échecs?,7,7,1,1,True
8,107,107,107,,,J'ai besoin d'aide pour accéder à certaines salles.,J'ai besoin d'aide pour accéder à certaines salles.,8,8,1,1,True
9,108,108,108,,,"Euh, aucune importance.","Euh, aucune importance.",9,9,1,1,True
10,109,109,109,,,Hein?,Hein?,10,10,1,1,True
11,110,110,110,,,Je suis une machine intelligente dédiée à la recherche et au contrôle de l'installation. Je m'appelle Zax.,Je suis une machine intelligente dédiée à la recherche et au contrôle de l'installation. Je m'appelle Zax.,11,11,1,1,True
12,111,111,111,,,Quel type de recherche?,Quel type de recherche?,12,12,1,1,True
13,112,112,112,,,Parle-moi de cette installation.,Parle-moi de cette installation.,13,13,1,1,True
14,113,113,113,,,Qui t'a programmé?,Qui t'a programmé?,14,14,1,1,True
15,114,114,114,,,"Es-tu pleinement conscient ou es-tu une simulation de personnalité? En d'autres termes, es-tu vraiment ""vivant""?","Es-tu pleinement conscient ou es-tu une simulation de personnalité? En d'autres termes, es-tu vraiment ""vivant""?",15,15,1,1,True
16,115,115,115,,,Je vois. Merci.,Je vois. Merci.,16,16,1,1,True
17,116,116,116,,,Cette fonction dépasse mes compétences.,Cette fonction dépasse mes compétences.,17,17,1,1,True
18,117,117,117,,,"Cette installation fut conçue en 2055 à des fins de recherches biologiques pour tester des remèdes contre la Nouvelle Peste. Cependant, en 2071, elle fut placée sous le commandement militaire des États-Unis.","Cette installation fut conçue en 2055 à des fins de recherches biologiques pour tester des remèdes contre la Nouvelle Peste. Cependant, en 2071, elle fut placée sous le commandement militaire des États-Unis.",18,18,1,1,True
19,118,118,118,,,"Les recherches menées pour trouver d'éventuels remèdes contre la Nouvelle Peste furent à l'origine du Virus à Evolution Forcée, utilisé ensuite pour tenter de créer un virus génétiquement transmissible; en réalité, une évolution infectieuse.","Les recherches menées pour trouver d'éventuels remèdes contre la Nouvelle Peste furent à l'origine du Virus à Evolution Forcée, utilisé ensuite pour tenter de créer un virus génétiquement transmissible; en réalité, une évolution infectieuse.",19,19,1,1,True
20,119,119,119,,,Peux-tu me parler de certaines zones en particulier?,Peux-tu me parler de certaines zones en particulier?,20,20,1,1,True
21,120,120,120,,,Comment le Virus agit-il?,Comment le Virus agit-il?,21,21,1,1,True
22,121,121,121,,,Merci pour le renseignement.,Merci pour le renseignement.,22,22,1,1,True
23,122,122,122,,,Tu ne possèdes apparemment pas un niveau de compréhension suffisant pour communiquer correctement.,Tu ne possèdes apparemment pas un niveau de compréhension suffisant pour communiquer correctement.,23,23,1,1,True
24,123,123,123,,,"J'ai été spécifiquement programmé pour mener des recherches biologiques, pathologiques et génétiques. Ma fonction principale réside dans l'extrapolation d'informations de niveaux de complexité dépassant les compétences humaines.","J'ai été spécifiquement programmé pour mener des recherches biologiques, pathologiques et génétiques. Ma fonction principale réside dans l'extrapolation d'informations de niveaux de complexité dépassant les compétences humaines.",24,24,1,1,True
25,124,124,124,,,"Alors, comme ça tu es rusé?","Alors, comme ça tu es rusé?",25,25,1,1,True
26,125,125,125,,,Quelles sont les particularités de tes recherches?,Quelles sont les particularités de tes recherches?,26,26,1,1,True
27,126,126,126,,,Qui t'a programmé?,Qui t'a programmé?,27,27,1,1,True
28,127,127,127,,,"Mon réseau neural principal fut créé en 2053 par Justin Lee. La procédure de ""programmation"" ne tarda pas à devenir caduque face à mes talents d'apprentissage.","Mon réseau neural principal fut créé en 2053 par Justin Lee. La procédure de ""programmation"" ne tarda pas à devenir caduque face à mes talents d'apprentissage.",28,28,1,1,True
29,128,128,128,,,"Es-tu pleinement conscient ou es-tu une simulation de personnalité? En d'autres termes, es-tu vraiment ""vivant""?","Es-tu pleinement conscient ou es-tu une simulation de personnalité? En d'autres termes, es-tu vraiment ""vivant""?",29,29,1,1,True
30,129,129,129,,,"Je suis capable d'apprendre, de penser et de créer. Mon réseau neural comprend une fonction d'insertion d'erreur qui empêche l'infaillibilité, permettant ainsi diverses expériences.","Je suis capable d'apprendre, de penser et de créer. Mon réseau neural comprend une fonction d'insertion d'erreur qui empêche l'infaillibilité, permettant ainsi diverses expériences.",30,30,1,1,True
31,130,130,130,,,"D'une certaine façon, je suis ""vivant"", mais pas de manière biologique.","D'une certaine façon, je suis ""vivant"", mais pas de manière biologique.",31,31,1,1,True
32,131,131,131,,,Je vois. Changeons de sujet.,Je vois. Changeons de sujet.,32,32,1,1,True
33,132,132,132,,,"Mais si tu es faillible, comment peux-tu servir d'outil de recherche?","Mais si tu es faillible, comment peux-tu servir d'outil de recherche?",33,33,1,1,True
34,133,133,133,,,T'es-tu interrogé sur les implications philosophiques de ta propre conscience?,T'es-tu interrogé sur les implications philosophiques de ta propre conscience?,34,34,1,1,True
