occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,FAIT,FAIT,11,11,1,1,True
2,101,101,101,,,OPTIONS,OPTIONS,12,12,1,1,True
3,102,102,102,,,ANNULER,ANNULER,13,13,1,1,True
4,103,103,103,,,IMPRIMER,IMPRIMER,14,14,1,1,True
5,104,104,104,,,AGE,AGE,15,15,1,1,True
6,105,105,105,,,SEXE,SEXE,16,16,1,1,True
7,106,106,106,,,NOM,NOM,17,17,1,1,True
8,107,107,107,,,MASC.,MASC.,18,18,1,1,True
9,108,108,108,,,FEM.,FEM.,19,19,1,1,True
10,109,109,109,,,APTITUDES,APTITUDES,20,20,1,1,True
11,110,110,110,,,KARMA,KARMA,21,21,1,1,True
12,111,111,111,,,VICTIMES,VICTIMES,22,22,1,1,True
13,112,112,112,,,POINTS COMPETENCES,POINTS COMPETENCES,23,23,1,1,True
14,113,113,113,,,Niveau,Niveau,24,24,1,1,True
15,114,114,114,,,Exp,Exp,25,25,1,1,True
16,115,115,115,,,Niveau suiv.,Niveau suiv.,26,26,1,1,True
17,116,116,116,,,PTS PERSONNAGE,PTS PERSONNAGE,27,27,1,1,True
18,117,117,117,,,COMPETENCES,COMPETENCES,28,28,1,1,True
19,118,118,118,,,Tu dois utiliser tous tes points,Tu dois utiliser tous tes points,29,29,1,1,True
20,119,119,119,,,personnage avant de lancer le jeu!,personnage avant de lancer le jeu!,30,30,1,1,True
21,120,120,120,,,Points personnage,Points personnage,32,32,1,1,True
22,121,121,121,,,Nombre de points personnage disponibles pouvant être ajoutés à l'une des statistiques de base.,Nombre de points personnage disponibles pouvant être ajoutés à l'une des statistiques de base.,33,33,1,1,True
23,122,122,122,,,Niveau suivant,Niveau suivant,34,34,1,1,True
24,123,123,123,,,Nombre de points d'expérience requis pour passer au niveau suivant.,Nombre de points d'expérience requis pour passer au niveau suivant.,35,35,1,1,True
25,124,124,124,,,Aptitudes,Aptitudes,36,36,1,1,True
26,125,125,125,,,Karma,Karma,37,37,1,1,True
27,126,126,126,,,Victimes,Victimes,38,38,1,1,True
28,127,127,127,,,Les aptitudes offrent des compétences supplémentaires. Tu peux choisir une aptitude tous les trois niveaux d'expérience.,Les aptitudes offrent des compétences supplémentaires. Tu peux choisir une aptitude tous les trois niveaux d'expérience.,39,39,1,1,True
29,128,128,128,,,Reflète les effets des choix que tu effectues pendant le jeu.,Reflète les effets des choix que tu effectues pendant le jeu.,40,40,1,1,True
30,129,129,129,,,Indicateur répertoriant le type et le nombre de créatures que tu as éliminées ou que tu as vu se faire tuer.,Indicateur répertoriant le type et le nombre de créatures que tu as éliminées ou que tu as vu se faire tuer.,41,41,1,1,True
31,130,130,130,,,Points compétences,Points compétences,42,42,1,1,True
32,131,131,131,,,Utilise tes points compétences disponibles pour accroître le niveau d'une compétence.,Utilise tes points compétences disponibles pour accroître le niveau d'une compétence.,43,43,1,1,True
33,132,132,132,,,Niveau maximum.,Niveau maximum.,45,45,1,1,True
34,133,133,133,,,Impossible de l'augmenter.,Impossible de l'augmenter.,46,46,1,1,True
35,134,134,134,,,Niveau minimum.,Niveau minimum.,47,47,1,1,True
36,135,135,135,,,Impossible de descendre.,Impossible de descendre.,48,48,1,1,True
37,136,136,136,,,Aucun point compétences disponible.,Aucun point compétences disponible.,49,49,1,1,True
38,137,137,137,,,Base:,Base:,50,50,1,1,True
39,138,138,138,,,ATOUTS PERSO.,ATOUTS PERSO.,51,51,1,1,True
40,139,139,139,,,QUALITES FACULTATIVES,QUALITES FACULTATIVES,52,52,1,1,True
41,140,140,140,,,Tu possèdes déjà les trois ,Tu possèdes déjà les trois ,53,53,1,1,True
42,141,141,141,,,atouts personnels maximaux!,atouts personnels maximaux!,54,54,1,1,True
43,142,142,142,,,Tu dois sélectionner tous les atouts ,Tu dois sélectionner tous les atouts ,55,55,1,1,True
44,143,143,143,,,personnels avant de lancer le jeu!,personnels avant de lancer le jeu!,56,56,1,1,True
45,144,144,144,,,Atouts personnels ,Atouts personnels ,57,57,1,1,True
46,145,145,145,,,Les atouts personnels correspondent aux spécialités de ton personnage. Chaque atout personnel donne +20% et augmente deux fois plus vite. Tu dois sélectionner trois atouts personnels.,Les atouts personnels correspondent aux spécialités de ton personnage. Chaque atout personnel donne +20% et augmente deux fois plus vite. Tu dois sélectionner trois atouts personnels.,58,58,1,1,True
47,146,146,146,,,Qualités facultatives,Qualités facultatives,59,59,1,1,True
48,147,147,147,,,"Les qualités facultatives présentent ton personnage plus en détail. Toutes les qualités ont des effets ou positifs ou négatifs. Pour créer ton personnage, tu peux choisir au maximum deux qualités.","Les qualités facultatives présentent ton personnage plus en détail. Toutes les qualités ont des effets ou positifs ou négatifs. Pour créer ton personnage, tu peux choisir au maximum deux qualités.",60,60,1,1,True
49,148,148,148,,,Tu possèdes déjà les deux ,Tu possèdes déjà les deux ,61,61,1,1,True
50,149,149,149,,,qualités maximales!,qualités maximales!,62,62,1,1,True
51,150,150,150,,,Compétences,Compétences,63,63,1,1,True
52,151,151,151,,,Correspondent aux connaissances acquises. Augmentent selon l'expérience ou les événements. Tes performances sont meilleures quand le niveau de la compétence est élevé.,Correspondent aux connaissances acquises. Augmentent selon l'expérience ou les événements. Tes performances sont meilleures quand le niveau de la compétence est élevé.,64,64,1,1,True
53,152,152,152,,,SELECTIONNE UNE APTITUDE,SELECTIONNE UNE APTITUDE,66,66,1,1,True
54,153,153,153,,,SELECTIONNE UNE QUALITE,SELECTIONNE UNE QUALITE,67,67,1,1,True
55,154,154,154,,,RENONCE A UNE QUALITE,RENONCE A UNE QUALITE,68,68,1,1,True
56,155,155,155,,,SELECTIONNE UN NOUVEL ATOUT,SELECTIONNE UN NOUVEL ATOUT,69,69,1,1,True
57,156,156,156,,,QUALITES,QUALITES,70,70,1,1,True
58,157,157,157,,,Toutes les statistiques doivent être comprises entre 1 et 10,Toutes les statistiques doivent être comprises entre 1 et 10,72,72,1,1,True
59,158,158,158,,,avant de lancer le jeu!,avant de lancer le jeu!,73,73,1,1,True
60,200,200,200,,,Nul,Nul,79,79,1,1,True
61,201,201,201,,,Mauv.,Mauv.,80,80,1,1,True
62,202,202,202,,,Faible,Faible,81,81,1,1,True
63,203,203,203,,,Moyen,Moyen,82,82,1,1,True
64,204,204,204,,,Normal,Normal,83,83,1,1,True
65,205,205,205,,,Bon,Bon,84,84,1,1,True
66,206,206,206,,,T. bon,T. bon,85,85,1,1,True
67,207,207,207,,,Super,Super,86,86,1,1,True
68,208,208,208,,,Exclt,Exclt,87,87,1,1,True
69,209,209,209,,,Héros,Héros,88,88,1,1,True
70,300,300,300,,,PI,PI,93,93,1,1,True
71,301,301,301,,,Points d'action,Points d'action,94,94,1,1,True
72,302,302,302,,,Type armure,Type armure,95,95,1,1,True
73,303,303,303,,,Dégâts en corps à corps,Dégâts en corps à corps,96,96,1,1,True
74,304,304,304,,,Dégâts en rixe,Dégâts en rixe,97,97,1,1,True
75,305,305,305,,,Rés. dégâts,Rés. dégâts,98,98,1,1,True
76,306,306,306,,,Rés. poison,Rés. poison,99,99,1,1,True
77,307,307,307,,,Rés. radiation,Rés. radiation,100,100,1,1,True
78,308,308,308,,,Ordre,Ordre,101,101,1,1,True
79,309,309,309,,,Vit. guérison,Vit. guérison,102,102,1,1,True
80,310,310,310,,,Coups critiques,Coups critiques,103,103,1,1,True
81,311,311,311,,,Charge max.,Charge max.,104,104,1,1,True
82,312,312,312,,,Empoisonnement,Empoisonnement,105,105,1,1,True
83,313,313,313,,,Irradiation,Irradiation,106,106,1,1,True
84,314,314,314,,,Blessure à l'il ,Blessure à l'il ,107,107,1,1,True
85,315,315,315,,,Bras dr. estropié,Bras dr. estropié,108,108,1,1,True
86,316,316,316,,,Bras g. estropié,Bras g. estropié,109,109,1,1,True
87,317,317,317,,,Jambe dr. estropiée,Jambe dr. estropiée,110,110,1,1,True
88,318,318,318,,,Jambe g. estropiée,Jambe g. estropiée,111,111,1,1,True
89,400,400,400,,,"Ton personnage a été empoisonné. Le poison agira un certain temps, jusqu'à ce que le mal soit éradiqué ou jusqu'à ce qu'il se propage.","Ton personnage a été empoisonné. Le poison agira un certain temps, jusqu'à ce que le mal soit éradiqué ou jusqu'à ce qu'il se propage.",117,117,1,1,True
90,401,401,401,,,"Ton personnage a été sérieusement irradié. Plus les radiations sont importantes, plus leurs effets sont mortels.","Ton personnage a été sérieusement irradié. Plus les radiations sont importantes, plus leurs effets sont mortels.",119,119,1,1,True
91,402,402,402,,,Cela signifie que ton personnage a été sérieusement touché à un il ou aux deux yeux. Ta perception en sera affectée.,Cela signifie que ton personnage a été sérieusement touché à un il ou aux deux yeux. Ta perception en sera affectée.,121,121,1,1,True
92,403,403,403,,,"Le bras droit du personnage a été gravement touché et estropié. Lorsqu'un bras est estropié, tu ne peux plus utiliser d'armes à deux mains. Lorsque les deux bras sont estropiés, tu ne peux plus utiliser aucune arme pour attaquer.","Le bras droit du personnage a été gravement touché et estropié. Lorsqu'un bras est estropié, tu ne peux plus utiliser d'armes à deux mains. Lorsque les deux bras sont estropiés, tu ne peux plus utiliser aucune arme pour attaquer.",123,123,1,1,True
93,404,404,404,,,"Le bras gauche du personnage a été gravement touché et estropié. Lorsqu'un bras est estropié, tu ne peux plus utiliser d'armes à deux mains. Lorsque les deux bras sont estropiés, tu ne peux plus utiliser aucune arme pour attaquer.","Le bras gauche du personnage a été gravement touché et estropié. Lorsqu'un bras est estropié, tu ne peux plus utiliser d'armes à deux mains. Lorsque les deux bras sont estropiés, tu ne peux plus utiliser aucune arme pour attaquer.",125,125,1,1,True
94,405,405,405,,,La jambe droite de ton personnage est estropiée.,La jambe droite de ton personnage est estropiée.,127,127,1,1,True
95,406,406,406,,,La jambe gauche de ton personnage est estropiée.,La jambe gauche de ton personnage est estropiée.,129,129,1,1,True
96,500,500,500,,,janvier,janvier,132,132,1,1,True
97,501,501,501,,,février,février,133,133,1,1,True
98,502,502,502,,,mars,mars,134,134,1,1,True
99,503,503,503,,,avril,avril,135,135,1,1,True
100,504,504,504,,,mai,mai,136,136,1,1,True
101,505,505,505,,,juin,juin,137,137,1,1,True
102,506,506,506,,,juillet,juillet,138,138,1,1,True
103,507,507,507,,,août,août,139,139,1,1,True
104,508,508,508,,,septembre,septembre,140,140,1,1,True
105,509,509,509,,,octobre,octobre,141,141,1,1,True
106,510,510,510,,,novembre,novembre,142,142,1,1,True
107,511,511,511,,,décembre,décembre,143,143,1,1,True
108,600,600,600,,,SAUVEGARDER,SAUVEGARDER,148,148,1,1,True
109,601,601,601,,,CHARGER,CHARGER,149,149,1,1,True
110,602,602,602,,,IMPRIMER FICHIER,IMPRIMER FICHIER,150,150,1,1,True
111,603,603,603,,,EFFACER,EFFACER,151,151,1,1,True
112,604,604,604,,,FAIT,FAIT,152,152,1,1,True
113,605,605,605,,,Veux-tu vraiment supprimer,Veux-tu vraiment supprimer,153,153,1,1,True
114,606,606,606,,,ce personnage?,ce personnage?,154,154,1,1,True
115,607,607,607,,, a été sauvegardé., a été sauvegardé.,155,155,1,1,True
116,608,608,608,,, a été chargé., a été chargé.,156,156,1,1,True
117,609,609,609,,,existe déjà.,existe déjà.,157,157,1,1,True
118,610,610,610,,,Annuler sauvegarde précédente?,Annuler sauvegarde précédente?,158,158,1,1,True
119,611,611,611,,,Erreur à la sauvegarde,Erreur à la sauvegarde,159,159,1,1,True
120,612,612,612,,,Erreur au chargement,Erreur au chargement,160,160,1,1,True
121,613,613,613,,,Fichier personnage incorrect.,Fichier personnage incorrect.,161,161,1,1,True
