occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Mur en tôle,Mur en tôle,1,1,1,1,True
2,200,200,200,,,Mur en tôle,Mur en tôle,2,2,1,1,True
3,300,300,300,,,Mur en tôle,Mur en tôle,3,3,1,1,True
4,400,400,400,,,Mur en tôle,Mur en tôle,4,4,1,1,True
5,500,500,500,,,Mur en tôle,Mur en tôle,5,5,1,1,True
6,600,600,600,,,Mur en tôle,Mur en tôle,6,6,1,1,True
7,700,700,700,,,Mur en tôle,Mur en tôle,7,7,1,1,True
8,800,800,800,,,Mur en tôle,Mur en tôle,8,8,1,1,True
9,900,900,900,,,Mur en tôle,Mur en tôle,9,9,1,1,True
10,1000,1000,1000,,,Mur en tôle,Mur en tôle,10,10,1,1,True
11,1100,1100,1100,,,Mur en tôle,Mur en tôle,11,11,1,1,True
12,1200,1200,1200,,,Mur en tôle,Mur en tôle,12,12,1,1,True
13,1300,1300,1300,,,Mur en tôle,Mur en tôle,13,13,1,1,True
14,1400,1400,1400,,,Mur en tôle,Mur en tôle,14,14,1,1,True
15,1500,1500,1500,,,Mur en tôle,Mur en tôle,15,15,1,1,True
16,1600,1600,1600,,,Mur en tôle,Mur en tôle,16,16,1,1,True
17,1700,1700,1700,,,Mur en tôle,Mur en tôle,17,17,1,1,True
18,1800,1800,1800,,,Mur en tôle,Mur en tôle,18,18,1,1,True
19,1801,1801,1801,,,,,19,19,1,1,True
20,1900,1900,1900,,,Angle du mur en tôle,Angle du mur en tôle,20,20,1,1,True
21,2000,2000,2000,,,Angle du mur en tôle,Angle du mur en tôle,21,21,1,1,True
22,2100,2100,2100,,,Angle du mur en tôle,Angle du mur en tôle,22,22,1,1,True
23,2200,2200,2200,,,Angle du mur en tôle,Angle du mur en tôle,23,23,1,1,True
24,2300,2300,2300,,,Mur en tôle,Mur en tôle,24,24,1,1,True
25,2400,2400,2400,,,Mur en tôle,Mur en tôle,25,25,1,1,True
26,2500,2500,2500,,,Angle du mur en tôle,Angle du mur en tôle,26,26,1,1,True
27,2600,2600,2600,,,Mur en tôle,Mur en tôle,27,27,1,1,True
28,2700,2700,2700,,,Mur en tôle,Mur en tôle,28,28,1,1,True
29,2800,2800,2800,,,Angle du mur en tôle,Angle du mur en tôle,29,29,1,1,True
30,2900,2900,2900,,,Mur en tôle,Mur en tôle,30,30,1,1,True
31,3000,3000,3000,,,Mur en tôle,Mur en tôle,31,31,1,1,True
32,3001,3001,3001,,,,,32,32,1,1,True
33,3100,3100,3100,,,Mur en tôle T,Mur en tôle T,33,33,1,1,True
34,3200,3200,3200,,,Mur en tôle T,Mur en tôle T,34,34,1,1,True
35,3300,3300,3300,,,Mur en tôle T,Mur en tôle T,35,35,1,1,True
36,3400,3400,3400,,,Mur en tôle à 4 côtés,Mur en tôle à 4 côtés,36,36,1,1,True
37,3500,3500,3500,,,Extrémité du mur en tôle,Extrémité du mur en tôle,37,37,1,1,True
38,3600,3600,3600,,,Extrémité du mur en tôle,Extrémité du mur en tôle,38,38,1,1,True
39,3700,3700,3700,,,Extrémité du mur en tôle,Extrémité du mur en tôle,39,39,1,1,True
40,3800,3800,3800,,,Extrémité du mur en tôle,Extrémité du mur en tôle,40,40,1,1,True
41,3900,3900,3900,,,Embrasure de porte,Embrasure de porte,41,41,1,1,True
42,4000,4000,4000,,,Embrasure de porte,Embrasure de porte,42,42,1,1,True
43,4100,4100,4100,,,Embrasure de porte,Embrasure de porte,43,43,1,1,True
44,4200,4200,4200,,,Embrasure de porte,Embrasure de porte,44,44,1,1,True
45,4300,4300,4300,,,Embrasure de porte,Embrasure de porte,45,45,1,1,True
46,4400,4400,4400,,,Embrasure de porte,Embrasure de porte,46,46,1,1,True
47,4500,4500,4500,,,Embrasure de porte,Embrasure de porte,47,47,1,1,True
48,4600,4600,4600,,,Embrasure de porte,Embrasure de porte,48,48,1,1,True
49,4700,4700,4700,,,Embrasure de porte,Embrasure de porte,49,49,1,1,True
50,4800,4800,4800,,,Embrasure de porte,Embrasure de porte,50,50,1,1,True
51,4900,4900,4900,,,Embrasure de porte,Embrasure de porte,51,51,1,1,True
52,5000,5000,5000,,,Mur,Mur,52,52,1,1,True
53,5100,5100,5100,,,Mur,Mur,53,53,1,1,True
54,5200,5200,5200,,,Mur,Mur,54,54,1,1,True
55,5300,5300,5300,,,Mur,Mur,55,55,1,1,True
56,5400,5400,5400,,,Mur,Mur,56,56,1,1,True
57,5500,5500,5500,,,Fenêtre en tôle,Fenêtre en tôle,57,57,1,1,True
58,5600,5600,5600,,,Tuyau,Tuyau,58,58,1,1,True
59,5700,5700,5700,,,Tuyau,Tuyau,59,59,1,1,True
60,5800,5800,5800,,,Tuyau,Tuyau,60,60,1,1,True
61,5900,5900,5900,,,Equipement,Equipement,61,61,1,1,True
62,5901,5901,5901,,,,,62,62,1,1,True
63,6000,6000,6000,,,Tuyaux,Tuyaux,63,63,1,1,True
64,6100,6100,6100,,,Tuyau,Tuyau,64,64,1,1,True
65,6200,6200,6200,,,Tuyau,Tuyau,65,65,1,1,True
66,6300,6300,6300,,,Tuyau,Tuyau,66,66,1,1,True
67,6400,6400,6400,,,Tuyau,Tuyau,67,67,1,1,True
68,6500,6500,6500,,,Tuyau,Tuyau,68,68,1,1,True
69,6600,6600,6600,,,Tuyau,Tuyau,69,69,1,1,True
