occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,   ATOUTS,   ATOUTS,4,4,1,1,True
2,101,101,101,,,ANNULER,ANNULER,5,5,1,1,True
3,102,102,102,,,ESQUIVE,ESQUIVE,6,6,1,1,True
4,103,103,103,,,PASSE-PART,PASSE-PART,7,7,1,1,True
5,104,104,104,,,VOLEUR,VOLEUR,8,8,1,1,True
6,105,105,105,,,PIEGES,PIEGES,9,9,1,1,True
7,106,106,106,,,SECOURISME,SECOURISME,10,10,1,1,True
8,107,107,107,,,MEDECIN,MEDECIN,11,11,1,1,True
9,108,108,108,,,SCIENCE,SCIENCE,12,12,1,1,True
10,109,109,109,,,REPARATION,REPARATION,13,13,1,1,True
