occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un súper mutante. Está vigilando la cámara.,Estás viendo a un súper mutante. Está vigilando la cámara.,1,1,1,1,True
2,101,101,101,,,Estás viendo a un guardia súper mutante.,Estás viendo a un guardia súper mutante.,2,2,1,1,True
3,102,102,102,,,"Jeremiah, deberías pasar.","Jeremiah, deberías pasar.",3,3,1,1,True
4,103,103,103,,,Circula.,Circula.,4,4,1,1,True
5,104,104,104,,,"Muévete más rápido, mensajero.","Muévete más rápido, mensajero.",5,5,1,1,True
6,105,105,105,,,¡Los Normales no pueden llevar armas aquí! ¡Deténte e identifícate!,¡Los Normales no pueden llevar armas aquí! ¡Deténte e identifícate!,6,6,1,1,True
7,106,106,106,,,¡Grrr!,¡Grrr!,7,7,1,1,True
8,107,107,107,,,"Uh, lo siento. Lo apartaré.","Uh, lo siento. Lo apartaré.",8,8,1,1,True
9,108,108,108,,,Sólo pasaba por aquí. Aquí no se necesitan identificaciones.,Sólo pasaba por aquí. Aquí no se necesitan identificaciones.,9,9,1,1,True
10,109,109,109,,,¡Muere! ¡Muere! ¡Muere! Siempre he querido decir eso.,¡Muere! ¡Muere! ¡Muere! Siempre he querido decir eso.,10,10,1,1,True
11,110,110,110,,,No te dirigirás a mí de ese modo. Te castigaré.,No te dirigirás a mí de ese modo. Te castigaré.,11,11,1,1,True
12,111,111,111,,,"¡Para! ¿Qué haces aquí, ""niño""?","¡Para! ¿Qué haces aquí, ""niño""?",12,12,1,1,True
13,112,112,112,,,¡Ung!,¡Ung!,13,13,1,1,True
14,113,113,113,,,"Estoy, uh, arreglando algunas cosillas.","Estoy, uh, arreglando algunas cosillas.",14,14,1,1,True
15,114,114,114,,,Tengo un asunto importante entre manos. Y tú no tienes derecho a pararme e interrogarme.,Tengo un asunto importante entre manos. Y tú no tienes derecho a pararme e interrogarme.,15,15,1,1,True
16,115,115,115,,,"No me hables, grandullón.","No me hables, grandullón.",16,16,1,1,True
17,116,116,116,,,Tu respuesta no me tranquiliza. Habla rápido y claro o asumiré que tus propósitos aquí son siniestros. Te garantizo que no te gustará que...,"Tu respuesta no me tranquiliza. Habla rápido y claro o asumiré que tus propósitos aquí son siniestros. Te garantizo que no
 te gustará que...",17,18,1,1,True
18,117,117,117,,,"Uh, no, de verdad que sí. Estoy arreglando algunas cosillas.","Uh, no, de verdad que sí. Estoy arreglando algunas cosillas.",19,19,1,1,True
19,118,118,118,,,Traigo un mensaje para nuestro jefe.,Traigo un mensaje para nuestro jefe.,20,20,1,1,True
20,119,119,119,,,Noto la mentira oculta en tus palabras. No te permitirán entrar. Lo que te prometí...,"Noto la mentira oculta en tus palabras. No te permitirán entrar.
 Lo que te prometí...",21,22,1,1,True
21,120,120,120,,,"Puedes pasar, pero la próxima vez, sigue el procedimiento adecuado...","Puedes pasar, pero la próxima vez, sigue el procedimiento adecuado...",23,23,1,1,True
22,121,121,121,,,"Vale, gracias. Nos vemos por ahí.","Vale, gracias. Nos vemos por ahí.",24,24,1,1,True
23,122,122,122,,,¿Y qué es eso?,¿Y qué es eso?,25,25,1,1,True
24,123,123,123,,,"Bendición, hermano.","Bendición, hermano.",26,26,1,1,True
25,124,124,124,,,Un verdadero seguidor del Maestro habría tenido esos conocimientos. ¡Eres un intruso!,Un verdadero seguidor del Maestro habría tenido esos conocimientos. ¡Eres un intruso!,27,27,1,1,True
26,125,125,125,,,Circula. No tengo tiempo para preguntas.,Circula. No tengo tiempo para preguntas.,28,28,1,1,True
27,126,126,126,,,Me estás mosqueando.,Me estás mosqueando.,29,29,1,1,True
28,127,127,127,,,Tengo trabajo que hacer. ¿Y tú?,Tengo trabajo que hacer. ¿Y tú?,30,30,1,1,True
29,128,128,128,,,Cometes un error viviendo aquí. Explícate o muere...,Cometes un error viviendo aquí. Explícate o muere...,31,31,1,1,True
30,129,129,129,,,¡Nasti!,¡Nasti!,32,32,1,1,True
31,130,130,130,,,No tengo nada que decir.,No tengo nada que decir.,33,33,1,1,True
32,131,131,131,,,Estoy aquí para proteger a la humanidad de tus semejantes.,Estoy aquí para proteger a la humanidad de tus semejantes.,34,34,1,1,True
33,132,132,132,,,"Oh, ¡cállate!","Oh, ¡cállate!",35,35,1,1,True
34,133,133,133,,,No intentes volverme loco haciéndote el tonto. Estoy cansado de esto...,No intentes volverme loco haciéndote el tonto. Estoy cansado de esto...,36,36,1,1,True
35,134,134,134,,,"¿Qué clase de fanatismo estúpido es ése?. Nosotros somos la ""humanidad."" Somos tan humanos como tú.","¿Qué clase de fanatismo estúpido es ése?. Nosotros somos la ""humanidad."" Somos tan
 humanos como tú.",37,38,1,1,True
36,135,135,135,,,¿Qué clase de mierda es ésa?,¿Qué clase de mierda es ésa?,39,39,1,1,True
37,136,136,136,,,"No puedes ser humano, de ninguna manera.","No puedes ser humano, de ninguna manera.",40,40,1,1,True
38,137,137,137,,,"Me llamo Kyle. Nací de madre y padre como tú. El Maestro simplemente supervisó mi renacimiento. Estos músculos, esta piel esta fuerza no me hacen menos humano que tú. No me gusta lo que la Unidad significa pero es la única oportunidad que tenemos para conseguir la paz.","Me llamo Kyle. Nací de madre y padre como tú.
 El Maestro simplemente supervisó mi renacimiento. Estos músculos, esta piel
 esta fuerza
 no me hacen menos humano que tú. No me gusta lo que la Unidad significa pero es la única oportunidad que tenemos para conseguir la paz.",41,44,1,1,True
39,138,138,138,,,Creo que no es nada de eso. Estoy aquí para acabar contigo y con tus semejantes.,Creo que no es nada de eso. Estoy aquí para acabar contigo y con tus semejantes.,45,45,1,1,True
40,139,139,139,,,"Puede que seas humano, pero eso no hace de tu Unidad algo bueno. Creo que seremos enemigos.","Puede que seas humano, pero eso no hace de tu Unidad algo bueno. Creo
 que seremos enemigos.",46,47,1,1,True
41,140,140,140,,,Es una pena que te comportes de esa manera pero ya no tendrás más oportunidades...,Es una pena que te comportes de esa manera pero ya no tendrás más oportunidades...,48,48,1,1,True
42,141,141,141,,,Será una verdadera pena ver tu cabeza colgando de una lanza.,Será una verdadera pena ver tu cabeza colgando de una lanza.,49,49,1,1,True
43,142,142,142,,,¡Intrusos!,¡Intrusos!,50,50,1,1,True
44,143,143,143,,,No hablo contigo.,No hablo contigo.,51,51,1,1,True
45,200,200,200,,,Ganas ,Ganas ,52,52,1,1,True
46,201,201,201,,, puntos de experiencia por colarte sin que te pillen los guardias., puntos de experiencia por colarte sin que te pillen los guardias.,53,53,1,1,True
