occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Estás viendo a Alya, una pirata del desierto.","Estás viendo a Alya, una pirata del desierto.",1,1,1,1,True
2,101,101,101,,,Soy Alya de los Khans. ¿En qué puedo ayudarte hoy?,Soy Alya de los Khans. ¿En qué puedo ayudarte hoy?,2,2,1,1,True
3,102,102,102,,,Estoy buscando a una mujer llamada Tandi. ¿La has visto?,Estoy buscando a una mujer llamada Tandi. ¿La has visto?,3,3,1,1,True
4,103,103,103,,,¿Qué tal un besito?,¿Qué tal un besito?,4,4,1,1,True
5,104,104,104,,,¿Por qué tu banda de Piratas ha atacado Arenas Sombrías?,¿Por qué tu banda de Piratas ha atacado Arenas Sombrías?,5,5,1,1,True
6,105,105,105,,,"No, gracias.","No, gracias.",6,6,1,1,True
7,106,106,106,,,¡Yujuu!,¡Yujuu!,7,7,1,1,True
8,107,107,107,,,"Si se trata de una de esas mujeres de Arenas Sombrías, quizás debas mirar allí. Ahora vete; tengo que acabar de afilar mis cuchillos.","Si se trata de una de esas mujeres de Arenas Sombrías, quizás debas mirar allí.
 Ahora vete; tengo que acabar de afilar mis cuchillos.",8,9,1,1,True
9,108,108,108,,,¡tu peux toujours courir!,¡tu peux toujours courir!,10,10,1,1,True
10,109,109,109,,,No atacamos a los de Arenas Sombrías. Procedemos del mismo lugar que ellos. ¡Está bien que compartan sus cosas con nosotros!,"No atacamos a los de Arenas Sombrías. Procedemos del mismo lugar que ellos.
 ¡Está bien que compartan sus cosas con nosotros!",11,12,1,1,True
11,110,110,110,,,Pero estáis atacando su ganado y aterrorizándolos.,Pero estáis atacando su ganado y aterrorizándolos.,13,13,1,1,True
12,111,111,111,,,Eso me parece justo.,Eso me parece justo.,14,14,1,1,True
13,112,112,112,,,"Oh, sí. Creo que me iré ahora.","Oh, sí. Creo que me iré ahora.",15,15,1,1,True
14,113,113,113,,,"Pareces tan débil como ellos. Mira, si tienen problemas de hambre, es culpa suya por no haberlo planeado con antelación. Digamos que comerciamos con talento.","Pareces tan débil como ellos. Mira, si tienen problemas de hambre,
 es culpa suya por no haberlo planeado con antelación.
 Digamos que comerciamos con talento.",16,18,1,1,True
15,114,114,114,,,¿¡¿Comerciáis con talento?!? ¿Cómo vamos a negociar con talento? No les dais nada.,"¿¡¿Comerciáis con talento?!? ¿Cómo vamos a negociar con talento? No les
 dais nada.",19,20,1,1,True
16,115,115,115,,,"Sí, claro, y yo soy la reina de Sabá.","Sí, claro, y yo soy la reina de Sabá.",21,21,1,1,True
17,116,116,116,,,"Oh, sí. Creo que me iré ahora.","Oh, sí. Creo que me iré ahora.",22,22,1,1,True
18,117,117,117,,,"Lo siento, pero no te comprendo. Estoy afilando mis cuchillos y me gustaría que no me molestasen.","Lo siento, pero no te comprendo. Estoy afilando
 mis cuchillos
 y me gustaría que no me molestasen.",23,25,1,1,True
19,118,118,118,,,Pero les damos lo más importante : emoción a sus vidas.,"Pero les damos lo más importante : emoción a
 sus vidas.",26,27,1,1,True
20,119,119,119,,,No creo que les guste ese tipo de emoción.,No creo que les guste ese tipo de emoción.,28,28,1,1,True
21,120,120,120,,,Creo que volveré ha hacer que sus vidas sean aburridas. ¡Y empezaré contigo!,Creo que volveré ha hacer que sus vidas sean aburridas. ¡Y empezaré contigo!,29,29,1,1,True
22,121,121,121,,,"Oh, sí. Creo que me voy a ir ahora.","Oh, sí. Creo que me voy a ir ahora.",30,30,1,1,True
23,122,122,122,,,"No pregunté. Pero ya que obviamente no tienes ningún concepto de lo que es divertirse, creo que acabaré con tu existencia.","No pregunté. Pero ya que obviamente no tienes ningún concepto de lo que es divertirse, creo que acabaré con tu existencia.",31,31,1,1,True
24,123,123,123,,,Burlarte de mí no te viene nada bien. Te sugiero que te apartes de mi vista.,Burlarte de mí no te viene nada bien. Te sugiero que te apartes de mi vista.,32,32,1,1,True
25,124,124,124,,,Está clarísimo que es justo. Ahora quítate de mi vista.,Está clarísimo que es justo. Ahora quítate de mi vista.,33,33,1,1,True
26,125,125,125,,,Ahora mismo estoy ocupado preparando nuestro próximo asalto.,Ahora mismo estoy ocupado preparando nuestro próximo asalto.,34,34,1,1,True
