occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Estás viendo a Andrew, el guardia de la prisión.","Estás viendo a Andrew, el guardia de la prisión.",1,1,1,1,True
2,101,101,101,,,"Vale, ya puedes irte.","Vale, ya puedes irte.",2,2,1,1,True
3,102,102,102,,,¡Eh! ¡Tú! ¡Para!,¡Eh! ¡Tú! ¡Para!,3,3,1,1,True
4,103,103,103,,,¿Puedo ayudarte?,¿Puedo ayudarte?,4,4,1,1,True
5,104,104,104,,,¿Quién eres?,¿Quién eres?,5,5,1,1,True
6,105,105,105,,,¿Qué estás haciendo?,¿Qué estás haciendo?,6,6,1,1,True
7,106,106,106,,,"No, gracias.","No, gracias.",7,7,1,1,True
8,107,107,107,,,Soy Andrew. Mi trabajo es vigilar la prisión.,Soy Andrew. Mi trabajo es vigilar la prisión.,8,8,1,1,True
9,108,108,108,,,Estoy vigilando la prisión. Me aseguro de que ningún infiel entra o sale de aquí.,Estoy vigilando la prisión. Me aseguro de que ningún infiel entra o sale de aquí.,9,9,1,1,True
10,109,109,109,,,¿Por qué no dejas que la gente entre en la prisión?,¿Por qué no dejas que la gente entre en la prisión?,10,10,1,1,True
11,110,110,110,,,Oh.,Oh.,11,11,1,1,True
12,111,111,111,,,Que tengas un buen día. Y no te metas en líos.,Que tengas un buen día. Y no te metas en líos.,12,12,1,1,True
13,112,112,112,,,Alguien puede dejar algo que ayude a un prisionero a escapar. O se puede encerrar dentro y quedarse ahí hasta que encontremos las llaves.,Alguien puede dejar algo que ayude a un prisionero a escapar. O se puede encerrar dentro y quedarse ahí hasta que encontremos las llaves.,13,13,1,1,True
14,113,113,113,,,¡Agg!,¡Agg!,14,14,1,1,True
15,114,114,114,,,"Circula, tío.","Circula, tío.",15,15,1,1,True
16,115,115,115,,,"Circula, tía.","Circula, tía.",16,16,1,1,True
17,116,116,116,,,¡Eh! ¡Basta ya!,¡Eh! ¡Basta ya!,17,17,1,1,True
