occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a la Doctora de la Hermandad.,Estás viendo a la Doctora de la Hermandad.,1,1,1,1,True
2,102,102,102,,,"Hola, ¿puedo ayudarte?","Hola, ¿puedo ayudarte?",2,2,1,1,True
3,103,103,103,,,Estoy herido.,Estoy herido.,3,3,1,1,True
4,104,104,104,,,He sido irradiado.,He sido irradiado.,4,4,1,1,True
5,105,105,105,,,¿Haces operaciones?,¿Haces operaciones?,5,5,1,1,True
6,106,106,106,,,Háblame de las operaciones otra vez.,Háblame de las operaciones otra vez.,6,6,1,1,True
7,107,107,107,,,¡Uy!,¡Uy!,7,7,1,1,True
8,108,108,108,,,¿Estás mal? Veamos...,¿Estás mal? Veamos...,8,8,1,1,True
9,109,109,109,,,Ése era el problema. Eso es. Tienes que tener más cuidado ahí fuera.,Ése era el problema. Eso es. Tienes que tener más cuidado ahí fuera.,9,9,1,1,True
10,110,110,110,,,"Lo siento, no podré ayudarte si no me cuentas cuál es el problema.","Lo siento, no podré ayudarte si no me cuentas cuál es el problema.",10,10,1,1,True
11,111,111,111,,,Al parecer estás bien.,Al parecer estás bien.,11,11,1,1,True
12,112,112,112,,,Eso es. Espero que te sientas mejor.,Eso es. Espero que te sientas mejor.,12,12,1,1,True
13,113,113,113,,,"Eso es, pero deja de meterte en peleas.","Eso es, pero deja de meterte en peleas.",13,13,1,1,True
14,114,114,114,,,Eso debería haberte curado.,Eso debería haberte curado.,14,14,1,1,True
15,115,115,115,,,Estás como nuevo.,Estás como nuevo.,15,15,1,1,True
16,116,116,116,,,Estás totalmente fuera de peligro.,Estás totalmente fuera de peligro.,16,16,1,1,True
17,117,117,117,,,Las radiaciones son muy peligrosas; deberías tener más cuidado.,Las radiaciones son muy peligrosas; deberías tener más cuidado.,17,17,1,1,True
18,118,118,118,,,No tengo tiempo para jueguecitos.,No tengo tiempo para jueguecitos.,18,18,1,1,True
19,119,119,119,,,"Por supuesto, pero es muy caro y  se necesita mucho tiempo.","Por supuesto, pero es muy caro y  se necesita mucho tiempo.",19,19,1,1,True
20,120,120,120,,,¿Detalles?,¿Detalles?,20,20,1,1,True
21,121,121,121,,,"Vale, no importa.","Vale, no importa.",21,21,1,1,True
22,122,122,122,,,"Bien, puedo hacer que seas más fuerte, más resistente, puedo aumentar tu percepción, ayudarte a mejorar tu proceso de aprendizaje y aumentar tu destreza. ¿Sobre qué operación quieres informarte? Sólo puedo realizar una operación a la vez.","Bien, puedo hacer que seas más fuerte, más resistente, puedo aumentar
 tu percepción, ayudarte a mejorar tu proceso de aprendizaje y aumentar
 tu destreza. ¿Sobre qué operación quieres informarte?
 Sólo puedo realizar una operación a la vez.",22,25,1,1,True
23,126,126,126,,,"Vale, ¿de qué operación quieres hablar?","Vale, ¿de qué operación quieres hablar?",26,26,1,1,True
24,127,127,127,,,Fuerza.,Fuerza.,27,27,1,1,True
25,128,128,128,,,Percepción.,Percepción.,28,28,1,1,True
26,129,129,129,,,Resistencia.,Resistencia.,29,29,1,1,True
27,130,130,130,,,Inteligencia.,Inteligencia.,30,30,1,1,True
28,131,131,131,,,Agilidad.,Agilidad.,31,31,1,1,True
29,132,132,132,,,No importa.,No importa.,32,32,1,1,True
30,133,133,133,,,Es fácil de realizar pero la recuperación es larga. Sólo cuesta 2000 vales pero tarda tres semanas en cicatrizar.,"Es fácil de realizar pero la recuperación es larga. Sólo
 cuesta 2000 vales pero tarda tres semanas en cicatrizar.",33,34,1,1,True
31,135,135,135,,,¡Lo haré!,¡Lo haré!,35,35,1,1,True
32,136,136,136,,,¡Lo haré!.,¡Lo haré!.,36,36,1,1,True
33,137,137,137,,,Ésa es una operación difícil. Cuesta 4000 vales pero el periodo de recuperación es sólo de una semana.,"Ésa es una operación difícil. Cuesta 4000 vales pero el periodo
 de recuperación es sólo de una semana.",37,38,1,1,True
34,139,139,139,,,Ésta no es tan difícil. La recuperación es de una semana y cuesta 3000 vales.,"Ésta no es tan difícil. La recuperación es de una semana y cuesta
 3000 vales.",39,40,1,1,True
35,141,141,141,,,¡Ésta es la más complicada y peligrosa! La recuperación es de tres semanas y cuesta 6000 vales.,"¡Ésta es la más complicada y peligrosa! La recuperación es de
 tres semanas y cuesta 6000 vales.",41,42,1,1,True
36,143,143,143,,,No es una operación tan complicada pero es muy cara y la recuperación es larga. Tarda tres semanas y cuesta 5000  vales.,"No es una operación tan complicada pero es muy cara y la recuperación
 es larga. Tarda tres semanas y cuesta 5000 
 vales.",43,45,1,1,True
37,146,146,146,,,"Vale, eso es. Espero que la espuma no te haya irritado la piel.","Vale, eso es. Espero que la espuma no te haya irritado la piel.",46,46,1,1,True
38,147,147,147,,,"Lo siento, pero no puedo ayudarte si no tienes el dinero.","Lo siento, pero no puedo ayudarte si no tienes el dinero.",47,47,1,1,True
39,148,148,148,,,"Lo siento, pero eres un forastero. Cuando lleves más de diez años en la Hermandad, podrás operarte gratis pero tenemos gastos y tú todavía no eres un trabajador habitual de laermandad.","Lo siento, pero eres un forastero. Cuando lleves más de diez años en la Hermandad, podrás operarte gratis pero tenemos gastos y tú todavía no eres un trabajador habitual de laermandad.",48,48,1,1,True
40,149,149,149,,,Házmelo saber cuando tengas el dinero.,Házmelo saber cuando tengas el dinero.,49,49,1,1,True
41,153,153,153,,,¿Querías preguntar sobre alguna otra operación?,¿Querías preguntar sobre alguna otra operación?,50,50,1,1,True
42,154,154,154,,,"Vale, no es nada. . .sólo bromeaba. Podemos empezar enseguida. (Ella te anestesia y te duermes lentamente.)","Vale, no es nada. . .sólo bromeaba. Podemos empezar enseguida. (Ella te anestesia y te duermes lentamente.)",51,51,1,1,True
43,156,156,156,,,"Bueno, ¿cómo te sientes? (Empiezas a notar la diferencia.) Hablas mucho cuando duermes. ¡Ya te puedes ir! Buen día.","Bueno, ¿cómo te sientes? (Empiezas a notar la diferencia.)
 Hablas mucho cuando duermes. ¡Ya te puedes ir! Buen día.",52,53,1,1,True
44,159,159,159,,,El muerto al hoyo y el vivo al bollo. . . (Caes como una roca en un abismo.),El muerto al hoyo y el vivo al bollo. . . (Caes como una roca en un abismo.),54,54,1,1,True
