occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un Guardia de las Caravanas.,Estás viendo a un Guardia de las Caravanas.,1,1,1,1,True
2,101,101,101,,,No puedo creer que hayamos perdido al jefe. ¿Quieres volver con nosotros? Aún podemos pagarte los 400 vales.,"No puedo creer que hayamos perdido al jefe. ¿Quieres volver con nosotros?
 Aún podemos pagarte los 400 vales.",2,3,1,1,True
3,102,102,102,,,"Es una pena que hayamos perdido al conductor; a Rutger no le hará nada de gracia. Si quieres, podemos pagarte lo mismo para que vuelvas con nosotros al Eje.","Es una pena que hayamos perdido al conductor; a Rutger no le hará nada de gracia.
 Si quieres, podemos pagarte lo mismo para que vuelvas con nosotros al
 Eje.",4,6,1,1,True
4,103,103,103,,,¿Vas a volver con nosotros? Yo conduciré esta cosa. La paga es la misma.,¿Vas a volver con nosotros? Yo conduciré esta cosa. La paga es la misma.,7,7,1,1,True
5,104,104,104,,,"Bien, no te conozco, pero creo que esperaré a otra caravana. No quiero volver solo. Si quieres volver, iré contigo, pero si no lo consigo no obtendrás los 400 vales.","Bien, no te conozco, pero creo que esperaré a otra
 caravana. No quiero volver solo. Si quieres volver, iré contigo,
 pero si no lo consigo no obtendrás los 400 vales.",8,10,1,1,True
6,105,105,105,,,"Fue horrible. Si quieres, puedo conseguirte otros 400 vales si vuelves al Eje conmigo. Resulta muy peligroso para una sola persona","Fue horrible. Si quieres, puedo conseguirte otros
 400 vales si vuelves al Eje conmigo. Resulta muy peligroso para una sola
 persona",11,13,1,1,True
7,106,106,106,,,"Obtendrás otros 400 vales si puedes llevarme a mí y a la caravana al Eje sanos y salvos, pero sólo si lo consigues. Has de cubrirme si nos metemos en líos.","Obtendrás otros 400 vales si puedes llevarme a mí y a la caravana al
 Eje sanos y salvos, pero sólo si lo consigues. Has de cubrirme
 si nos metemos en líos.",14,16,1,1,True
8,107,107,107,,,Vale; iré contigo.,Vale; iré contigo.,17,17,1,1,True
9,108,108,108,,,"No gracias, ya he hecho muchas guardias.","No gracias, ya he hecho muchas guardias.",18,18,1,1,True
10,109,109,109,,,Tuk.,Tuk.,19,19,1,1,True
11,110,110,110,,,¡Fantástico! ¡Vámonos de aquí!,¡Fantástico! ¡Vámonos de aquí!,20,20,1,1,True
12,111,111,111,,,"Vale, entiendo.","Vale, entiendo.",21,21,1,1,True
13,112,112,112,,,Lo haré.,Lo haré.,22,22,1,1,True
14,113,113,113,,,Vale.,Vale.,23,23,1,1,True
15,114,114,114,,,¿Estás bien?,¿Estás bien?,24,24,1,1,True
16,115,115,115,,,Creo que necesitas descansar.,Creo que necesitas descansar.,25,25,1,1,True
17,116,116,116,,,"Oh, creo que deberías visitar al Doctor de la Hermandad.","Oh, creo que deberías visitar al Doctor de la Hermandad.",26,26,1,1,True
18,117,117,117,,,Hemos perdido al Jefe. ¿Te vienes con nosotros? Aún podemos pagarte los 400 vales.,"Hemos perdido al Jefe. ¿Te vienes con nosotros? Aún podemos pagarte
 los 400 vales.",27,28,1,1,True
19,118,118,118,,,Nuestro conductor era una buena persona . . . una gran pérdida. Aún puedo pagarte los 400 vales si quieres volver con nosotros al Eje.,"Nuestro conductor era una buena persona . . . una gran pérdida.
 Aún puedo pagarte los 400 vales si quieres volver con nosotros al Eje.",29,30,1,1,True
20,119,119,119,,,Volveremos si quieres venir con nosotros. La paga será la misma.,"Volveremos si quieres venir con nosotros. La paga será la
 misma.",31,32,1,1,True
21,120,120,120,,,"Guau, no puedo creer que seamos los únicos que quedemos. Iré contigo, pero si no llegamos no obtendrás esos 400 vales.","Guau, no puedo creer que seamos los únicos que quedemos. Iré contigo,
 pero si no llegamos no obtendrás esos 400 vales.",33,34,1,1,True
22,121,121,121,,,"Eso fue horrible. Si quieres, puedo conseguirte otros 400 vales si vuelves al Eje conmigo. Es demasiado peligroso para una sola persona.","Eso fue horrible. Si quieres, puedo conseguirte
 otros 400 vales si vuelves al Eje conmigo. Es demasiado
 peligroso para una sola persona.",35,37,1,1,True
23,122,122,122,,,"Obtendrás otros 400 vales si puedes llevarme a mí y a la caravana al Eje sanos y salvos, pero sólo si lo consigues. Has de cubrirme si nos metemos en líos.","Obtendrás otros 400 vales si puedes llevarme a mí y a la caravana al
 Eje sanos y salvos, pero sólo si lo consigues. Has de cubrirme
 si nos metemos en líos.",38,40,1,1,True
