occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo al jefe de las caravanas.,Estás viendo al jefe de las caravanas.,1,1,1,1,True
2,101,101,101,,,"Bien, aquí está. Aquí esta tu paga de ","Bien, aquí está. Aquí esta tu paga de ",2,2,1,1,True
3,102,102,102,,, chapas. [Saca una bolsa vieja y raída y te da el dinero.] Te daré más , chapas. [Saca una bolsa vieja y raída y te da el dinero.] Te daré más ,3,3,1,1,True
4,103,103,103,,," chapas si vuelves con nosotros al Eje. Descansaremos un poco aquí, pero no te vayas muy lejos o la caravana partirá sin ti."," chapas si vuelves con nosotros al Eje. Descansaremos un poco aquí, pero no te vayas muy lejos o la caravana partirá sin ti.",4,4,1,1,True
5,104,104,104,,,Aaa... Vale.,Aaa... Vale.,5,5,1,1,True
6,105,105,105,,,¿Cuánto tiempo falta para que salga la caravana?,¿Cuánto tiempo falta para que salga la caravana?,6,6,1,1,True
7,106,106,106,,,¿Qué puedes contarme de Ciudad Vertedero?,¿Qué puedes contarme de Ciudad Vertedero?,7,7,1,1,True
8,107,107,107,,,¿Qué puedes contarme del Cementerio?,¿Qué puedes contarme del Cementerio?,8,8,1,1,True
9,108,108,108,,,¿Qué puedes contarme de la Hermandad de Acero?,¿Qué puedes contarme de la Hermandad de Acero?,9,9,1,1,True
10,109,109,109,,,"No sé si entenderás esto, pero salimos en dos horas o en cuanto estés listo.","No sé si entenderás esto, pero salimos en dos horas o en cuanto estés listo.",10,10,1,1,True
11,110,110,110,,,Um...,Um...,11,11,1,1,True
12,111,111,111,,,¿Eh?,¿Eh?,12,12,1,1,True
13,112,112,112,,,Vale.,Vale.,13,13,1,1,True
14,113,113,113,,,"Tío, actualmente sólo contratamos a imbéciles.","Tío, actualmente sólo contratamos a imbéciles.",14,14,1,1,True
15,114,114,114,,,"Normalmente salimos dos horas después de la llegada.  No hay nada aquí que no hayamos visto antes, así que si quieres que salgamos más pronto, avísame cuando quieras.","Normalmente salimos dos horas después de la llegada.  No hay nada aquí que no hayamos visto antes,
 así que si quieres que salgamos más pronto, avísame cuando quieras.",15,16,1,1,True
16,115,115,115,,,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,17,17,1,1,True
17,116,116,116,,,Vale. Volvamos al Eje.  Yo tampoco tengo nada que ver aquí.,Vale. Volvamos al Eje.  Yo tampoco tengo nada que ver aquí.,18,18,1,1,True
18,117,117,117,,,¿Qué puedes contarme de Ciudad Vertedero?,¿Qué puedes contarme de Ciudad Vertedero?,19,19,1,1,True
19,118,118,118,,,¿Qué puedes contarme del Cementerio?,¿Qué puedes contarme del Cementerio?,20,20,1,1,True
20,119,119,119,,,¿Qué puedes contarme de la Hermandad de Acero?,¿Qué puedes contarme de la Hermandad de Acero?,21,21,1,1,True
21,120,120,120,,,"Bien, en realidad se parece un poco al Eje.  También tiene sus problemas: bandas ladrones, ya sabes... lo típico.  Total, es mi ciudad ideal. [Risas]","Bien, en realidad se parece un poco al Eje.  También tiene sus problemas: bandas
 ladrones, ya sabes... lo típico.  Total, es mi ciudad ideal. [Risas]",22,23,1,1,True
22,121,121,121,,,¿Cuánto tiempo falta para que salga la caravana?,¿Cuánto tiempo falta para que salga la caravana?,24,24,1,1,True
23,122,122,122,,,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,25,25,1,1,True
24,123,123,123,,,"Esta parte del Cementerio se llama Adytum. El Cementerio está prácticamente gobernado por bandas. Una zona dura. Cuidado con lo que haces aquí. Adytum está gobernado por los Reguladores.  Intentan mantener este lugar al margen de las batallas callejeras. No son demasiado amigos de los extraños, por lo que si no has hablado aún con ellos, te aconsejo que lo hagas antes de que empieces a merodear por ahí.","Esta parte del Cementerio se llama Adytum. El Cementerio está prácticamente gobernado por bandas. Una zona dura. Cuidado con lo que haces aquí.
 Adytum está gobernado por los Reguladores.  Intentan mantener este lugar al margen de las batallas callejeras. No son demasiado amigos de los extraños, por lo que si no has hablado aún con ellos, te aconsejo que lo hagas antes de que empieces a merodear por ahí.",26,27,1,1,True
25,124,124,124,,,Vacío,Vacío,28,28,1,1,True
26,125,125,125,,,¿Cuánto tiempo falta para que salga la caravana?,¿Cuánto tiempo falta para que salga la caravana?,29,29,1,1,True
27,126,126,126,,,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,30,30,1,1,True
28,127,127,127,,,"No puedo contarte mucho de ellos. La Hermandad es muy prudente con sus cosas. Hay mucha gente que los critica, pero según tengo entendido son buena gente.  Un poco fanáticos, quizás, pero tios majos.","No puedo contarte mucho de ellos. La Hermandad es muy prudente con sus cosas. Hay mucha gente que los critica, pero según tengo entendido son buena gente.  Un poco fanáticos, quizás, pero tios majos.",31,31,1,1,True
29,128,128,128,,,¿Cuánto tiempo falta para que salga la caravana?,¿Cuánto tiempo falta para que salga la caravana?,32,32,1,1,True
30,129,129,129,,,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,Creo que me daré una vuelta antes de que salgamos.  Te veré luego.,33,33,1,1,True
31,130,130,130,,,¿Estás listo para partir?,¿Estás listo para partir?,34,34,1,1,True
