occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Éste es un pupitre desvencijado con un ordenador viejo y polvoriento colocado encima de él.,Éste es un pupitre desvencijado con un ordenador viejo y polvoriento colocado encima de él.,1,1,1,1,True
2,101,101,101,,,Vuelves a colocar el chip perdido y la pantalla se enciende.,Vuelves a colocar el chip perdido y la pantalla se enciende.,2,2,1,1,True
3,102,102,102,,,Los circuitos se quemaron  por una explosión EMP.,Los circuitos se quemaron  por una explosión EMP.,3,3,1,1,True
4,103,103,103,,,No funciona.,No funciona.,4,4,1,1,True
5,104,104,104,,,Te cortas las manos con la caja.,Te cortas las manos con la caja.,5,5,1,1,True
6,105,105,105,,,Wyndoze 99 se pone en marcha.                                          U:\ > ,"Wyndoze 99 se pone en marcha.
                                          U:\ > ",6,7,1,1,True
7,106,106,106,,,dir,dir,8,8,1,1,True
8,107,107,107,,,exit,exit,9,9,1,1,True
9,108,108,108,,,"FALLOUT    <DIR>          10-20-99   1:04p                            0 bytes in 1 archivo     0 bytes asignados                            4,379,255 bytes libres","FALLOUT    <DIR>          10-20-99   1:04p
                            0 bytes in 1 archivo     0 bytes asignados
                            4,379,255 bytes libres",10,12,1,1,True
10,109,109,109,,,cd fallout,cd fallout,13,13,1,1,True
11,110,110,110,,,exit,exit,14,14,1,1,True
12,111,111,111,,,U:\ > ,U:\ > ,15,15,1,1,True
13,112,112,112,,,dir,dir,16,16,1,1,True
14,113,113,113,,,fallout.exe,fallout.exe,17,17,1,1,True
15,114,114,114,,,exit,exit,18,18,1,1,True
16,115,115,115,,,".          <DIR>               10-20-99   1:04p                            ..         <DIR>               10-20-99   1:04p                            fallout.exe     1384432   10-20-99   1:04p                            1,384,432 bytes en 3 archivos 1,384,482 bytes allocated",".          <DIR>               10-20-99   1:04p
                            ..         <DIR>               10-20-99   1:04p
                            fallout.exe     1384432   10-20-99   1:04p
                            1,384,432 bytes en 3 archivos 1,384,482 bytes allocated",19,22,1,1,True
17,116,116,116,,,[más],[más],23,23,1,1,True
18,117,117,117,,, , ,24,24,1,1,True
19,118,118,118,,,Hmm. ¡Este juego es fantástico!,Hmm. ¡Este juego es fantástico!,25,25,1,1,True
20,119,119,119,,,Ganas 100 puntos de experiencia por jugar a Fallout.,Ganas 100 puntos de experiencia por jugar a Fallout.,26,26,1,1,True
