occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un Enterrador.,Estás viendo a un Enterrador.,1,1,1,1,True
2,101,101,101,,,Estás viendo a un bandido.,Estás viendo a un bandido.,2,2,1,1,True
3,102,102,102,,,"Bienvenido a la banda, colega.","Bienvenido a la banda, colega.",3,3,1,1,True
4,103,103,103,,,Nosotros los Enterradores acabaremos con esos Locos.,Nosotros los Enterradores acabaremos con esos Locos.,4,4,1,1,True
5,104,104,104,,,Me alegro que estés en nuestro bando.,Me alegro que estés en nuestro bando.,5,5,1,1,True
6,105,105,105,,,"Con tu ayuda, liquidaremos a los Locos.","Con tu ayuda, liquidaremos a los Locos.",6,6,1,1,True
7,106,106,106,,,Esta ciudad es ahora nuestra.,Esta ciudad es ahora nuestra.,7,7,1,1,True
8,107,107,107,,,Me gusta tu estilo.,Me gusta tu estilo.,8,8,1,1,True
9,108,108,108,,,Tienes que vestirte de cuero ahora que eres un Enterrador.,Tienes que vestirte de cuero ahora que eres un Enterrador.,9,9,1,1,True
10,109,109,109,,,"No queremos verte por aquí, Loco.","No queremos verte por aquí, Loco.",10,10,1,1,True
11,110,110,110,,,Sal antes de que acabemos contigo.,Sal antes de que acabemos contigo.,11,11,1,1,True
12,111,111,111,,,"Si empiezas una pelea, todos los Enterradores se te echarán encima.","Si empiezas una pelea, todos los Enterradores se te echarán encima.",12,12,1,1,True
13,112,112,112,,,Te equivocaste. Ahora te enterraremos.,Te equivocaste. Ahora te enterraremos.,13,13,1,1,True
14,113,113,113,,,¿Qué haces aquí?,¿Qué haces aquí?,14,14,1,1,True
15,114,114,114,,,Chatarra de la Pila nos pertenece.,Chatarra de la Pila nos pertenece.,15,15,1,1,True
16,115,115,115,,,"En Chatarra de la Pila, el que no está de nuestro lado es un perdedor o un Loco. ¿Qué eres tú?","En Chatarra de la Pila, el que no está de nuestro lado es un perdedor o un Loco. ¿Qué eres tú?",16,16,1,1,True
17,116,116,116,,,¿Me estás hablando? ¿Estás hablando conmigo?,¿Me estás hablando? ¿Estás hablando conmigo?,17,17,1,1,True
18,117,117,117,,,Esto no es ningún juego. O eres un Enterrador o te enterramos.,Esto no es ningún juego. O eres un Enterrador o te enterramos.,18,18,1,1,True
19,118,118,118,,,Sólo los Enterradores tienen derecho a llevar cuero.,Sólo los Enterradores tienen derecho a llevar cuero.,19,19,1,1,True
20,119,119,119,,,"Locos, corred mientras podáis.","Locos, corred mientras podáis.",20,20,1,1,True
21,120,120,120,,,"Eh, Rayze, la temporada de caza a comenzado y los Locos están entre las presas.","Eh, Rayze, la temporada de caza a comenzado y los Locos están entre las presas.",21,21,1,1,True
22,121,121,121,,,"Eh, colegas. Dejadme que me cargue al Loco.","Eh, colegas. Dejadme que me cargue al Loco.",22,22,1,1,True
