occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo al Suplente Fry.,Estás viendo al Suplente Fry.,1,1,1,1,True
2,101,101,101,,,Hola. Suplente Tony Fry a tu servicio.,Hola. Suplente Tony Fry a tu servicio.,2,2,1,1,True
3,102,102,102,,,¿Qué es este lugar?,¿Qué es este lugar?,3,3,1,1,True
4,103,103,103,,,Quítate de mi camino o tendré que mandarte a tomar viento.,Quítate de mi camino o tendré que mandarte a tomar viento.,4,4,1,1,True
5,104,104,104,,,Yo no lo hice.,Yo no lo hice.,5,5,1,1,True
6,105,105,105,,,Encantado conocerte. Adiós.,Encantado conocerte. Adiós.,6,6,1,1,True
7,106,106,106,,,Wug.,Wug.,7,7,1,1,True
8,107,107,107,,,¡Ack!,¡Ack!,8,8,1,1,True
9,108,108,108,,,"Oh, ¡un recién llegado!  ¡Bienvenido al Eje!  Pensé que eras de las caravanas. ¿Viniste con ellos?","Oh, ¡un recién llegado!  ¡Bienvenido al Eje!  Pensé que eras de las caravanas. ¿Viniste con ellos?",9,9,1,1,True
10,109,109,109,,,Sí.,Sí.,10,10,1,1,True
11,110,110,110,,,No.,No.,11,11,1,1,True
12,111,111,111,,,"No me sorprende.  La mayoría de los nuevos miembros de nuestra ciudad llegaron con las caravanas a pesar de las caravanas desaparecidas. La ciudad está bien, pero ten cuidado con quién te relacionas.  Los tíos como Decker y sus matones pueden meterte en un montón de líos.","No me sorprende.  La mayoría de los nuevos miembros de nuestra ciudad llegaron con las caravanas a pesar de las caravanas desaparecidas. La ciudad está bien, pero ten cuidado con quién te relacionas.  Los tíos como Decker y sus matones pueden meterte en un montón de líos.",12,12,1,1,True
13,112,112,112,,,¿Quién es Decker?,¿Quién es Decker?,13,13,1,1,True
14,113,113,113,,,¿Caravanas Desaparecidas?,¿Caravanas Desaparecidas?,14,14,1,1,True
15,114,114,114,,,"Vale, gracias.","Vale, gracias.",15,15,1,1,True
16,115,115,115,,,"Estoy sorprendido.  Ha habido algo de revuelo, especialmente con las caravanas desaparecidas. Pero ahora estás a salvo ; mantente lejos del Halcón Maltés. Decker y sus colegas son un grupo de liantes problemáticos.","Estoy sorprendido.  Ha habido algo de revuelo, especialmente con las caravanas desaparecidas. Pero ahora estás a salvo ; mantente lejos del Halcón Maltés. Decker y sus colegas son un grupo de liantes problemáticos.",16,16,1,1,True
17,116,116,116,,,¿Quién es Decker?,¿Quién es Decker?,17,17,1,1,True
18,117,117,117,,,¿Caravanas Desaparecidas?,¿Caravanas Desaparecidas?,18,18,1,1,True
19,118,118,118,,,"Sí, bueno, estoy bastante nervioso.","Sí, bueno, estoy bastante nervioso.",19,19,1,1,True
20,119,119,119,,,"Creo que sí. Bueno, ¿no tenías otra pregunta?","Creo que sí. Bueno, ¿no tenías otra pregunta?",20,20,1,1,True
21,120,120,120,,,¿Quién es Decker?,¿Quién es Decker?,21,21,1,1,True
22,121,121,121,,,¿Qué es eso de las caravanas desaparecidas?,¿Qué es eso de las caravanas desaparecidas?,22,22,1,1,True
23,122,122,122,,,"Eso es, gracias.","Eso es, gracias.",23,23,1,1,True
