occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Lou of the Nightkin.,You see Lou of the Nightkin.,1,1,1,1,True
2,101,101,101,,,You see Sue of the Nightkin.,You see Sue of the Nightkin.,2,2,1,1,True
3,102,102,102,,,You see Drew of the Nightkin.,You see Drew of the Nightkin.,3,3,1,1,True
4,103,103,103,,,You see Kurt of the Nightkin.,You see Kurt of the Nightkin.,4,4,1,1,True
5,104,104,104,,,You see Bert of the Nightkin.,You see Bert of the Nightkin.,5,5,1,1,True
6,105,105,105,,,You see Tyche of the Nightkin.,You see Tyche of the Nightkin.,6,6,1,1,True
7,106,106,106,,,You see Mike of the Nightkin.,You see Mike of the Nightkin.,7,7,1,1,True
8,107,107,107,,,You see Char of the Nightkin.,You see Char of the Nightkin.,8,8,1,1,True
9,108,108,108,,,You see Reine of the Nightkin.,You see Reine of the Nightkin.,9,9,1,1,True
10,109,109,109,,,You see Daggarth of the Nightkin.,You see Daggarth of the Nightkin.,10,10,1,1,True
11,110,110,110,,,Me was told to take you to do something. Something about Normies. Me no remember what.,"Me was told to take you to do something. Something about Normies.
 Me no remember what.",11,12,1,1,True
12,111,111,111,,,Me think Normies is stupid.,Me think Normies is stupid.,13,13,1,1,True
13,112,112,112,,,All Normies should die!,All Normies should die!,14,14,1,1,True
14,113,113,113,,,Uthern a smart one. Uh huh.,Uthern a smart one. Uh huh.,15,15,1,1,True
15,114,114,114,,,Boss say Normies are nothings.,Boss say Normies are nothings.,16,16,1,1,True
16,115,115,115,,,Don't know why boss want these books.,Don't know why boss want these books.,17,17,1,1,True
17,116,116,116,,,Me glad those stupid Normies ain't around. They ugly.,Me glad those stupid Normies ain't around. They ugly.,18,18,1,1,True
18,117,117,117,,,Me is better than you! Me is better than you!,Me is better than you! Me is better than you!,19,19,1,1,True
19,118,118,118,,,Me squish you now!,Me squish you now!,20,20,1,1,True
