occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un hombre mejicano de aspecto descuidado con el pelo liso.,Estás viendo a un hombre mejicano de aspecto descuidado con el pelo liso.,1,1,1,1,True
2,101,101,101,,,"Estás viendo a Hernández, el pícaro jugador.","Estás viendo a Hernández, el pícaro jugador.",2,2,1,1,True
3,102,102,102,,,"Oye, muchacho, déjame presentarme. Soy Hernández, ¡un tio de mucho gusto! Parece que eres nuevo aquí. Por favor, permíteme hablarte  del casino.","Oye, muchacho, déjame presentarme. Soy Hernández,
 ¡un tio de mucho gusto! Parece que eres nuevo aquí. Por favor,
 permíteme hablarte  del casino.",3,5,1,1,True
4,103,103,103,,,¿Qué me puedes contar del casino?,¿Qué me puedes contar del casino?,6,6,1,1,True
5,104,104,104,,,"No, gracias.","No, gracias.",7,7,1,1,True
6,105,105,105,,,¿Ehh?,¿Ehh?,8,8,1,1,True
7,106,106,106,,,¡Por supuesto! Este establecimiento elegante está dirigido por el famoso Gizmo. Un verdadero visionario y un hombre muy rico.,"¡Por supuesto! Este establecimiento elegante está dirigido por
 el famoso Gizmo. Un verdadero visionario y un hombre muy
 rico.",9,11,1,1,True
8,107,107,107,,,Gracias.,Gracias.,12,12,1,1,True
9,108,108,108,,,Dices que Gizmo es un visionario. ¿Cuál es su visión?,Dices que Gizmo es un visionario. ¿Cuál es su visión?,13,13,1,1,True
10,109,109,109,,,¿Cuáles son las posibilidades en el juego de aquí?,¿Cuáles son las posibilidades en el juego de aquí?,14,14,1,1,True
11,110,110,110,,,"Amigo, no me gusta imponerme, pero quizás puedas ayudarme. He inventado un sistema infalible porque he descubierto cómo lleva las mesas Gizmo, pero no tengo chapas para jugar.","Amigo, no me gusta imponerme, pero quizás puedas ayudarme.
 He inventado un sistema infalible porque he descubierto
 cómo lleva las mesas Gizmo, pero no tengo chapas para
 jugar.",15,18,1,1,True
12,111,111,111,,, [Te da la impresión de que quiere engañarte.], [Te da la impresión de que quiere engañarte.],19,19,1,1,True
13,112,112,112,,,Quizás quieras invertir unas cuantas chapas. Puedo asegurarte que ganarás.,Quizás quieras invertir unas cuantas chapas. Puedo asegurarte que ganarás.,20,20,1,1,True
14,113,113,113,,,"Claro, suena bien.","Claro, suena bien.",21,21,1,1,True
15,114,114,114,,,"No, gracias.","No, gracias.",22,22,1,1,True
16,115,115,115,,,Creo que mientes. Quieres engañarme.,Creo que mientes. Quieres engañarme.,23,23,1,1,True
17,116,116,116,,,"Lo siento, manito. Eh, déjame enseñarte un juego . . .","Lo siento, manito. Eh, déjame enseñarte un juego . . .",24,24,1,1,True
18,117,117,117,,,"Muchas gracias, ¡manito! Dentro de unos días podré devolverte tu dinero con intereses. Mi sistema es lento, ya ves; exige mucha paciencia, pero ¡seguro que trae mucho dinero!","Muchas gracias, ¡manito! Dentro de unos días podré devolverte tu dinero con intereses. Mi sistema es lento, ya ves;
 exige mucha paciencia, pero ¡seguro que trae mucho dinero!",25,26,1,1,True
19,118,118,118,,,"Muy bien, ¡pero te garantizo éxito!. Si quieres formar parte de los ricos, vuelve pronto; o ¡me buscaré a otro compañero!","Muy bien, ¡pero te garantizo éxito!. Si quieres formar parte de los ricos, vuelve pronto; o ¡me buscaré a otro compañero!",27,27,1,1,True
20,119,119,119,,,"Amigo, veo que también eres un hombre de gustos selectos. ¿Qué tal una simple partida de dados?","Amigo, veo que también eres un hombre de gustos selectos.
 ¿Qué tal una simple partida de dados?",28,29,1,1,True
21,120,120,120,,,¡Vale!,¡Vale!,30,30,1,1,True
22,121,121,121,,,"No, gracias, preferiría probar otra cosa.","No, gracias, preferiría probar otra cosa.",31,31,1,1,True
23,122,122,122,,,Gizmo soñaba en crear un lugar donde la gente pudiera encontrarse y divertirse. Tenía la ambición de llevarlo a la práctica. El resultado es el casino que ves aquí.,"Gizmo soñaba en crear un lugar donde la gente
 pudiera encontrarse y divertirse. Tenía la ambición de
 llevarlo a la práctica. El resultado es el casino que ves aquí.",32,34,1,1,True
24,123,123,123,,,Le da a la gente la oportunidad de olvidar sus preocupaciones de este mundo exterior asqueroso. ¡Y encima trae dinero a Ciudad Vertedero!,"Le da a la gente la oportunidad de olvidar sus preocupaciones
 de este mundo exterior asqueroso. ¡Y encima trae dinero a Ciudad Vertedero!",35,36,1,1,True
25,124,124,124,,,Parece una buena idea.,Parece una buena idea.,37,37,1,1,True
26,125,125,125,,,La vida ya es muy dura de por sí . No comparto la causa de alguien que anima a la gente a perder su dinero.,"La vida ya es muy dura de por sí . No comparto la causa de alguien
 que anima a la gente a perder su dinero.",38,39,1,1,True
