occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un guardia Demonio.,Estás viendo a un guardia Demonio.,1,1,1,1,True
2,101,101,101,,,¡Vete! No te queremos aquí.,¡Vete! No te queremos aquí.,2,2,1,1,True
3,102,102,102,,,Vale. También ha sido un placer conocerte.,Vale. También ha sido un placer conocerte.,3,3,1,1,True
4,103,103,103,,,¿Eh?,¿Eh?,4,4,1,1,True
5,104,104,104,,,"Estoy trabajando. Si quieres ver a Set, tendrás que hacerlo ahí dentro.","Estoy trabajando. Si quieres ver a Set, tendrás que hacerlo ahí dentro.",5,5,1,1,True
6,105,105,105,,,La puerta está cerrada. Tendrás que volver de noche.,La puerta está cerrada. Tendrás que volver de noche.,6,6,1,1,True
7,106,106,106,,,Gracias.,Gracias.,7,7,1,1,True
8,107,107,107,,,¿Eh?,¿Eh?,8,8,1,1,True
9,108,108,108,,,Te he dicho que te fueras. Los de tu raza no son bienvenidos aquí.,Te he dicho que te fueras. Los de tu raza no son bienvenidos aquí.,9,9,1,1,True
10,109,109,109,,,De acuerdo.,De acuerdo.,10,10,1,1,True
11,110,110,110,,,¡Miau!,¡Miau!,11,11,1,1,True
12,111,111,111,,,Las puertas no se abren hasta que oscurece.,Las puertas no se abren hasta que oscurece.,12,12,1,1,True
13,112,112,112,,,Necesito entrar ahí. ¿Me puedes ayudar de alguna manera?,Necesito entrar ahí. ¿Me puedes ayudar de alguna manera?,13,13,1,1,True
14,113,113,113,,,"Hmm, vale.","Hmm, vale.",14,14,1,1,True
15,114,114,114,,,¡Ugh!,¡Ugh!,15,15,1,1,True
16,115,115,115,,,"Bueno, no creo que duela.","Bueno, no creo que duela.",16,16,1,1,True
17,116,116,116,,,Ojalá pudiese ayudarte pero Set me liquidará si lo hago. Ya sabes cómo son las cosas . . . siempre hay que hacer lo que dice  el grandullón.,"Ojalá pudiese ayudarte pero Set me liquidará si lo hago.
 Ya sabes cómo son las cosas . . . siempre hay que hacer lo que dice 
 el grandullón.",17,19,1,1,True
18,117,117,117,,,"Sí, comprendo. Gracias.","Sí, comprendo. Gracias.",20,20,1,1,True
