occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un guardia Demonio.,Estás viendo a un guardia Demonio.,1,1,1,1,True
2,101,101,101,,,Vamos a llevarte a ver a Set. Creo que querrá hablar contigo  personalmente.,"Vamos a llevarte a ver a Set. Creo que querrá hablar contigo 
 personalmente.",2,3,1,1,True
3,102,102,102,,,No deberías estar aquí. . .,No deberías estar aquí. . .,4,4,1,1,True
4,103,103,103,,,Garret me dijo que estaba bien. También me dijo que le conseguiera no sé qué de la habitación de Set. ¿Sabes dónde está?,Garret me dijo que estaba bien. También me dijo que le conseguiera no sé qué de la habitación de Set. ¿Sabes dónde está?,5,5,1,1,True
5,104,104,104,,,Vale. Debería ir marchándome.,Vale. Debería ir marchándome.,6,6,1,1,True
6,105,105,105,,,¿Eh?,¿Eh?,7,7,1,1,True
7,106,106,106,,,No suena demasiado bien. Será mejor que vengas conmigo.,No suena demasiado bien. Será mejor que vengas conmigo.,8,8,1,1,True
8,107,107,107,,,Tampoco lo creo.,Tampoco lo creo.,9,9,1,1,True
9,108,108,108,,,Vale.,Vale.,10,10,1,1,True
10,109,109,109,,,No creo que quieras entrar en esa habitación.,No creo que quieras entrar en esa habitación.,11,11,1,1,True
11,110,110,110,,,¿Por qué no?,¿Por qué no?,12,12,1,1,True
12,111,111,111,,,"Vale, no quiero entrar en esa habitación. Ahora ¿qué?","Vale, no quiero entrar en esa habitación. Ahora ¿qué?",13,13,1,1,True
13,112,112,112,,,Creo que deberías marcharte.,Creo que deberías marcharte.,14,14,1,1,True
14,113,113,113,,,"Estamos aquí para asegurarnos que la gente que no pertenece a este lugar, no se cuele en la habitación de Set. No es por la seguridad de Set, sino  por la de ellos. ¿Algo más?","Estamos aquí para asegurarnos que la gente que no pertenece a este lugar,
 no se cuele en la habitación de Set. No es por la seguridad de Set, sino 
 por la de ellos.
 ¿Algo más?",15,18,1,1,True
15,114,114,114,,,Sí. Tienes los cordones desatados.,Sí. Tienes los cordones desatados.,19,19,1,1,True
16,115,115,115,,,No. Gracias.,No. Gracias.,20,20,1,1,True
17,116,116,116,,,Estoy trabajando. Vete.,Estoy trabajando. Vete.,21,21,1,1,True
