occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Estás viendo a Harry, el Súper mutante.","Estás viendo a Harry, el Súper mutante.",1,1,1,1,True
2,101,101,101,Harry_0,Harry_0,¡Oye! Tu no parecer Demonio. ¿Cómo ser eso?,¡Oye! Tu no parecer Demonio. ¿Cómo ser eso?,2,2,1,1,True
3,102,102,102,,,Es porque hoy me he puesto guapo.,Es porque hoy me he puesto guapo.,3,3,1,1,True
4,103,103,103,,,¡Pero soy un Demonio!,¡Pero soy un Demonio!,4,4,1,1,True
5,104,104,104,,,¿Puede ser. . . porque no soy un Demonioo?,¿Puede ser. . . porque no soy un Demonioo?,5,5,1,1,True
6,105,105,105,,,¿Eh?,¿Eh?,6,6,1,1,True
7,106,106,106,Harry_0a,Harry_0a,¿Ah?,¿Ah?,7,7,1,1,True
8,107,107,107,Harry_0a,Harry_0a,¿Ah?,¿Ah?,8,8,1,1,True
9,108,108,108,Harry_0b,Harry_0b,¿Eah?,¿Eah?,9,9,1,1,True
10,109,109,109,,,¿Mamá?,¿Mamá?,10,10,1,1,True
11,110,110,110,Harry_01,Harry_01,"Oooo...Tú poner guapo, ¿eh?","Oooo...Tú poner guapo, ¿eh?",11,11,1,1,True
12,111,111,111,,,"Nah, te tomaba el pelo, no soy un Demonio.","Nah, te tomaba el pelo, no soy un Demonio.",12,12,1,1,True
13,112,112,112,,,¿Qué haces aquí?,¿Qué haces aquí?,13,13,1,1,True
14,113,113,113,Harry_02,Harry_02,"¡Tú no espectro! ¡Yo sabía, yo sabía! ¡Harry no tonto!","¡Tú no espectro! ¡Yo sabía, yo sabía! ¡Harry no tonto!",14,14,1,1,True
15,114,114,114,,,"Sí, eso es evidente.","Sí, eso es evidente.",15,15,1,1,True
16,115,115,115,,,"Tienes razón. Y ahora que lo sabes, tendré que matarte.","Tienes razón. Y ahora que lo sabes, tendré que matarte.",16,16,1,1,True
17,116,116,116,Harry_03,Harry_03,Tú no Demonio. Órdenes ser que los no Demonios no aquí.,Tú no Demonio. Órdenes ser que los no Demonios no aquí.,17,17,1,1,True
18,117,117,117,,,¿Quién te da las órdenes?,¿Quién te da las órdenes?,18,18,1,1,True
19,118,118,118,,,"Vale, gracias. Me voy ahora mismo.","Vale, gracias. Me voy ahora mismo.",19,19,1,1,True
20,119,119,119,Harry_04,Harry_04,Teniente dijo yo vigilar. No dejar pasar a nadie. Sobre todo a no normales. Llevar normales a Teniente. Oye...,"Teniente dijo yo vigilar. No dejar pasar a nadie. Sobre
 todo a no normales. Llevar normales a Teniente. Oye...",20,21,1,1,True
21,120,120,120,,,¡Pero yo no soy un normal!,¡Pero yo no soy un normal!,22,22,1,1,True
22,121,121,121,,,"Vale, vamos a ver a Teni.","Vale, vamos a ver a Teni.",23,23,1,1,True
23,122,122,122,,,"Revienta. ¿Cómo te suena, ""Tú morir""?","Revienta. ¿Cómo te suena, ""Tú morir""?",24,24,1,1,True
24,123,123,123,Harry_05,Harry_05,"Oh jo-jo, pronto lo sabrás.","Oh jo-jo, pronto lo sabrás.",25,25,1,1,True
25,124,124,124,Harry_06,Harry_06,"Oh, uh, vale. Tener buen día.","Oh, uh, vale. Tener buen día.",26,26,1,1,True
26,125,125,125,Harry_07,Harry_07,Harry machacar tu cabeza ahora.,Harry machacar tu cabeza ahora.,27,27,1,1,True
27,126,126,126,Harry_08,Harry_08,Ooo...Harry confundido. Tú no Demonio. Tú no normal. ¿Tú qué? [Balbucea],Ooo...Harry confundido. Tú no Demonio. Tú no normal. ¿Tú qué? [Balbucea],28,28,1,1,True
28,127,127,127,,,Soy una nueva raza de súper mutante.,Soy una nueva raza de súper mutante.,29,29,1,1,True
29,128,128,128,,,Soy un robot último modelo.,Soy un robot último modelo.,30,30,1,1,True
30,129,129,129,,,"Está bien, soy un normal.","Está bien, soy un normal.",31,31,1,1,True
31,130,130,130,Harry_09,Harry_09,¡No! Harry saber que no ¡No gustar mí!,¡No! Harry saber que no ¡No gustar mí!,32,32,1,1,True
32,131,131,131,Harry_10,Harry_10,"Oh, vale. Harry pensar qué hacer.","Oh, vale. Harry pensar qué hacer.",33,33,1,1,True
33,132,132,132,Harry_11,Harry_11,No gustas. Daño ahora. Malo.,No gustas. Daño ahora. Malo.,34,34,1,1,True
34,133,133,133,Harry_12,Harry_12,"Oh, hola, bonita. Estar muy guapa.","Oh, hola, bonita. Estar muy guapa.",35,35,1,1,True
35,134,134,134,,,¿Estás libre? Podría necesitar un hombretón fuerte.,¿Estás libre? Podría necesitar un hombretón fuerte.,36,36,1,1,True
36,135,135,135,,,Acércate un poquito. Tengo algo para ti.,Acércate un poquito. Tengo algo para ti.,37,37,1,1,True
37,136,136,136,Harry_13,Harry_13,Harry debe vigilar este sitio. Quedarme justo aquí.,Harry debe vigilar este sitio. Quedarme justo aquí.,38,38,1,1,True
38,137,137,137,,,"Ahh, entiendo.  Entonces tienes un gran día.","Ahh, entiendo.  Entonces tienes un gran día.",39,39,1,1,True
39,138,138,138,,,Eso me pone triste.,Eso me pone triste.,40,40,1,1,True
40,139,139,139,Harry_14,Harry_14,"¡Eh, tú ser un normal! Yo llevar a Teniente. ¡Ahora!","¡Eh, tú ser un normal! Yo llevar a Teniente. ¡Ahora!",41,41,1,1,True
