occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un conductor.,Estás viendo a un conductor.,1,1,1,1,True
2,101,101,101,,,¡Hoy va a ser un día largo!,¡Hoy va a ser un día largo!,2,2,1,1,True
3,102,102,102,,,En realidad no quiero trabajar hoy.,En realidad no quiero trabajar hoy.,3,3,1,1,True
4,103,103,103,,,Espero que no nos asalten. . . o algo peor.,Espero que no nos asalten. . . o algo peor.,4,4,1,1,True
5,104,104,104,,,"Lo siento, no necesitamos más guardias. . . creo.","Lo siento, no necesitamos más guardias. . . creo.",5,5,1,1,True
6,105,105,105,,,"Lo siento, estamos al completo.","Lo siento, estamos al completo.",6,6,1,1,True
7,106,106,106,,,Deberías mirar en el Mercado de Mercaderes si buscas un trabajo.,Deberías mirar en el Mercado de Mercaderes si buscas un trabajo.,7,7,1,1,True
8,107,107,107,,,Espero que vendamos todo.,Espero que vendamos todo.,8,8,1,1,True
9,108,108,108,,,No puedo esperar a que acabemos.,No puedo esperar a que acabemos.,9,9,1,1,True
10,109,109,109,,,Estoy listo para liquidar al que sea.,Estoy listo para liquidar al que sea.,10,10,1,1,True
11,110,110,110,,,¡Ya estamos fuera!,¡Ya estamos fuera!,11,11,1,1,True
12,111,111,111,,,Hoy sí que fue un día caluroso.,Hoy sí que fue un día caluroso.,12,12,1,1,True
13,112,112,112,,,"Chico, tengo sed.","Chico, tengo sed.",13,13,1,1,True
14,113,113,113,,,¿Qué día es hoy?,¿Qué día es hoy?,14,14,1,1,True
15,114,114,114,,,¡Me marcho al Halcón en cuanto esté listo!,¡Me marcho al Halcón en cuanto esté listo!,15,15,1,1,True
16,115,115,115,,,"Lo siento, acabamos de volver de una ruta.","Lo siento, acabamos de volver de una ruta.",16,16,1,1,True
17,116,116,116,,,Deberías ir al Mercado de Mercaderes si buscas un trabajo.,Deberías ir al Mercado de Mercaderes si buscas un trabajo.,17,17,1,1,True
18,117,117,117,,,¡Hoy es dí de sueldo!,¡Hoy es dí de sueldo!,18,18,1,1,True
19,118,118,118,,,¡Me dirijo al local de Bob!,¡Me dirijo al local de Bob!,19,19,1,1,True
20,119,119,119,,,¡Tengo que devolver el préstamo hoy!,¡Tengo que devolver el préstamo hoy!,20,20,1,1,True
21,120,120,120,,,Estoy tan cansado.,Estoy tan cansado.,21,21,1,1,True
22,121,121,121,,,¡Menudo viajito!,¡Menudo viajito!,22,22,1,1,True
