occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a Irwin.,Estás viendo a Irwin.,1,1,1,1,True
2,101,101,101,,,"Oye chico, ¿puedes dejarme solo? Ya tengo suficientes problemas.","Oye chico, ¿puedes dejarme solo? Ya tengo suficientes problemas.",2,2,1,1,True
3,102,102,102,,,¿Problemas? Quizás pueda ayudarte.,¿Problemas? Quizás pueda ayudarte.,3,3,1,1,True
4,103,103,103,,,Como si fueras el único en tener problemas.,Como si fueras el único en tener problemas.,4,4,1,1,True
5,104,104,104,,,"Vale, vale. No tienes porqué gritarme.","Vale, vale. No tienes porqué gritarme.",5,5,1,1,True
6,105,105,105,,,"Hmm... No lo sé. Su concepto de héroe no es el mismo. Escucha, ¿por qué has vuelto si tienes tanta experiencia a tus espaldas?","Hmm... No lo sé. Su concepto de héroe no es el mismo.
 Escucha, ¿por qué has vuelto si tienes
 tanta experiencia a tus espaldas?",6,8,1,1,True
7,106,106,106,,,"Esto es una tragedia, créeme. Nada es como antes. Tengo una pequeña granja fuera de la ciudad y hace algunos días una pandilla de Piratas salió de no sé dónde y convertió mi casa en campamento. Mataron a Pugsley, mi burro y me amenazaron de muerte si me atrevía a volver.","Esto es una tragedia, créeme. Nada es como antes. Tengo una pequeña granja fuera de la ciudad y hace algunos días una pandilla de Piratas salió de no sé dónde y convertió mi casa en campamento. Mataron a Pugsley, mi burro y me amenazaron de muerte si me atrevía a volver.",9,9,1,1,True
8,107,107,107,,,Solamente dime dónde y yo me haré cargo del resto.,Solamente dime dónde y yo me haré cargo del resto.,10,10,1,1,True
9,108,108,108,,,"Lo siento Irwin, pero tengo cosas más importantes que hacer.","Lo siento Irwin, pero tengo cosas más importantes que hacer.",11,11,1,1,True
10,109,109,109,,,¿De verdad lo harías? Sabes que yo no me atrevo a volver. ¿Por qué no vienes a avisarme en cuanto pueda volver a casa?,¿De verdad lo harías? Sabes que yo no me atrevo a volver. ¿Por qué no vienes a avisarme en cuanto pueda volver a casa?,12,12,1,1,True
11,110,110,110,,,"Escucha mentecato, en primer lugar te he dicho que me dejes solo. ¡Lárgate!","Escucha mentecato, en primer lugar te he dicho que me dejes solo. ¡Lárgate!",13,13,1,1,True
12,111,111,111,,,Sabía que te acobardarías. A todo el mundo le pasa lo mismo cuando se trata de los Piratas.,Sabía que te acobardarías. A todo el mundo le pasa lo mismo cuando se trata de los Piratas.,14,14,1,1,True
13,112,112,112,,,"Bueno, ¿has podido darle una lección a esos Piratas? ¿Mi hogar está de nuevo seguro?","Bueno, ¿has podido darle una lección a esos Piratas? ¿Mi hogar está de nuevo seguro?",15,15,1,1,True
14,113,113,113,,,"Claro que sí, tío.","Claro que sí, tío.",16,16,1,1,True
15,114,114,114,,,Todavía no he tenido tiempo para ocuparme de eso.,Todavía no he tenido tiempo para ocuparme de eso.,17,17,1,1,True
16,115,115,115,,,"Oh, muchas gracias. No tengo riquezas con las que pagarte, pero aquí tienes este rifle por haber salvado mi casa.","Oh, muchas gracias. No tengo riquezas con las que pagarte, pero aquí tienes este rifle por haber salvado mi casa.",18,18,1,1,True
17,116,116,116,,,"Te estás quedando, ¿verdad? No juegues conmigo, por favor. Avisame en cuanto pueda volver a casa, ¿lo harás?","Te estás quedando, ¿verdad? No juegues conmigo, por favor. Avisame en cuanto pueda volver a casa, ¿lo harás?",19,19,1,1,True
18,117,117,117,,,Muchas gracias por ayudarme.,Muchas gracias por ayudarme.,20,20,1,1,True
19,118,118,118,,,¿Grunk?,¿Grunk?,21,21,1,1,True
20,119,119,119,,,"Mira, no tengo tiempo para idioteces. Vuelve cuando seas más inteligente.","Mira, no tengo tiempo para idioteces. Vuelve cuando seas más inteligente.",22,22,1,1,True
21,120,120,120,,,"Uh Huh, Uh Huh, Uh Huh.  Eso es.","Uh Huh, Uh Huh, Uh Huh.  Eso es.",23,23,1,1,True
22,121,121,121,,,Yo no reparar aún.,Yo no reparar aún.,24,24,1,1,True
23,300,300,300,,,¡Pronto estarás con tu creador!,¡Pronto estarás con tu creador!,27,27,1,1,True
24,301,301,301,,,Cogedle... ¡pero muerto!,Cogedle... ¡pero muerto!,28,28,1,1,True
25,302,302,302,,,¡Acabas de comerte tu último pedazo de queso!,¡Acabas de comerte tu último pedazo de queso!,29,29,1,1,True
26,303,303,303,,,¡Te perforaré como un queso gruyere!,¡Te perforaré como un queso gruyere!,30,30,1,1,True
