occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un hombre delgado con aspecto de enfadado.,Estás viendo a un hombre delgado con aspecto de enfadado.,1,1,1,1,True
2,101,101,101,,,Estás viendo a Ismarc.,Estás viendo a Ismarc.,2,2,1,1,True
3,102,102,102,,,¿Qué?,¿Qué?,3,3,1,1,True
4,103,103,103,,,"Sí, ¿qué quieres?","Sí, ¿qué quieres?",4,4,1,1,True
5,104,104,104,,,"Eh, cantas bien.","Eh, cantas bien.",5,5,1,1,True
6,105,105,105,,,Cuando cantas me sangran los oídos.,Cuando cantas me sangran los oídos.,6,6,1,1,True
7,106,106,106,,,No importa.,No importa.,7,7,1,1,True
8,107,107,107,,,¡Hoo!,¡Hoo!,8,8,1,1,True
9,108,108,108,,,"Oh, fantástico. No sabes que ilusión me da. Vete.","Oh, fantástico. No sabes que ilusión me da. Vete.",9,9,1,1,True
10,109,109,109,,,Gracias. ¿Qué puedo hacer por ti?,Gracias. ¿Qué puedo hacer por ti?,10,10,1,1,True
11,110,110,110,,,¿Tocas en algún otro sitio?,¿Tocas en algún otro sitio?,11,11,1,1,True
12,111,111,111,,,Es como malgastar el dinero o algo así.,Es como malgastar el dinero o algo así.,12,12,1,1,True
13,112,112,112,,,¿Dónde aprendiste a cantar?,¿Dónde aprendiste a cantar?,13,13,1,1,True
14,113,113,113,,,Gracias por tu tiempo.,Gracias por tu tiempo.,14,14,1,1,True
15,114,114,114,,,¿¡¿Qué?!? No tengo tiempo para esto.,¿¡¿Qué?!? No tengo tiempo para esto.,15,15,1,1,True
16,115,115,115,,,"Sí, algunas veces canto en el Eje y he visitado la Hermandad de Acero y  Adytum con las caravanas. ¿Por qué lo preguntas?","Sí, algunas veces canto en el Eje y he visitado la Hermandad de Acero y  Adytum con las caravanas. ¿Por qué lo preguntas?",16,16,1,1,True
17,116,116,116,,,¿Puedes decirme cómo entrar en el Eje?,¿Puedes decirme cómo entrar en el Eje?,17,17,1,1,True
18,117,117,117,,,Necesito saber cómo entrar en la Hermandad.,Necesito saber cómo entrar en la Hermandad.,18,18,1,1,True
19,118,118,118,,,¿Cómo entro en Adytum?,¿Cómo entro en Adytum?,19,19,1,1,True
20,119,119,119,,,"Um, no importa, gracias.","Um, no importa, gracias.",20,20,1,1,True
21,120,120,120,,,"¿El Eje? Oh, está a poca distancia al sur de Ciudad Vertedero. ¿Qué más?","¿El Eje? Oh, está a poca distancia al sur de Ciudad Vertedero. ¿Qué más?",21,21,1,1,True
22,121,121,121,,,La Hermandad está a dos días al oeste y un poco al norte desde aquí. Aunque será mejor que no vayas allí. No te dejarán entrar si no vas con una caravana.  ¿Necesitas algo más?,"La Hermandad está a dos días al oeste y un poco al norte desde aquí.
 Aunque será mejor que no vayas allí. No te dejarán entrar si no vas con una caravana.
  ¿Necesitas algo más?",22,24,1,1,True
23,122,122,122,,,Hmm. Dirígete al sudoeste del Eje. Adytum es una parte del Cementerio. Es una ciudad pequeña y medio industrial. A mí no me gustó mucho. ¿Qué más quieres saber?,"Hmm. Dirígete al sudoeste del Eje. Adytum es una parte del Cementerio. Es una ciudad pequeña y medio industrial.
 A mí no me gustó mucho. ¿Qué más quieres saber?",25,26,1,1,True
24,123,123,123,,,"Eh, gracias. Es muy duro subsistir cuando eres artista. Si necesitas saber algo más, pregúntalo.","Eh, gracias. Es muy duro subsistir cuando eres artista. Si necesitas saber algo más, pregúntalo.",27,27,1,1,True
25,124,124,124,,,"Agradezco la idea, pero estás más atrapado que yo.","Agradezco la idea, pero estás más atrapado que yo.",28,28,1,1,True
26,125,125,125,,,"Ah, un poco de aquí y un poco de allí. Aprendí un poco de un viejo cantante del Eje y escuché algo de música de los carroñeros en Adytum, en el Cementerio. Ya sabes. Todo es practicar.","Ah, un poco de aquí y un poco de allí. Aprendí un poco de un viejo cantante del Eje y escuché algo de música de los carroñeros en Adytum, en el Cementerio. Ya sabes. Todo es practicar.",29,29,1,1,True
27,126,126,126,,,Hay un hombre cantando con voz ronca en una esquina.,Hay un hombre cantando con voz ronca en una esquina.,30,30,1,1,True
28,127,127,127,,,¡Tu cabeza es como una pelota!,¡Tu cabeza es como una pelota!,31,31,1,1,True
29,128,128,128,,,¡Es redondo como un lunar!,¡Es redondo como un lunar!,32,32,1,1,True
30,129,129,129,,,¡Preferiría ir al infierno!,¡Preferiría ir al infierno!,33,33,1,1,True
31,130,130,130,,,¡Entonces paga el peaje!,¡Entonces paga el peaje!,34,34,1,1,True
32,131,131,131,,,Sé lo que piensas ,Sé lo que piensas ,35,35,1,1,True
33,132,132,132,,,Es una jaula de acero ,Es una jaula de acero ,36,36,1,1,True
34,133,133,133,,,Enfurecida por ser prisionera . . .,Enfurecida por ser prisionera . . .,37,37,1,1,True
35,134,134,134,,,La Garra Mortal,La Garra Mortal,38,38,1,1,True
36,135,135,135,,,Te necesito,Te necesito,39,39,1,1,True
37,136,136,136,,,Como una mala dosis de veneno ,Como una mala dosis de veneno ,40,40,1,1,True
38,137,137,137,,,Te necesito tanto ,Te necesito tanto ,41,41,1,1,True
39,138,138,138,,,como la picadura de un escorpión rad ,como la picadura de un escorpión rad ,42,42,1,1,True
