occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Curamos el cuerpo para curar el espíritu. ¿Puedo ayudarte en algo?,Curamos el cuerpo para curar el espíritu. ¿Puedo ayudarte en algo?,1,1,1,1,True
2,101,101,101,,,Sí. Ayúdeme.,Sí. Ayúdeme.,2,2,1,1,True
3,102,102,102,,,¿Quiénes son ustedes?,¿Quiénes son ustedes?,3,3,1,1,True
4,103,103,103,,,¿Qué le pasó a la gente que estaba aquí antes?,¿Qué le pasó a la gente que estaba aquí antes?,4,4,1,1,True
5,104,104,104,,,Uhn,Uhn,5,5,1,1,True
6,105,105,105,,,"Está bien, chico. Te examinaremos ahora.","Está bien, chico. Te examinaremos ahora.",6,6,1,1,True
7,106,106,106,,,"Benditos sean los bondadosos. No te pasa nada hijo mío. Corre, vete a jugar.","Benditos sean los bondadosos. No te pasa nada hijo mío. Corre, vete a jugar.",7,7,1,1,True
8,107,107,107,,,Estás curado. Ten más cuidado en el futuro.,Estás curado. Ten más cuidado en el futuro.,8,8,1,1,True
9,108,108,108,,,Estás herido.,Estás herido.,9,9,1,1,True
10,109,109,109,,,Parece que te han envenenado.,Parece que te han envenenado.,10,10,1,1,True
11,110,110,110,,,"Hmm, estás irradiado. Pero, desgraciadamente no podemos curarlo.","Hmm, estás irradiado. Pero, desgraciadamente no podemos curarlo.",11,11,1,1,True
12,111,111,111,,, Necesitamos una donación de , Necesitamos una donación de ,12,12,1,1,True
13,112,112,112,,, dólares antes de curarte. ¿Qué te parece?," dólares antes de curarte.
 ¿Qué te parece?",13,14,1,1,True
14,113,113,113,,,Sí.,Sí.,15,15,1,1,True
15,114,114,114,,,No.,No.,16,16,1,1,True
16,115,115,115,,,¡Pero no tengo ese dinero!,¡Pero no tengo ese dinero!,17,17,1,1,True
17,116,116,116,,,"¿Aceptarás, ","¿Aceptarás, ",18,18,1,1,True
18,117,117,117,,,dólares?,dólares?,19,19,1,1,True
19,118,118,118,,,"Los Niños no regatean. Bueno, ¿aceptarás nuestra oferta?","Los Niños no regatean. Bueno, ¿aceptarás nuestra oferta?",20,20,1,1,True
20,119,119,119,,,Sí. Por supuesto que lo haré.,Sí. Por supuesto que lo haré.,21,21,1,1,True
21,120,120,120,,,¡Eso es así!,¡Eso es así!,22,22,1,1,True
