occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a Kyle.,Estás viendo a Kyle.,1,1,1,1,True
2,101,101,101,,,Estás viendo a un caballero.,Estás viendo a un caballero.,2,2,1,1,True
3,102,102,102,,,"Ahh...Así que eres tú el mejor, ¿eh?","Ahh...Así que eres tú el mejor, ¿eh?",3,3,1,1,True
4,103,103,103,,,¿Qué?,¿Qué?,4,4,1,1,True
5,104,104,104,,,"Bueno, ¿Quién eres tú?","Bueno, ¿Quién eres tú?",5,5,1,1,True
6,105,105,105,,,Nada. Sólo que nadie ha vuelto jamás de la Orden Antigua.,"Nada. Sólo que nadie ha vuelto jamás de la
 Orden Antigua.",6,7,1,1,True
7,106,106,106,,,¿Qué haces aquí?,¿Qué haces aquí?,8,8,1,1,True
8,107,107,107,,,"¿Qué? Entonces, ¿por qué me han mandado aquí abajo?","¿Qué? Entonces, ¿por qué me han mandado aquí abajo?",9,9,1,1,True
9,108,108,108,,,"Fue difícil, pero no imposible.","Fue difícil, pero no imposible.",10,10,1,1,True
10,109,109,109,,,"Je, je. Supongo que sólo querían deshacerse de tí, ¿eh? Mira que son graciosos.","Je, je. Supongo que sólo querían deshacerse de tí, ¿eh?
 Mira que son graciosos.",11,12,1,1,True
11,110,110,110,,,"Sí. Dime, ¿qué haces aquí?","Sí. Dime, ¿qué haces aquí?",13,13,1,1,True
12,111,111,111,,,"Bueno, sólo me uní para obtener la armadura de poder.","Bueno, sólo me uní para obtener la armadura de poder.",14,14,1,1,True
13,112,112,112,,,Iros a la mierda. Me voy.,Iros a la mierda. Me voy.,15,15,1,1,True
14,113,113,113,,,"Arreglo material, hago controles de mantenimiento, esas cosas.","Arreglo material, hago controles de mantenimiento, esas cosas.",16,16,1,1,True
15,114,114,114,,,¿Podrías arreglar un chip de agua?,¿Podrías arreglar un chip de agua?,17,17,1,1,True
16,115,115,115,,,"¿Qué tipo de ""material""?","¿Qué tipo de ""material""?",18,18,1,1,True
17,116,116,116,,,Parece bastante divertido. Nos veremos luego.,Parece bastante divertido. Nos veremos luego.,19,19,1,1,True
18,117,117,117,,,La armadura de poder y cualquier cosa que necesite reparación.,La armadura de poder y cualquier cosa que necesite reparación.,20,20,1,1,True
19,118,118,118,,,¿Cómo puedo agenciarme una armadura de poder?,¿Cómo puedo agenciarme una armadura de poder?,21,21,1,1,True
20,119,119,119,,,"Te dará esa armadura de poder, pero le falta un Motivador sistólico. No sirve de nada sin él.","Te dará esa armadura de poder, pero le falta un
 Motivador sistólico. No sirve de nada sin él.",22,23,1,1,True
21,120,120,120,,,¿Dónde se puede conseguir uno de esos?,¿Dónde se puede conseguir uno de esos?,24,24,1,1,True
22,121,121,121,,,"Bien, gracias de todos modos.","Bien, gracias de todos modos.",25,25,1,1,True
23,122,122,122,,,"Bien, hay muchos en el cuarto de suministros, pero según  Michael y sus malditos formularios ni siquiera los especialistas pueden acceder a ello. Malditos burócratas.","Bien, hay muchos en el cuarto de suministros, pero según 
 Michael y sus malditos formularios ni siquiera los especialistas pueden acceder a ello.
 Malditos burócratas.",26,28,1,1,True
24,123,123,123,,,¿Qué significa que no podéis acceder a ellos?,¿Qué significa que no podéis acceder a ellos?,29,29,1,1,True
25,124,124,124,,,"Así que si te traigo el Motivador Sistólico, ¿podrás arreglarlo para  mí?","Así que si te traigo el Motivador Sistólico, ¿podrás arreglarlo para 
 mí?",30,31,1,1,True
26,125,125,125,,,"¿Ves este ocular? Tuve que volver a soldarlo en su lugar y no quedo bastante bien como para pasar la inspección, bueno, eso supongo.","¿Ves este ocular? Tuve que volver a soldarlo en su
 lugar y no quedo bastante bien como para pasar la inspección, bueno, eso supongo.",32,33,1,1,True
27,126,126,126,,,Tienes razón. No ha quedado genial. No me gustaría que me mataran con  esa armadura de poder.,"Tienes razón. No ha quedado genial. No me gustaría que me mataran con 
 esa armadura de poder.",34,35,1,1,True
28,127,127,127,,,"Vete de aquí de una vez, idiota.","Vete de aquí de una vez, idiota.",36,36,1,1,True
