occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Estás viendo a Lorraine, una carroñera de Adytum.","Estás viendo a Lorraine, una carroñera de Adytum.",1,1,1,1,True
2,101,101,101,,,Estás viendo a una mujer joven con el pelo oscuro.,Estás viendo a una mujer joven con el pelo oscuro.,2,2,1,1,True
3,102,102,102,,,Hola. ¿Eres nuevo?,Hola. ¿Eres nuevo?,3,3,1,1,True
4,103,103,103,,,Sí. ¿Puedes ayudarme?,Sí. ¿Puedes ayudarme?,4,4,1,1,True
5,104,104,104,,,Sí. Me llamo ,Sí. Me llamo ,5,5,1,1,True
6,105,105,105,,,. ,. ,6,6,1,1,True
7,106,106,106,,,¿Ehhh?,¿Ehhh?,7,7,1,1,True
8,107,107,107,,,Eso supongo. ¿Qué es lo que quieres saber?,Eso supongo. ¿Qué es lo que quieres saber?,8,8,1,1,True
9,108,108,108,,,¿Quién eres?,¿Quién eres?,9,9,1,1,True
10,109,109,109,,,¿Puedes darme información sobre el Cementerio?,¿Puedes darme información sobre el Cementerio?,10,10,1,1,True
11,110,110,110,,,Cuéntame algo de los otros residentes de Adytum.,Cuéntame algo de los otros residentes de Adytum.,11,11,1,1,True
12,111,111,111,,,¿Qué haces en la vida?,¿Qué haces en la vida?,12,12,1,1,True
13,112,112,112,,,"No importa, gracias.","No importa, gracias.",13,13,1,1,True
14,113,113,113,,,Soy Lorraine.,Soy Lorraine.,14,14,1,1,True
15,114,114,114,,,¿Puedo hacerte unas preguntas?,¿Puedo hacerte unas preguntas?,15,15,1,1,True
16,115,115,115,,,Me alegro de conocerte. Adiós.,Me alegro de conocerte. Adiós.,16,16,1,1,True
17,116,116,116,,,Soy una Carroñera. Trabajo con Sammael recogiendo objetos de las ruinas que podemos usar para construir o comerciar.,"Soy una Carroñera. Trabajo con Sammael recogiendo objetos de
 las ruinas que podemos usar para construir o comerciar.",17,18,1,1,True
18,117,117,117,,,"Parece peligroso, con las bandas.","Parece peligroso, con las bandas.",19,19,1,1,True
19,118,118,118,,,¿Cuántos carroñeros sois?,¿Cuántos carroñeros sois?,20,20,1,1,True
20,119,119,119,,,¿Puedo preguntarte algo más?,¿Puedo preguntarte algo más?,21,21,1,1,True
21,120,120,120,,,Me alegro de hablar contigo.,Me alegro de hablar contigo.,22,22,1,1,True
22,121,121,121,,,"Puede serlo, si te pillan. Los Destripadores son especialmente duros con los transgresores Por eso trabajamos duro para que no nos cojan.","Puede serlo, si te pillan. Los Destripadores son especialmente
 duros con los transgresores Por eso trabajamos duro para que no nos cojan.",23,24,1,1,True
23,122,122,122,,,¿Qué me puedes contar de las bandas?,¿Qué me puedes contar de las bandas?,25,25,1,1,True
24,123,123,123,,,¿Cómo evitáis que os cojan?,¿Cómo evitáis que os cojan?,26,26,1,1,True
25,124,124,124,,,¿Puedo hacerte otra pregunta?,¿Puedo hacerte otra pregunta?,27,27,1,1,True
26,125,125,125,,,Gracias adiós.,Gracias adiós.,28,28,1,1,True
27,126,126,126,,,"Oh, somos seis. Sammael fue el primero y sigue siendo el mejor.","Oh, somos seis. Sammael fue el primero y sigue
 siendo el mejor.",29,30,1,1,True
28,127,127,127,,,¿Puedo hacerte otra pregunta?,¿Puedo hacerte otra pregunta?,31,31,1,1,True
29,128,128,128,,,Interesante. Gracias.,Interesante. Gracias.,32,32,1,1,True
30,129,129,129,,,"Siempre puedes distinguir a los Navajas porque tienen esos horribles vibrocuchillos. Los Destripadores, por otro lado, tienen menos armas pero son muy malos.","Siempre puedes distinguir a los Navajas porque tienen esos horribles
 vibrocuchillos. Los Destripadores, por otro lado, tienen menos armas pero
 son muy malos.",33,35,1,1,True
31,130,130,130,,,¡Incluso tienen un campo de minas alrededor de su fuerte! No sé en qué pensaría Julianna.,¡Incluso tienen un campo de minas alrededor de su fuerte! No sé en qué pensaría Julianna.,36,36,1,1,True
32,131,131,131,,,¿Qué ocurrió con Julianna?,¿Qué ocurrió con Julianna?,37,37,1,1,True
33,132,132,132,,,Horrible. ¿Puedo preguntarte algo más?,Horrible. ¿Puedo preguntarte algo más?,38,38,1,1,True
34,133,133,133,,,Gracias por la advertencia.,Gracias por la advertencia.,39,39,1,1,True
35,134,134,134,,,"Oh, acabó cayendo en la trampa de un Destripador hace un tiempo. La pobre no pudo marcharse de la ciudad, por supuesto. Y Caleb la mató nada más la vió. Muy trágico.","Oh, acabó cayendo en la trampa de un Destripador hace un tiempo.
 La pobre no pudo marcharse de la ciudad, por supuesto. Y Caleb
 la mató nada más la vió. Muy trágico.",40,42,1,1,True
36,135,135,135,,,Uh . . . si tú lo dices.,Uh . . . si tú lo dices.,43,43,1,1,True
37,136,136,136,,,¿Puedo hacerte otras preguntas?,¿Puedo hacerte otras preguntas?,44,44,1,1,True
38,137,137,137,,,Umm. Gracias por aclararme las ideas. Adiós.,Umm. Gracias por aclararme las ideas. Adiós.,45,45,1,1,True
39,138,138,138,,,Sólo rebuscamos cuando oscurece. Somos muy buenos en lo que hacemos. Sammael tiene un pequeño examen al que somete a la gente antes de permitirles convertirse en carroñeros.,"Sólo rebuscamos cuando oscurece. Somos muy buenos en lo que
 hacemos. Sammael tiene un pequeño examen al que somete a la
 gente antes de permitirles convertirse en carroñeros.",46,48,1,1,True
40,139,139,139,,,¿Qué tipo de examen?,¿Qué tipo de examen?,49,49,1,1,True
41,140,140,140,,,Todavía me parece peligroso.,Todavía me parece peligroso.,50,50,1,1,True
42,141,141,141,,,Ya veo. ¿Te importa si retrocedemos un poco?,Ya veo. ¿Te importa si retrocedemos un poco?,51,51,1,1,True
43,142,142,142,,,Interesante. Adiós.,Interesante. Adiós.,52,52,1,1,True
44,143,143,143,,,"Sammael te deja esconderte en algún lugar de Adytum durante el día. Si en una hora no ha podido encontrarte, te deja unirte a la siguiente expedición de carroñeros.","Sammael te deja esconderte en algún lugar de Adytum durante el
 día. Si en una hora no ha podido encontrarte, te deja
 unirte a la siguiente expedición de carroñeros.",53,55,1,1,True
45,144,144,144,,,¡Vaya sistema más estúpido!,¡Vaya sistema más estúpido!,56,56,1,1,True
46,145,145,145,,,Parece funcionar. Aún estás con vida.,Parece funcionar. Aún estás con vida.,57,57,1,1,True
47,146,146,146,,,Ah. ¿Puedo preguntarte algo más?,Ah. ¿Puedo preguntarte algo más?,58,58,1,1,True
48,147,147,147,,,Interesante. Adiós.,Interesante. Adiós.,59,59,1,1,True
49,148,148,148,,,"Vamos, ¿no hay el más leve atisbo de romanticismo dentro de ti? Realmente es muy malo. Amor no correspondido y todo eso. Trágico.","Vamos, ¿no hay el más leve atisbo de romanticismo dentro de
 ti? Realmente es muy malo. Amor no correspondido y todo eso.
 Trágico.",60,62,1,1,True
50,149,149,149,,,Umm.  Parece que sabes. Cuéntaselo a Sammael. Si puedes encontrarlo.,"Umm.  Parece que sabes. Cuéntaselo a Sammael. Si puedes
 encontrarlo.",63,64,1,1,True
51,150,150,150,,,"Sí, aunque puede ser duro. Es muy peligroso, sobre todo si te cogen.","Sí, aunque puede ser duro. Es muy peligroso, sobre todo si
 te cogen.",65,66,1,1,True
52,151,151,151,,,Sin duda. ¿Puedo preguntarte algo más?,Sin duda. ¿Puedo preguntarte algo más?,67,67,1,1,True
53,152,152,152,,,Gracias por la información.,Gracias por la información.,68,68,1,1,True
54,153,153,153,,,"Guau, creo que puedes serme de ayuda.","Guau, creo que puedes serme de ayuda.",69,69,1,1,True
55,154,154,154,,,Esto era una gran ciudad llamada Los Angeles. Pero las bombas la destrozaron. Ahora sólo queda el Cementerio de los Ángeles. Los habitantes de Adytum intentamos sobrevivir entre las ruinas.,"Esto era una gran ciudad llamada Los Angeles. Pero las
 bombas la destrozaron. Ahora sólo queda el Cementerio de los
 Ángeles. Los habitantes de Adytum intentamos sobrevivir entre las
 ruinas.",70,73,1,1,True
56,155,155,155,,,¿Qué me puedes contar de Los Angeles?,¿Qué me puedes contar de Los Angeles?,74,74,1,1,True
57,156,156,156,,,Ya veo. Gracias.,Ya veo. Gracias.,75,75,1,1,True
58,157,157,157,,,"Aquí vivía mucha gente. Según he oído, los supervivientes se escondieron en un lugar grande llamado el Refugio. Algunos salieron años después. Se trata de los Reguladores que fundaron Adytum, mientras los","Aquí vivía mucha gente. Según he oído, los supervivientes se escondieron
 en un lugar grande llamado el Refugio. Algunos salieron años después. Se trata de los Reguladores que fundaron Adytum, mientras los",76,77,1,1,True
59,158,158,158,,,demás se convirtieron en los Navajas y los Destripadores. Los Pistoleros no son de aquí.,"demás se convirtieron en los Navajas y
 los Destripadores. Los Pistoleros no son de aquí.",78,79,1,1,True
60,159,159,159,,,¿Dónde está el Refugio?,¿Dónde está el Refugio?,80,80,1,1,True
61,160,160,160,,,Cuál es el trato con los Reguladores.,Cuál es el trato con los Reguladores.,81,81,1,1,True
62,161,161,161,,,¿De dónde proceden los pistoleros?,¿De dónde proceden los pistoleros?,82,82,1,1,True
63,162,162,162,,,¿Haciendo juegos de ordenador? No me parece muy importante.,¿Haciendo juegos de ordenador? No me parece muy importante.,83,83,1,1,True
64,163,163,163,,,Gracias por tu ayuda.,Gracias por tu ayuda.,84,84,1,1,True
65,164,164,164,,,"Bueno. Se supone que estaba al sur, pero realmente no lo sé. Pienso que todos se fueron porque se rompió..","Bueno. Se supone que estaba al sur, pero realmente
 no lo sé. Pienso que todos se fueron porque se rompió..",85,86,1,1,True
66,165,165,165,,,¿Puedo preguntarte algo más?,¿Puedo preguntarte algo más?,87,87,1,1,True
67,166,166,166,,,Umm. Gracias.,Umm. Gracias.,88,88,1,1,True
68,167,167,167,,,No estoy muy seguro. Creo que proceden de algún lugar al norte de aquí.,"No estoy muy seguro. Creo que proceden de algún lugar
 al norte de aquí.",89,90,1,1,True
69,168,168,168,,,¿Qué sabes de los Reguladores?,¿Qué sabes de los Reguladores?,91,91,1,1,True
70,169,169,169,,,¿Puedo preguntarte algo más?,¿Puedo preguntarte algo más?,92,92,1,1,True
71,170,170,170,,,Gracias por la información.,Gracias por la información.,93,93,1,1,True
72,171,171,171,,,"¿De quién quieres saber algo? ¿De Zimmerman, Caleb, Miles, Taylor, o Herreriano?","¿De quién quieres saber algo? ¿De Zimmerman, Caleb, Miles,
 Taylor, o Herreriano?",94,95,1,1,True
73,172,172,172,,,Jon Zimmerman.,Jon Zimmerman.,96,96,1,1,True
74,173,173,173,,,Caleb.,Caleb.,97,97,1,1,True
75,174,174,174,,,Miles.,Miles.,98,98,1,1,True
76,175,175,175,,,Taylor.,Taylor.,99,99,1,1,True
77,176,176,176,,,Herreriano.,Herreriano.,100,100,1,1,True
78,177,177,177,,,De nadie.,De nadie.,101,101,1,1,True
79,178,178,178,,,"Zimmerman vela por la seguridad de nuestra ciudad, Se asegura de que todos tengan comida y un papél que desempeñar.","Zimmerman vela por la seguridad de nuestra ciudad, Se asegura de que todos
 tengan comida y un papél que desempeñar.",102,103,1,1,True
80,179,179,179,,,Caleb es el líder de los Reguladores. Se trabajo consiste en proteger Adytum. Parece que lo disfruta más de lo debido.,"Caleb es el líder de los Reguladores. Se trabajo consiste en
 proteger Adytum. Parece que lo disfruta más de lo debido.",104,105,1,1,True
81,180,180,180,,,"Ah, nuestro químico. Hace balas. Fue él quien construyó la destiladora de agua que nos permite sacar agua limpia del pozo. Ahora mismo está trabajando en una granja subterránea, pero le faltan algunas piezas.","Ah, nuestro químico. Hace balas. Fue él quien construyó la destiladora de agua que nos permite sacar agua
 limpia del pozo. Ahora mismo está trabajando en una granja
 subterránea, pero le faltan algunas piezas.",106,108,1,1,True
82,181,181,181,,,Taylor lleva la tienda. Está en el búnker cerca de la puerta. Comercia con los mercaderes del Eje para nosotros.,"Taylor lleva la tienda. Está en el búnker cerca de la puerta.
 Comercia con los mercaderes del Eje para nosotros.",109,110,1,1,True
83,182,182,182,,,Um. Herreriano es un quinqui de categoría. Se le da bien arreglar las cosas. Funde balas y repara todo lo que se estropea en la ciudad.,"Um. Herreriano es un quinqui de categoría. Se le da bien arreglar las cosas.
 Funde balas y repara todo lo que se estropea en la ciudad.",111,112,1,1,True
84,183,183,183,,,¿Puedo preguntarte algo más?,¿Puedo preguntarte algo más?,113,113,1,1,True
85,184,184,184,,,¿Podemos hablar de otra cosa?,¿Podemos hablar de otra cosa?,114,114,1,1,True
86,185,185,185,,,Gracias,Gracias,115,115,1,1,True
87,186,186,186,,,"¿Estás bromeando? Sin juegos de ordenador, no estarías jugando ahora mismo, ¿verdad?","¿Estás bromeando? Sin juegos de ordenador, no estarías jugando ahora mismo, ¿verdad?",116,116,1,1,True
