occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo al Teniente del ejército del Maestro.,Estás viendo al Teniente del ejército del Maestro.,1,1,1,1,True
2,101,101,101,LIEUT1,LIEUT1,"Veamos, ¿qué tenemos aquí?  Me han dicho que quieres divulgar informaciones de lo más importantes. Espero que así sea.","Veamos, ¿qué tenemos aquí?  Me han dicho que quieres divulgar
 informaciones de lo más importantes. Espero que así sea.",2,3,1,1,True
3,102,102,102,,,"Eh, sí.","Eh, sí.",4,4,1,1,True
4,103,103,103,,,No a alguien tan feo como tú.,No a alguien tan feo como tú.,5,5,1,1,True
5,104,104,104,,,Con una condición.,Con una condición.,6,6,1,1,True
6,105,105,105,,,¡Bah!,¡Bah!,7,7,1,1,True
7,106,106,106,LIEUT1A,LIEUT1A,"Un insulto. Qué gracioso. Te explicaría lo que significa, pero sería una pérdida de tiempo, ¿no crees?  Vayamos a tus dos opciones, a) puedes contarme lo que quiero saber. O b) puedo hacerlo. . . a mi manera.","Un insulto. Qué gracioso. Te explicaría lo que significa, pero
 sería una pérdida de tiempo, ¿no crees?  Vayamos a tus dos opciones, a) puedes
 contarme lo que quiero saber. O b) puedo hacerlo. . . a mi manera.",8,10,1,1,True
8,107,107,107,,,Me quedo con la c).,Me quedo con la c).,11,11,1,1,True
9,108,108,108,,,"Vale, pero con una condición.","Vale, pero con una condición.",12,12,1,1,True
10,109,109,109,,,"Está bien, te lo diré. Está al otro lado de las montañas, muy al norte. Lo encontrarás cerca de un raro tipo de roca semiabovedada... ¿Qué obtengo a cambio?","Está bien, te lo diré. Está al otro lado de las montañas, muy al
 norte. Lo encontrarás cerca de un raro tipo de roca semiabovedada...
 ¿Qué obtengo a cambio?",13,15,1,1,True
11,110,110,110,LIEUT1B,LIEUT1B,No te he ofrecido nada.  Pero te daré las gracias por contarme dónde está tu Refugio.  Estoy seguro de que el Maestro te estará. . . eternamente agradecido.,"No te he ofrecido nada.  Pero te daré las gracias por contarme
 dónde está tu Refugio.  Estoy seguro de que el Maestro te estará. . . eternamente agradecido.",16,17,1,1,True
12,111,111,111,LIEUT2,LIEUT2,"Que bien para los dos.  Ahora, por favor, la ubicación de tu Refugio.","Que bien para los dos.  Ahora, por favor, la ubicación de tu Refugio.",18,18,1,1,True
13,112,112,112,,,Está . . . está . . .,Está . . . está . . .,19,19,1,1,True
14,113,113,113,,,"Con una condición, amigo.","Con una condición, amigo.",20,20,1,1,True
15,114,114,114,,,Te he tomado el pelo. ¡Nunca te lo diré!,Te he tomado el pelo. ¡Nunca te lo diré!,21,21,1,1,True
16,115,115,115,,,"¡Vale, vale! ¡Pero no me mates! ¡Te contaré todo lo que sé!","¡Vale, vale! ¡Pero no me mates! ¡Te contaré todo lo que sé!",22,22,1,1,True
17,116,116,116,LIEUT3,LIEUT3,"¿Condiciones?  Qué encantador.  Adelante, diviérteme con tu. . . condición.","¿Condiciones?  Qué encantador.  Adelante, diviérteme con
 tu. . . condición.",23,24,1,1,True
18,117,117,117,,,Quiero quedar libre.,Quiero quedar libre.,25,25,1,1,True
19,118,118,118,,,Deberás ponerte una bolsa en la cabeza para que pueda soportar tu presencia.,Deberás ponerte una bolsa en la cabeza para que pueda soportar tu presencia.,26,26,1,1,True
20,119,119,119,,,Quiero tener la posibilidad de hacerte unas preguntas antes.,Quiero tener la posibilidad de hacerte unas preguntas antes.,27,27,1,1,True
21,120,120,120,LIEUT4,LIEUT4,"¡Qué maravilloso sentido del humor!.  Es una lástima que yo no lo tenga igual.  La ubicación de tu Refugio, por favor.","¡Qué maravilloso sentido del humor!.  Es una lástima que yo
 no lo tenga igual.  La ubicación de tu Refugio, por favor.",28,29,1,1,True
22,121,121,121,,,"Está bien, pero antes ¿puedo hacerte unas preguntas?","Está bien, pero antes ¿puedo hacerte unas preguntas?",30,30,1,1,True
23,122,122,122,,,No te lo voy a decir y no puedes obligarme.,No te lo voy a decir y no puedes obligarme.,31,31,1,1,True
24,123,123,123,,,Está . . . está . . .,Está . . . está . . .,32,32,1,1,True
25,124,124,124,LIEUT5,LIEUT5,"Oh, por supuesto, querido ser humano.  Siento curiosidad sobre lo que me puedes querer preguntar.","Oh, por supuesto, querido ser humano.  Siento curiosidad sobre lo que me puedes querer preguntar.",33,33,1,1,True
26,125,125,125,,,¿Qué es lo que haces aquí?,¿Qué es lo que haces aquí?,34,34,1,1,True
27,126,126,126,,,¿Para quién trabajas?,¿Para quién trabajas?,35,35,1,1,True
28,127,127,127,,,¿Para qué me quieres?,¿Para qué me quieres?,36,36,1,1,True
29,128,128,128,,,¿Qué tal si me largo ahora mismo?,¿Qué tal si me largo ahora mismo?,37,37,1,1,True
