occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a Michael.,Estás viendo a Michael.,1,1,1,1,True
2,101,101,101,,,"Bueno, imagino que ése era el problema. Deberías ver a la Doctora ; está en el nivel dos.","Bueno, imagino que ése era el problema. Deberías ver a la Doctora ; está en el nivel dos.",2,2,1,1,True
3,102,102,102,,,"Por lo que veo, estás bien.","Por lo que veo, estás bien.",3,3,1,1,True
4,103,103,103,,,"La sala de las suministros está en zona prohibida, hijo mío. Sólo yo y otros dos más tenemos acceso a esa sala. Si necesitas algo, tienes que hablar conmigo.","La sala de las suministros está en zona prohibida, hijo mío. Sólo yo y otros dos más tenemos acceso a esa sala. Si necesitas
 algo, tienes que hablar conmigo.",4,5,1,1,True
5,104,104,104,,,"La sala de las suministros está en zona prohibida. Sólo yo y otros dos más tenemos acceso a esa sala. Si necesitas algo, tienes que hablar conmigo.","La sala de las suministros está en zona prohibida. Sólo yo y otros dos más tenemos acceso a esa sala. Si necesitas
 algo, tienes que hablar conmigo.",6,7,1,1,True
6,105,105,105,,,¿No me has escuchado? Te he dicho que las salas están en zona prohibida.,¿No me has escuchado? Te he dicho que las salas están en zona prohibida.,8,8,1,1,True
7,106,106,106,,,"Hola, Hermano. ¿Cómo puedo ayudarte?","Hola, Hermano. ¿Cómo puedo ayudarte?",9,9,1,1,True
8,107,107,107,,,"Perdona que pregunte pero, ¿qué haces para nuestra Hermandad?.","Perdona que pregunte pero, ¿qué haces para nuestra Hermandad?.",10,10,1,1,True
9,108,108,108,,,¿Qué haces por aquí?,¿Qué haces por aquí?,11,11,1,1,True
10,109,109,109,,,Me han herido. ¿Puedes curarme?,Me han herido. ¿Puedes curarme?,12,12,1,1,True
11,110,110,110,,,¡Urak Chufar!,¡Urak Chufar!,13,13,1,1,True
12,111,111,111,,,"Lo siento, pero no entiendo lo que quieres. Si necesitas suministros, tienes que tener una autorización.","Lo siento, pero no entiendo lo que quieres. Si necesitas suministros, tienes que tener una autorización.",14,14,1,1,True
13,112,112,112,,,Taga ma.,Taga ma.,15,15,1,1,True
14,113,113,113,,,¡Caroo!,¡Caroo!,16,16,1,1,True
