occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Gracias, adiós.","Gracias, adiós.",1,1,1,1,True
2,101,101,101,,,"Vale, gracias.","Vale, gracias.",2,2,1,1,True
3,102,102,102,,,Hmm. Adiós.,Hmm. Adiós.,3,3,1,1,True
4,103,103,103,,,Nos vemos.,Nos vemos.,4,4,1,1,True
5,104,104,104,,,Gracias,Gracias,5,5,1,1,True
6,105,105,105,,,Vale. Adiós.,Vale. Adiós.,6,6,1,1,True
7,106,106,106,,,[Más],[Más],7,7,1,1,True
8,107,107,107,,,Zzzzz,Zzzzz,8,8,1,1,True
9,108,108,108,,,[Hecho],[Hecho],9,9,1,1,True
10,109,109,109,,,No puedo usar eso.,No puedo usar eso.,10,10,1,1,True
