occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Paladín,Paladín,1,1,1,1,True
2,101,101,101,,,"¡Manténte firme, Iniciado!","¡Manténte firme, Iniciado!",2,2,1,1,True
3,102,102,102,,,Buen trabajo. Sigue así.,Buen trabajo. Sigue así.,3,3,1,1,True
4,103,103,103,,,"Hola, Iniciado, todo está seguro.","Hola, Iniciado, todo está seguro.",4,4,1,1,True
5,104,104,104,,,"Hola, Hermano ","Hola, Hermano ",5,5,1,1,True
6,105,105,105,,,.,.,6,6,1,1,True
7,106,106,106,,,"Lo siento, no debería hablar con nadie. Ya sabes cómo es esto.","Lo siento, no debería hablar con nadie. Ya sabes cómo es esto.",7,7,1,1,True
8,107,107,107,,,Si tienes alguna pregunta habla con Talus o Maxson.,Si tienes alguna pregunta habla con Talus o Maxson.,8,8,1,1,True
9,108,108,108,,,"Si algun día tienes cuestiones técnicas, Vree está en la biblioteca durante el día.","Si algun día tienes cuestiones técnicas, Vree está en la biblioteca
 durante el día.",9,10,1,1,True
10,109,109,109,,,Rhombus es mi ídolo.,Rhombus es mi ídolo.,11,11,1,1,True
11,110,110,110,,,Ojalá estuviera entrenando ahora. Los deberes de un guardia son una pérdida de tiempo.,"Ojalá estuviera entrenando ahora. Los deberes de un guardia
 son una pérdida de tiempo.",12,13,1,1,True
12,111,111,111,,,Vree es mi ídolo.,Vree es mi ídolo.,14,14,1,1,True
13,112,112,112,,,¡Marco!,¡Marco!,15,15,1,1,True
14,113,113,113,,,¡Polo!,¡Polo!,16,16,1,1,True
