occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Ves a Petrox, un bandido del desierto.","Ves a Petrox, un bandido del desierto.",1,1,1,1,True
2,101,101,101,,,¡Saludos! Me llamo Petrox. Soy uno de los líderes piratas de Garl. ¿Quién eres tú?,¡Saludos! Me llamo Petrox. Soy uno de los líderes piratas de Garl. ¿Quién eres tú?,2,2,1,1,True
3,102,102,102,,,Soy ,Soy ,3,3,1,1,True
4,103,103,103,,,. ¿Qué haces como pirata?,. ¿Qué haces como pirata?,4,4,1,1,True
5,104,104,104,,,Mi nombre no tiene importancia por el momento. ¿Puedes decirme algo sobre tu campamento?,Mi nombre no tiene importancia por el momento. ¿Puedes decirme algo sobre tu campamento?,5,5,1,1,True
6,105,105,105,,,¿Mmm?,¿Mmm?,6,6,1,1,True
7,106,106,106,,,"Como pirata, viajo a distintos lugares de la tierra baldía. En mis viajes, consigo provisiones para el campamento.","Como pirata, viajo a distintos lugares de la tierra baldía. En mis
 viajes, consigo provisiones para el campamento.",7,8,1,1,True
8,107,107,107,,,"En otras palabras, vas robando por ahí a la gente.","En otras palabras, vas robando por ahí a la gente.",9,9,1,1,True
9,108,108,108,,,"Eh, eso está muy bien. Seguro que Garl está contento contigo.","Eh, eso está muy bien. Seguro que Garl está contento contigo.",10,10,1,1,True
10,109,109,109,,,¿En qué sitios has estado?,¿En qué sitios has estado?,11,11,1,1,True
11,110,110,110,,,"Está bien que pienses que eres tan importante como para no necesitar un nombre para ir por ahí. Pero, te diré una cosa sobre nosotros. Somos el pueblo más fuerte de toda la tierra baldía. Nadie puede con nosotros. Ni siquiera esos debiluchos de Arenas Sombrías o Ciudad Vertedero.","Está bien que pienses que eres tan importante como para no necesitar
 un nombre para ir por ahí. Pero, te diré una cosa sobre nosotros. Somos
 el pueblo más fuerte de toda la tierra baldía. Nadie puede con nosotros. Ni siquiera
 esos debiluchos de Arenas Sombrías o Ciudad Vertedero.",12,15,1,1,True
12,111,111,111,,,¿Qué puedes contarme de Arenas Sombrías?,¿Qué puedes contarme de Arenas Sombrías?,16,16,1,1,True
13,112,112,112,,,¿Qué es Ciudad Vertedero?,¿Qué es Ciudad Vertedero?,17,17,1,1,True
14,113,113,113,,,"Lo siento, pero no tengo tiempo para perderlo con los lentos como tú. Adiós.","Lo siento, pero no tengo tiempo para perderlo con los lentos como tú. Adiós.",18,18,1,1,True
15,114,114,114,,,Nunca robamos. Sólo cogemos lo que les sobra a los demás y lo redistribuimos entre nuestra gente hambrienta.,"Nunca robamos. Sólo cogemos lo que les sobra a los demás y lo redistribuimos
 entre nuestra gente hambrienta.",19,20,1,1,True
16,115,115,115,,,"O sea que, básicamente, robáis.","O sea que, básicamente, robáis.",21,21,1,1,True
17,116,116,116,,,Eso parece una idea genial.,Eso parece una idea genial.,22,22,1,1,True
18,117,117,117,,,"He estado en muchos lugares de las tierras baldías. Los sitios más cercanos que he visitado son Arenas Sombrías y Ciudad Vertedero. En esas ciudades no ocurre gran cosa, pero están llenas de información y suministros.","He estado en muchos lugares de las tierras baldías. Los sitios más cercanos que he
 visitado son Arenas Sombrías y Ciudad Vertedero. En esas ciudades no ocurre gran cosa, pero
 están llenas de información y suministros.",23,25,1,1,True
19,118,118,118,,,Háblame de Arenas Sombrías.,Háblame de Arenas Sombrías.,26,26,1,1,True
20,119,119,119,,,Háblame de Ciudad Vertedero.,Háblame de Ciudad Vertedero.,27,27,1,1,True
21,120,120,120,,,Estás empezando a enfadarme. Creo que terminaré con este ligero problema.,"Estás empezando a enfadarme. Creo que terminaré
 con este ligero problema.",28,29,1,1,True
22,121,121,121,,,Arenas Sombrías es una comunidad fértil. A ellos les complace... compartir sus pertenencias con nosotros.,"Arenas Sombrías es una comunidad fértil. A ellos les complace...
 compartir sus pertenencias con nosotros.",30,31,1,1,True
23,122,122,122,,,¿Qué puedes decirme de Ciudad Vertedero?,¿Qué puedes decirme de Ciudad Vertedero?,32,32,1,1,True
24,123,123,123,,,Ciudad Vertedero está muy cerca al sur de aquí. Allí hay muchas mujeres.,Ciudad Vertedero está muy cerca al sur de aquí. Allí hay muchas mujeres.,33,33,1,1,True
25,124,124,124,,,"Ciudad Vertedero está un poco al sur de aquí. Allí abundan las mujeres. Si quieres . . . puedo enseñarte todo eso alguna vez, quizá podamos llegar a conocernos mejor . . . ¿qué te parece?","Ciudad Vertedero está un poco al sur de aquí. Allí abundan las mujeres.
 Si quieres . . . puedo enseñarte todo eso alguna vez, quizá podamos
 llegar a conocernos mejor . . . ¿qué te parece?",34,36,1,1,True
26,125,125,125,,,"No gracias, puede que en otra ocasión.","No gracias, puede que en otra ocasión.",37,37,1,1,True
27,126,126,126,,,"Claro, quizá más tarde.","Claro, quizá más tarde.",38,38,1,1,True
28,127,127,127,,,"Vale, quizá más tarde.","Vale, quizá más tarde.",39,39,1,1,True
29,128,128,128,,,"Te he dicho todo lo que me permiten decir. Vete, por favor.","Te he dicho todo lo que me permiten decir. Vete, por favor.",40,40,1,1,True
