occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Estás viendo a Gideon, un humano de aspecto normal. Lleva una corona.","Estás viendo a Gideon, un humano de aspecto normal. Lleva una corona.",1,1,1,1,True
2,101,101,101,,,¡Jason es un dios viviente! ¡Sólo los nulificados pueden pasar!,¡Jason es un dios viviente! ¡Sólo los nulificados pueden pasar!,2,2,1,1,True
3,102,102,102,,,¿Nulificados? ¿Están limitando de alguna manera tus poderes psíquicos con esos artilugios que llevas puesto?,"¿Nulificados? ¿Están limitando de alguna manera tus poderes psíquicos con esos
 artilugios que llevas puesto?",3,4,1,1,True
4,103,103,103,,,¿Quién es Jason?,¿Quién es Jason?,5,5,1,1,True
5,104,104,104,,,¿Qué significa nulificado?,¿Qué significa nulificado?,6,6,1,1,True
6,105,105,105,,,"Acabo de matarlo, así que ahora es un dios muerto. ¿Te gustaría unirte a él?","Acabo de matarlo, así que ahora es un dios muerto. ¿Te gustaría unirte
 a él?",7,8,1,1,True
7,106,106,106,,,¿Eh?,¿Eh?,9,9,1,1,True
8,107,107,107,,,Los muros también tienen mente... ¿Te vi... mañana?,Los muros también tienen mente... ¿Te vi... mañana?,10,10,1,1,True
9,108,108,108,,,¿Hay más gente como tú en el muro?,¿Hay más gente como tú en el muro?,11,11,1,1,True
10,109,109,109,,,Da igual.,Da igual.,12,12,1,1,True
11,110,110,110,,,Me gustaría matarte ahora. ¿Podrías romper este campo de fuerza?,Me gustaría matarte ahora. ¿Podrías romper este campo de fuerza?,13,13,1,1,True
12,111,111,111,,,Abre el campo de fuerza y te dejaré salir.,Abre el campo de fuerza y te dejaré salir.,14,14,1,1,True
13,112,112,112,,,"Oh, sí. ¿Eres tú el ""experimento"" que estoy buscando?","Oh, sí. ¿Eres tú el ""experimento"" que estoy buscando?",15,15,1,1,True
14,113,113,113,,,¿Jason? ¿Quién es Jason?,¿Jason? ¿Quién es Jason?,16,16,1,1,True
15,114,114,114,,,Acabas de decir... No importa.,Acabas de decir... No importa.,17,17,1,1,True
16,115,115,115,,,Stup.,Stup.,18,18,1,1,True
17,116,116,116,,,"Sí, los muros viven con aquellos que ya ni están aquí.","Sí, los muros viven con aquellos que ya ni están aquí.",19,19,1,1,True
18,117,117,117,,,¿Qué les pasó?,¿Qué les pasó?,20,20,1,1,True
19,118,118,118,,,"Oh, tengo que irme.","Oh, tengo que irme.",21,21,1,1,True
20,119,119,119,,,"Anunciado con... el encuentro de las almas, para proteger al Maestro de todo.","Anunciado con... el encuentro de las almas, para proteger al Maestro de todo.",22,22,1,1,True
21,120,120,120,,,Ya veo. ¿Cómo me protejo de los protectores del Maestro?,Ya veo. ¿Cómo me protejo de los protectores del Maestro?,23,23,1,1,True
22,121,121,121,,,¿Y qué hay de los perros de la guerra?,¿Y qué hay de los perros de la guerra?,24,24,1,1,True
23,122,122,122,,,Necesito proteger al Maestro. ¿Cómo llego hasta él?,Necesito proteger al Maestro. ¿Cómo llego hasta él?,25,25,1,1,True
24,123,123,123,,,Puedo matar a cualquier persona o cosa. Abre este campo de fuerza y te lo demostraré.,"Puedo matar a cualquier persona o cosa. Abre este campo de fuerza y te
 lo demostraré.",26,27,1,1,True
25,124,124,124,,,Adiós.,Adiós.,28,28,1,1,True
26,125,125,125,,,Sólo hay paz y unión.. el precio.. el dolor.. debemos ser ciegos.. nulos.,"Sólo hay paz y unión.. el precio.. el dolor.. debemos ser
 ciegos.. nulos.",29,30,1,1,True
27,126,126,126,,,"Bueno, necesito unirme. ¿Dónde puedo coger uno de esos bonitos nulificadores?","Bueno, necesito unirme. ¿Dónde puedo coger uno de esos bonitos nulificadores?",31,31,1,1,True
28,127,127,127,,,¡Estupendo! ¿Cómo me uno a vosotros?,¡Estupendo! ¿Cómo me uno a vosotros?,32,32,1,1,True
29,128,128,128,,,Me gustaría unir tu cabeza a mis pistola!,Me gustaría unir tu cabeza a mis pistola!,33,33,1,1,True
30,129,129,129,,,No tengo tiempo para esto. Adiós.,No tengo tiempo para esto. Adiós.,34,34,1,1,True
31,130,130,130,,,Te ungiré... Debo dar lo que no debo.,Te ungiré... Debo dar lo que no debo.,35,35,1,1,True
32,131,131,131,,,Gracias.,Gracias.,36,36,1,1,True
33,132,132,132,,,"¡Nadie va a ungirme, loco bastardo!","¡Nadie va a ungirme, loco bastardo!",37,37,1,1,True
34,133,133,133,,,¿Ungirme? ¿Ungirme con qué?,¿Ungirme? ¿Ungirme con qué?,38,38,1,1,True
35,134,134,134,,,"No, gracias.","No, gracias.",39,39,1,1,True
36,135,135,135,,,No puedes matar al genio ... de todos.. ¡He... tú!,No puedes matar al genio ... de todos.. ¡He... tú!,40,40,1,1,True
37,136,136,136,,,"Sí, pero puedo causar un infierno de auténtico dolor.","Sí, pero puedo causar un infierno de auténtico dolor.",41,41,1,1,True
38,137,137,137,,,No quiero matar. Quiero adorar.,No quiero matar. Quiero adorar.,42,42,1,1,True
39,138,138,138,,,Evidentemente. Adiós.,Evidentemente. Adiós.,43,43,1,1,True
40,139,139,139,,,"¡Flema! Desarrollo insustancial... comunicación, nul... fin de la muerte.","¡Flema! Desarrollo insustancial... comunicación, nul... fin de la muerte.",44,44,1,1,True
41,140,140,140,,,Los muros también tienen espíritu.. Te veo ... mañana ¿verdad?,Los muros también tienen espíritu.. Te veo ... mañana ¿verdad?,45,45,1,1,True
42,141,141,141,,,Tomaré eso como un sí.,Tomaré eso como un sí.,46,46,1,1,True
43,142,142,142,,,¡Fantástico! ¿Cuándo me uno a vosotros?,¡Fantástico! ¿Cuándo me uno a vosotros?,47,47,1,1,True
44,143,143,143,,,¡La muerte.. de los blasfemos.. descompuestos será.. la salvación ... de los fuertes!,¡La muerte.. de los blasfemos.. descompuestos será.. la salvación ... de los fuertes!,48,48,1,1,True
45,144,144,144,,,Las mentes... los muros... ante el más grande.,Las mentes... los muros... ante el más grande.,49,49,1,1,True
46,145,145,145,,,Los que se fueron... acabar tu viaje.,Los que se fueron... acabar tu viaje.,50,50,1,1,True
47,146,146,146,,,Tengo que cambiar eso.,Tengo que cambiar eso.,51,51,1,1,True
48,147,147,147,,,"Debo finalizar mi viaje, es el deseo del maestro.","Debo finalizar mi viaje, es el deseo del maestro.",52,52,1,1,True
