occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Casi te aplasta un enorme pedrusco en una avalancha.,Casi te aplasta un enorme pedrusco en una avalancha.,6,6,1,1,True
2,101,101,101,,,Escapas sin sufrir daño.,Escapas sin sufrir daño.,7,7,1,1,True
3,102,102,102,,,La roca desplazada trae consigo los restos de un viajero muerto tiempo atrás.,La roca desplazada trae consigo los restos de un viajero muerto tiempo atrás.,8,8,1,1,True
4,103,103,103,,,Sufres une herida grave en una pierna por las rocas que han caído.,Sufres une herida grave en una pierna por las rocas que han caído.,9,9,1,1,True
5,104,104,104,,,"Algunas esquirlas de roca arañan tu cara y manos, pero escapas con sólo heridas leves.","Algunas esquirlas de roca arañan tu cara y manos, pero escapas con sólo heridas leves.",10,10,1,1,True
6,105,105,105,,,¡Escorpiones Rad!,¡Escorpiones Rad!,11,11,1,1,True
7,106,106,106,,,Parece que un Escorpión Rad especialmente astuto intenta tenderte una emboscada.,Parece que un Escorpión Rad especialmente astuto intenta tenderte una emboscada.,12,12,1,1,True
8,107,107,107,,,"¡De pronto, salido de la nada, un escorpión rad te ataca!","¡De pronto, salido de la nada, un escorpión rad te ataca!",13,13,1,1,True
9,108,108,108,,,Has tropezado con una familia de Ratas Topo.,Has tropezado con una familia de Ratas Topo.,14,14,1,1,True
10,109,109,109,,,Casi te aplasta un enorme pedrusco en una avalancha.,Casi te aplasta un enorme pedrusco en una avalancha.,15,15,1,1,True
11,110,110,110,,,Escapas sin sufrir daño.,Escapas sin sufrir daño.,16,16,1,1,True
12,111,111,111,,,Escapas sin sufrir daño. La roca desplazada revela un depósito de oro.,"Escapas sin sufrir daño. La roca desplazada revela un depósito
 de oro.",17,18,1,1,True
13,112,112,112,,,Sufres une herida grave en una pierna por las rocas que han caído.,Sufres une herida grave en una pierna por las rocas que han caído.,19,19,1,1,True
14,113,113,113,,,"Algunas esquirlas de roca rasgan tu cara y manos, pero escapas con heridas leves.","Algunas esquirlas de roca rasgan tu cara y manos, pero
 escapas con heridas leves.",20,21,1,1,True
15,114,114,114,,,Viajas a través de riscos escarpados y terrenos abruptos.,Viajas a través de riscos escarpados y terrenos abruptos.,23,23,1,1,True
16,115,115,115,,,"Afortunadamente, tus técnicas de escalada están a la altura de las circunstancias.","Afortunadamente, tus técnicas de escalada están a la altura de las circunstancias.",24,24,1,1,True
17,116,116,116,,,Encuentras una cueva con un pequeño manantial y gozas de la primera noche de sueño reparador en mucho tiempo.,Encuentras una cueva con un pequeño manantial y gozas de la primera noche de sueño reparador en mucho tiempo.,25,25,1,1,True
18,117,117,117,,,"Caes de una plataforma de roca, aterrizando encima de unas piedras afiladas.","Caes de una plataforma de roca, aterrizando encima de unas piedras afiladas.",27,27,1,1,True
19,118,118,118,,,Caes desde la cornisa encima de un suelo rocoso duro.,Caes desde la cornisa encima de un suelo rocoso duro.,28,28,1,1,True
20,119,119,119,,,Tropiezas con una gran manada de Escorpiones Rad.,Tropiezas con una gran manada de Escorpiones Rad.,29,29,1,1,True
21,120,120,120,,,Encuentras algunas ratas rebuscando por aquí.,Encuentras algunas ratas rebuscando por aquí.,30,30,1,1,True
22,121,121,121,,,A lo lejos divisas a un viajero solitario.,A lo lejos divisas a un viajero solitario.,31,31,1,1,True
23,122,122,122,,,La tierra que yace ante ti está llena de escombros y cadáveres. Debe ser un antiguo campo de batalla.,La tierra que yace ante ti está llena de escombros y cadáveres. Debe ser un antiguo campo de batalla.,32,32,1,1,True
24,123,123,123,,,Casi te aplasta un enorme pedrusco en una avalancha.,Casi te aplasta un enorme pedrusco en una avalancha.,33,33,1,1,True
25,124,124,124,,,Escapas sin sufrir daño.,Escapas sin sufrir daño.,34,34,1,1,True
26,125,125,125,,,Escapas sin sufrir daño. La roca desplazada revela un depósito de oro.,Escapas sin sufrir daño. La roca desplazada revela un depósito de oro.,35,35,1,1,True
27,126,126,126,,,Sufres une herida grave en una pierna por las rocas que han caído.,Sufres une herida grave en una pierna por las rocas que han caído.,36,36,1,1,True
28,127,127,127,,,"Algunas esquirlas de roca arañan tu cara y manos, pero escapas con heridas leves.","Algunas esquirlas de roca arañan tu cara y manos, pero escapas con heridas leves.",37,37,1,1,True
29,128,128,128,,,"Ves a un Escorpion Rad solitario, saltando por aquí.","Ves a un Escorpion Rad solitario, saltando por aquí.",38,38,1,1,True
30,129,129,129,,,Enormes ratastopo curiosean por aquí.,Enormes ratastopo curiosean por aquí.,39,39,1,1,True
31,130,130,130,,,Encuentras algunas ratas rebuscando por aquí.,Encuentras algunas ratas rebuscando por aquí.,40,40,1,1,True
32,131,131,131,,,Casi te caes por un terraplén. ¡Podrían tener a una señora de la limpieza en este lugar!,Casi te caes por un terraplén. ¡Podrían tener a una señora de la limpieza en este lugar!,41,41,1,1,True
33,132,132,132,,,"Caes por un terraplén y, desgraciademente, te tuerces un tobillo.","Caes por un terraplén y, desgraciademente, te tuerces un tobillo.",42,42,1,1,True
34,133,133,133,,,Caes por un terraplén y te haces una herida.,Caes por un terraplén y te haces una herida.,43,43,1,1,True
35,134,134,134,,,Ves como varias ratas corren hacia ti.,Ves como varias ratas corren hacia ti.,44,44,1,1,True
36,135,135,135,,,Encuentras los huesos de un viajero muerto tiempo atrás.,Encuentras los huesos de un viajero muerto tiempo atrás.,45,45,1,1,True
37,136,136,136,,,Tropiezas con una manada hostil de Escorpiones Rad.,Tropiezas con una manada hostil de Escorpiones Rad.,46,46,1,1,True
