occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Ganas 400 puntos de experiencia por traer a Tandi.,Ganas 400 puntos de experiencia por traer a Tandi.,1,1,1,1,True
2,101,101,101,,,Al sur ves una pared de adobe alrededor de una aldea de aspecto pacífico.,"Al sur ves una pared de adobe alrededor de una aldea de aspecto
 pacífico.",2,3,1,1,True
3,102,102,102,,,"Todo lo que queda en esta zona es una pequeña choza. Afortunadamente, tus notas indican que hay una entrada secundaria del Refugio-15 aquí.","Todo lo que queda en esta zona es una pequeña choza. Afortunadamente,
 tus notas indican que hay una entrada secundaria del Refugio-15 aquí.",4,5,1,1,True
4,103,103,103,,,Estás viendo una pequeña construcción situada al lado de una serie de tiendas. Los habitantes parecen sucios y hostiles.,Estás viendo una pequeña construcción situada al lado de una serie de tiendas. Los habitantes parecen sucios y hostiles.,6,6,1,1,True
5,104,104,104,,,Atraviesas un pueblo de tamaño mediano. Un muro de coches de desguace bloquea la entrada. Una neblina de humo yace sobre el pueblo.,"Atraviesas un pueblo de tamaño mediano. Un muro de coches de
 desguace bloquea la entrada. Una neblina de humo yace sobre el pueblo.",7,8,1,1,True
6,105,105,105,,,Ves una ciudad grande al sur. En las afueras unas granjas rodean la ciudad. Hay mucha vida en este oasis del desierto.,"Ves una ciudad grande al sur. En las afueras unas granjas rodean la ciudad.
 Hay mucha vida en este oasis del desierto.",9,10,1,1,True
7,106,106,106,,,Te acercas a una ciudad oscura destruida. No hay mucha vida. Un halo de muerte rodea el área.,"Te acercas a una ciudad oscura destruida. No hay mucha vida. Un halo de
 muerte rodea el área.",11,12,1,1,True
8,107,107,107,,,"Al norte hay una pequeña construcción rodeada por una alambrada. Guardias amenazadores con pesadas armaduras, patrullan en el área.","Al norte hay una pequeña construcción rodeada por una alambrada. Guardias
 amenazadores con pesadas armaduras, patrullan en el área.",13,14,1,1,True
9,108,108,108,,,Un gran cráter se extiende al norte.,Un gran cráter se extiende al norte.,15,15,1,1,True
10,109,109,109,,,"Se ven guardias mutantes al noreste, en frente de una fortificación construida en la falda de la montaña.","Se ven guardias mutantes al noreste, en frente de una fortificación
 construida en la falda de la montaña.",16,17,1,1,True
11,110,110,110,,,Un edificio recargado se alza hasta el cielo. Una multitud camina sin rumbo hacia él.,"Un edificio recargado se alza hasta el cielo. Una multitud camina sin
 rumbo hacia él.",18,19,1,1,True
12,111,111,111,,,"Al norte puedes ver un almacén, rodeado por un foso lleno de un potingue reluciente.","Al norte puedes ver un almacén, rodeado por un foso lleno de un potingue reluciente.",20,20,1,1,True
13,112,112,112,,,"Delante de ti ves una gran fábrica fortificada, con graffitis en las paredes y puestos de vigilancia amenazadores.","Delante de ti ves una gran fábrica fortificada, con graffitis en las paredes
 y puestos de vigilancia amenazadores.",21,22,1,1,True
14,113,113,113,,,Hay signos evidentes de actividad de bandas en el club nocturno medio reconstruido y en los pequeños puestos fronterizos.,"Hay signos evidentes de actividad de bandas en el club nocturno medio reconstruido
 y en los pequeños puestos fronterizos.",23,24,1,1,True
15,114,114,114,,,"En el corazón de la ciudad se alza, fortificada y restaurada, una biblioteca, inasequible pero grandiosa. Una sensación de paz te inunda.","En el corazón de la ciudad se alza, fortificada y restaurada, una
 biblioteca, inasequible pero grandiosa. Una sensación de paz te inunda.",25,26,1,1,True
16,115,115,115,,,Al sur te espera a la defensiva una aldea rodeada con una alambrada y patrullada por guardias.,Al sur te espera a la defensiva una aldea rodeada con una alambrada y patrullada por guardias.,27,27,1,1,True
17,116,116,116,,,"Ves una huella gigante en el suelo. Buscas, pero no encuentras otros rastros en la zona.","Ves una huella gigante en el suelo. Buscas, pero no encuentras otros
 rastros en la zona.",28,29,1,1,True
18,117,117,117,,,Restos de fuego y cenizas cubren este sitio.,Restos de fuego y cenizas cubren este sitio.,30,30,1,1,True
19,118,118,118,,,Parece que esta zona fue alcanzada por una bomba de fuego de alta presión.,Parece que esta zona fue alcanzada por una bomba de fuego de alta presión.,31,31,1,1,True
