occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a Troy.,Estás viendo a Troy.,1,1,1,1,True
2,101,101,101,,,"Enhorabuena, humano. Has sido seleccionado para unirte a una elite de devotos. Sígueme.","Enhorabuena, humano. Has sido seleccionado para unirte a una elite
 de devotos. Sígueme.",2,3,1,1,True
3,102,102,102,,,¿No tendrá algo que ver con los rumores sobre un ejército de súper mutantes va por ahí arrasando?,¿No tendrá algo que ver con los rumores sobre un ejército de súper mutantes va por ahí arrasando?,4,4,1,1,True
4,103,103,103,,,¿Dónde vamos?,¿Dónde vamos?,5,5,1,1,True
5,104,104,104,,,¿A qué estás esperando? ¡Vámonos!,¿A qué estás esperando? ¡Vámonos!,6,6,1,1,True
6,105,105,105,,,Creo que no.,Creo que no.,7,7,1,1,True
7,106,106,106,,,"¿Qué es esa peste a cadáver pútrido? ¡Oh, eres tú!","¿Qué es esa peste a cadáver pútrido? ¡Oh, eres tú!",8,8,1,1,True
8,107,107,107,,,¿Ruh?,¿Ruh?,9,9,1,1,True
9,108,108,108,,,"Sígueme y lo descubrirás. O hablando en claro : ¡sigueme y vivirás, idiota!","Sígueme y lo descubrirás. O hablando en claro : ¡sigueme y vivirás, idiota!",10,10,1,1,True
10,109,109,109,,,"¿O sea que si no voy, muero? No me parece muy piadoso.","¿O sea que si no voy, muero? No me parece muy piadoso.",11,11,1,1,True
11,110,110,110,,,Me has convencido. ¡Andando!,Me has convencido. ¡Andando!,12,12,1,1,True
12,111,111,111,,,No lo creo.,No lo creo.,13,13,1,1,True
13,112,112,112,,,"¡No empieces algo que no puedes terminar, fierecilla!","¡No empieces algo que no puedes terminar, fierecilla!",14,14,1,1,True
14,113,113,113,,,¡Excelente!,¡Excelente!,15,15,1,1,True
15,114,114,114,,,No deberías jugar con Lady Jain o con los Niños.,No deberías jugar con Lady Jain o con los Niños.,16,16,1,1,True
16,115,115,115,,,No deberías insultar a quien no puedes matar. Dime qué prefieres ¿venir conmigo y vivir o quedarte aquí y morir?,"No deberías insultar a quien no puedes matar. Dime qué prefieres ¿venir conmigo
 y vivir o quedarte aquí y morir?",17,18,1,1,True
17,116,116,116,,,¡Voy!,¡Voy!,19,19,1,1,True
18,117,117,117,,,Olvídalo.,Olvídalo.,20,20,1,1,True
19,118,118,118,,,"¡Santo Dios, algunos mutantes no saben aguantar una broma!","¡Santo Dios, algunos mutantes no saben aguantar una broma!",21,21,1,1,True
20,119,119,119,,,"¡Si sigo oliéndote, me moriré de todas formas!","¡Si sigo oliéndote, me moriré de todas formas!",22,22,1,1,True
21,120,120,120,,,¡Bestia estúpida! ¿Te vienes o no?,¡Bestia estúpida! ¿Te vienes o no?,23,23,1,1,True
22,121,121,121,,,Uh . . . ¡voy!,Uh . . . ¡voy!,24,24,1,1,True
23,122,122,122,,,Uh . . . ¡yo quedar!,Uh . . . ¡yo quedar!,25,25,1,1,True
24,123,123,123,,,"¡Basta ya de indecisiones! ¿Cuál es tu respuesta, humano?","¡Basta ya de indecisiones! ¿Cuál es tu respuesta, humano?",26,26,1,1,True
25,124,124,124,,,Te acompaño. Vamos.,Te acompaño. Vamos.,27,27,1,1,True
26,125,125,125,,,Olvídalo.,Olvídalo.,28,28,1,1,True
27,126,126,126,,,¡Cómo te atreves a empujarme! ¡Nadie me dice lo que tengo que hacer!,¡Cómo te atreves a empujarme! ¡Nadie me dice lo que tengo que hacer!,29,29,1,1,True
28,127,127,127,,,¡Perro insolente! ¡Vas a morir!,¡Perro insolente! ¡Vas a morir!,30,30,1,1,True
29,128,128,128,,,"¡Basta ya de bobadas! ¿Cuál es tu respuesta, humano?","¡Basta ya de bobadas! ¿Cuál es tu respuesta, humano?",31,31,1,1,True
30,129,129,129,,,Voy contigo. Vamos.,Voy contigo. Vamos.,32,32,1,1,True
31,130,130,130,,,Olvídalo.,Olvídalo.,33,33,1,1,True
32,131,131,131,,,"No me metas prisa, colega. Todavía estoy intentando pensar una respuesta ocurrente. . .","No me metas prisa, colega. Todavía estoy intentando pensar
 una respuesta ocurrente. . .",34,35,1,1,True
33,132,132,132,,,El mutante te ignora.,El mutante te ignora.,36,36,1,1,True
