occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see before you Uthern, leader of the Super Mutants.","You see before you Uthern, leader of the Super Mutants.",1,1,1,1,True
2,101,101,101,,,Normie! How dare you enter the confines of your betters?,Normie! How dare you enter the confines of your betters?,2,2,1,1,True
3,102,102,102,,,Huh?,Huh?,3,3,1,1,True
4,103,103,103,,,Scum like you could never be better than humans!,Scum like you could never be better than humans!,4,4,1,1,True
5,104,104,104,,,Die Mutie!!,Die Mutie!!,5,5,1,1,True
6,105,105,105,,,"Really? You claim yourself better, but what proof do you have?","Really? You claim yourself better, but what proof do you have?",6,6,1,1,True
7,106,106,106,,,"If you consider yourself one better than the rest, you run into the fallacy of over generalization.","If you consider yourself one better than the rest, you run into the fallacy of over generalization.",7,7,1,1,True
8,107,107,107,,,It's a wonder your race survived as long as it has. I will start with you in the cleansing.,It's a wonder your race survived as long as it has. I will start with you in the cleansing.,8,8,1,1,True
9,108,108,108,,,"You only prove my point by using inane comments as such. I personally would not wish you in my sight, but my master would have words with you.","You only prove my point by using inane comments as such. I personally would not wish you in my sight,
 but my master would have words with you.",9,10,1,1,True
10,109,109,109,,,Show me your master.,Show me your master.,11,11,1,1,True
11,110,110,110,,,Try these words -- Drop dead!,Try these words -- Drop dead!,12,12,1,1,True
12,111,111,111,,,Surely one of your intellect can see that such things will solve nothing.,Surely one of your intellect can see that such things will solve nothing.,13,13,1,1,True
13,112,112,112,,,With pleasure.,With pleasure.,14,14,1,1,True
14,113,113,113,,,Are you claiming that talk will solve nothing? You are more foolish than I thought.,Are you claiming that talk will solve nothing? You are more foolish than I thought.,15,15,1,1,True
15,114,114,114,,,"Though you are foolish, I was referring to your manner of delivering words.","Though you are foolish, I was referring to your manner of delivering words.",16,16,1,1,True
16,115,115,115,,,"Ah, the fool finally realizes something.","Ah, the fool finally realizes something.",17,17,1,1,True
17,116,116,116,,,Words will only do so much. This will solve more.,Words will only do so much. This will solve more.,18,18,1,1,True
18,117,117,117,,,I begin to think you may have a bit of superior blood in you yet. Let me find out for certain.,I begin to think you may have a bit of superior blood in you yet. Let me find out for certain.,19,19,1,1,True
19,118,118,118,,,"He does indeed, for death shall be your saving grace.","He does indeed, for death shall be your saving grace.",20,20,1,1,True
20,119,119,119,,,"The simplest of proofs for you. I am smarter, stronger, and quicker than you are. Would you care for a test of my skills?","The simplest of proofs for you. I am smarter, stronger, and quicker than you are. Would you care
 for a test of my skills?",21,22,1,1,True
21,120,120,120,,,"No, thanks. I believe you.","No, thanks. I believe you.",23,23,1,1,True
22,121,121,121,,,"You forgot arrogant, stupid and ugly.","You forgot arrogant, stupid and ugly.",24,24,1,1,True
23,122,122,122,,,Sure. Let's see what you can do.,Sure. Let's see what you can do.,25,25,1,1,True
24,123,123,123,,,Good. Would you like a chance at gaining greater powers?,Good. Would you like a chance at gaining greater powers?,26,26,1,1,True
25,124,124,124,,,You bet!,You bet!,27,27,1,1,True
26,125,125,125,,,No way!,No way!,28,28,1,1,True
27,126,126,126,,,I'm not sure about this.,I'm not sure about this.,29,29,1,1,True
28,127,127,127,,,Die!,Die!,30,30,1,1,True
29,128,128,128,,,Then i will take you to my master.,Then i will take you to my master.,31,31,1,1,True
30,129,129,129,,,"It almost seems a pity. No matter, this won't take long.","It almost seems a pity. No matter, this won't take long.",32,32,1,1,True
31,130,130,130,,,Offered all the power in the world and still frightened. I will help you with your decision.,Offered all the power in the world and still frightened. I will help you with your decision.,33,33,1,1,True
32,131,131,131,,,"Comments such as those only prove how much more intelligent i am than you. Now, you shall pay for your insolence!","Comments such as those only prove how much more intelligent i am than you. Now, you shall pay for your insolence!",34,34,1,1,True
33,132,132,132,,,"Do you accept credit cards, or only caps?","Do you accept credit cards, or only caps?",35,35,1,1,True
34,133,133,133,,,Never!!,Never!!,36,36,1,1,True
35,134,134,134,,,"Sorry, I'm a little low on caps right now. Can I get a raincheck?","Sorry, I'm a little low on caps right now. Can I get a raincheck?",37,37,1,1,True
36,135,135,135,,,What? I think I can generalize this much -- you are coming with me now.,What? I think I can generalize this much -- you are coming with me now.,38,38,1,1,True
37,136,136,136,,,How nice to see you again. I was told that you were roaming around here. I have orders to bring you in.,How nice to see you again. I was told that you were roaming around here. I have orders to bring you in.,39,39,1,1,True
