occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,101,101,101,,,,,1,1,1,1,True
2,102,102,102,,,Anciano,Anciano,2,2,1,1,True
3,103,103,103,,,Trocador,Trocador,3,3,1,1,True
4,104,104,104,,,Guardaespaldas,Guardaespaldas,4,4,1,1,True
5,105,105,105,,,Vaca,Vaca,5,5,1,1,True
6,106,106,106,,,Guardia del Foso de los Pistoleros,Guardia del Foso de los Pistoleros,6,6,1,1,True
7,107,107,107,,,Guardia de Arenas Sombrías,Guardia de Arenas Sombrías,7,7,1,1,True
8,108,108,108,,,Mendigo,Mendigo,8,8,1,1,True
9,109,109,109,,,Campesino de Arenas Sombrías,Campesino de Arenas Sombrías,9,9,1,1,True
10,110,110,110,,,Pistolero,Pistolero,10,10,1,1,True
11,111,111,111,,,Entrada al Mapa,Entrada al Mapa,11,11,1,1,True
12,112,112,112,,,Escorpión Rad,Escorpión Rad,12,12,1,1,True
13,113,113,113,,,Centinela Supermutante,Centinela Supermutante,13,13,1,1,True
14,114,114,114,,,Pozo de Arenas Sombrías,Pozo de Arenas Sombrías,14,14,1,1,True
15,115,115,115,,,Set,Set,15,15,1,1,True
16,116,116,116,,,Harry,Harry,16,16,1,1,True
17,117,117,117,,,Medicamento,Medicamento,17,17,1,1,True
18,118,118,118,,,Tapa de alcantarilla,Tapa de alcantarilla,18,18,1,1,True
19,119,119,119,,,Alcantarilla,Alcantarilla,19,19,1,1,True
20,120,120,120,,,Escalera,Escalera,20,20,1,1,True
21,121,121,121,,,Silla,Silla,21,21,1,1,True
22,122,122,122,,,Máquina de Nuka Cola,Máquina de Nuka Cola,22,22,1,1,True
23,123,123,123,,,Mesa del Encargado,Mesa del Encargado,23,23,1,1,True
24,124,124,124,,,Cadáver,Cadáver,24,24,1,1,True
25,125,125,125,,,Mesa,Mesa,25,25,1,1,True
26,126,126,126,,,Cadáver de Espectro,Cadáver de Espectro,26,26,1,1,True
27,127,127,127,,,Rata Topo,Rata Topo,27,27,1,1,True
28,128,128,128,,,Alcantarilla,Alcantarilla,28,28,1,1,True
29,129,129,129,,,Escalera,Escalera,29,29,1,1,True
30,130,130,130,,,Encargado de los Demonios,Encargado de los Demonios,30,30,1,1,True
31,131,131,131,,,Mapa Manuscrito,Mapa Manuscrito,31,31,1,1,True
32,132,132,132,,,Espectro,Espectro,32,32,1,1,True
33,133,133,133,,,Aradesh,Aradesh,33,33,1,1,True
34,134,134,134,,,Brahmin,Brahmin,34,34,1,1,True
35,135,135,135,,,Cougar,Cougar,35,35,1,1,True
36,136,136,136,,,Flash,Flash,36,36,1,1,True
37,137,137,137,,,Guardia de Ciudad Vertedero,Guardia de Ciudad Vertedero,37,37,1,1,True
38,138,138,138,,,Campesino de Ciudad Vertedero,Campesino de Ciudad Vertedero,38,38,1,1,True
39,139,139,139,,,Butch,Butch,39,39,1,1,True
40,140,140,140,,,Cabbot,Cabbot,40,40,1,1,True
41,141,141,141,,,Miembro de los Niños de la Catedral,Miembro de los Niños de la Catedral,41,41,1,1,True
42,142,142,142,,,Decker,Decker,42,42,1,1,True
43,143,143,143,,,Anciano,Anciano,43,43,1,1,True
44,144,144,144,,,Gizmo,Gizmo,44,44,1,1,True
45,145,145,145,,,Harold,Harold,45,45,1,1,True
46,146,146,146,,,Jain,Jain,46,46,1,1,True
47,147,147,147,,,Killian,Killian,47,47,1,1,True
48,148,148,148,,,Laura,Laura,48,48,1,1,True
49,149,149,149,,,Loxley,Loxley,49,49,1,1,True
50,150,150,150,,,Teniente,Teniente,50,50,1,1,True
51,151,151,151,,,Maestro,Maestro,51,51,1,1,True
52,152,152,152,,,Maxson,Maxson,52,52,1,1,True
53,153,153,153,,,Morfeo,Morfeo,53,53,1,1,True
54,154,154,154,,,Nicole,Nicole,54,54,1,1,True
55,155,155,155,,,Supervisor,Supervisor,55,55,1,1,True
56,156,156,156,,,Rhombus,Rhombus,56,56,1,1,True
57,157,157,157,,,Tandi,Tandi,57,57,1,1,True
58,158,158,158,,,Vree,Vree,58,58,1,1,True
59,159,159,159,,,Rata Topo,Rata Topo,59,59,1,1,True
60,160,160,160,,,Cámara de Aire de Necrópolis,Cámara de Aire de Necrópolis,60,60,1,1,True
61,161,161,161,,,Barry,Barry,61,61,1,1,True
62,162,162,162,,,Ordenador,Ordenador,62,62,1,1,True
63,163,163,163,,,Puerta,Puerta,63,63,1,1,True
64,164,164,164,,,Bandido de los Demonios,Bandido de los Demonios,64,64,1,1,True
65,165,165,165,,,Gary,Gary,65,65,1,1,True
66,166,166,166,,,Espectro,Espectro,66,66,1,1,True
67,167,167,167,,,Espectro,Espectro,67,67,1,1,True
68,168,168,168,,,El que reluce,El que reluce,68,68,1,1,True
69,169,169,169,,,Cadáver de Espectro,Cadáver de Espectro,69,69,1,1,True
70,170,170,170,,,Centinela de los Demonios,Centinela de los Demonios,70,70,1,1,True
71,171,171,171,,,Cadáver de Espectro,Cadáver de Espectro,71,71,1,1,True
72,172,172,172,,,Guardia de Set,Guardia de Set,72,72,1,1,True
73,173,173,173,,,Encargado de los Demonios,Encargado de los Demonios,73,73,1,1,True
74,174,174,174,,,Refugiado de los Demonios,Refugiado de los Demonios,74,74,1,1,True
75,175,175,175,,,Guardia de los Demonios,Guardia de los Demonios,75,75,1,1,True
76,176,176,176,,,El que reluce enjaulado,El que reluce enjaulado,76,76,1,1,True
77,177,177,177,,,Miembro de la Resistencia,Miembro de la Resistencia,77,77,1,1,True
78,178,178,178,,,Guardia de Arenas Sombrías,Guardia de Arenas Sombrías,78,78,1,1,True
79,179,179,179,,,Harry,Harry,79,79,1,1,True
80,180,180,180,,,Larry,Larry,80,80,1,1,True
81,181,181,181,,,Líder de los Bandidos,Líder de los Bandidos,81,81,1,1,True
82,182,182,182,,,Encargado de los Demonios,Encargado de los Demonios,82,82,1,1,True
83,183,183,183,,,Cadáver mutilado,Cadáver mutilado,83,83,1,1,True
84,184,184,184,,,Campesino Espectro,Campesino Espectro,84,84,1,1,True
85,185,185,185,,,Supermutante,Supermutante,85,85,1,1,True
86,186,186,186,,,Ordenador de Agua,Ordenador de Agua,86,86,1,1,True
87,187,187,187,,,Bomba de Agua,Bomba de Agua,87,87,1,1,True
88,188,188,188,,,Pared,Pared,88,88,1,1,True
89,189,189,189,,,Prisionero de los Demonios,Prisionero de los Demonios,89,89,1,1,True
90,190,190,190,,,Sally,Sally,90,90,1,1,True
91,191,191,191,,,Grafiti,Grafiti,91,91,1,1,True
92,192,192,192,,,Nevera de Set,Nevera de Set,92,92,1,1,True
93,193,193,193,,,Mesa de Set,Mesa de Set,93,93,1,1,True
94,194,194,194,,,Puerta,Puerta,94,94,1,1,True
95,195,195,195,,,Guardiaespaldas de Set,Guardiaespaldas de Set,95,95,1,1,True
96,196,196,196,,,Pared,Pared,96,96,1,1,True
97,197,197,197,,,Olor extraño,Olor extraño,97,97,1,1,True
98,198,198,198,,,Medicamento,Medicamento,98,98,1,1,True
99,199,199,199,,,Despensa de Necrópolis,Despensa de Necrópolis,99,99,1,1,True
100,200,200,200,,,Supermutante,Supermutante,100,100,1,1,True
101,201,201,201,,,Terry,Terry,101,101,1,1,True
102,202,202,202,,,Garret,Garret,102,102,1,1,True
103,203,203,203,,,Gretch,Gretch,103,103,1,1,True
104,204,204,204,,,Morbid,Morbid,104,104,1,1,True
105,205,205,205,,,Dumar,Dumar,105,105,1,1,True
106,206,206,206,,,Trastienda,Trastienda,106,106,1,1,True
107,207,207,207,,,Iniciado de los Niños de la Catedral,Iniciado de los Niños de la Catedral,107,107,1,1,True
108,208,208,208,,,Curandero de los Niños de la Catedral,Curandero de los Niños de la Catedral,108,108,1,1,True
109,209,209,209,,,Vigía de la Resistencia,Vigía de la Resistencia,109,109,1,1,True
110,210,210,210,,,Ordenador,Ordenador,110,110,1,1,True
111,211,211,211,,,Habitación cerrada,Habitación cerrada,111,111,1,1,True
112,212,212,212,,,Desierto,Desierto,112,112,1,1,True
113,213,213,213,,,Guardia de Arenas Sombrías,Guardia de Arenas Sombrías,113,113,1,1,True
114,214,214,214,,,Cocinero de Arenas Sombrías,Cocinero de Arenas Sombrías,114,114,1,1,True
115,215,215,215,,,Ciudadano de Arenas Sombrías,Ciudadano de Arenas Sombrías,115,115,1,1,True
116,216,216,216,,,Silla,Silla,116,116,1,1,True
117,217,217,217,,,Cama de Agatha,Cama de Agatha,117,117,1,1,True
118,218,218,218,,,Cama de Razlo,Cama de Razlo,118,118,1,1,True
119,219,219,219,,,Mujer de Razlo,Mujer de Razlo,119,119,1,1,True
120,220,220,220,,,Cómoda,Cómoda,120,120,1,1,True
121,221,221,221,,,Esterilla,Esterilla,121,121,1,1,True
122,222,222,222,,,Estantería,Estantería,122,122,1,1,True
123,223,223,223,,,Fuente de Fruta,Fuente de Fruta,123,123,1,1,True
124,224,224,224,,,Mesa,Mesa,124,124,1,1,True
125,225,225,225,,,Repisa,Repisa,125,125,1,1,True
126,226,226,226,,,Mesa,Mesa,126,126,1,1,True
127,227,227,227,,,Fruta mutante,Fruta mutante,127,127,1,1,True
128,228,228,228,,,Olor a corral de Brahmins,Olor a corral de Brahmins,128,128,1,1,True
129,229,229,229,,,Razlo,Razlo,129,129,1,1,True
130,230,230,230,,,Ciudadano del Refugio 13,Ciudadano del Refugio 13,130,130,1,1,True
131,231,231,231,,,Cámara de Aire del Refugio 13,Cámara de Aire del Refugio 13,131,131,1,1,True
132,232,232,232,,,Monitor del Refugio 13,Monitor del Refugio 13,132,132,1,1,True
133,233,233,233,,,Sistema Central del Refugio 13,Sistema Central del Refugio 13,133,133,1,1,True
134,234,234,234,,,Ordenador de la Biblioteca del Refugio 13,Ordenador de la Biblioteca del Refugio 13,134,134,1,1,True
135,235,235,235,,,Kalnor,Kalnor,135,135,1,1,True
136,236,236,236,,,Pirata,Pirata,136,136,1,1,True
137,237,237,237,,,Garl,Garl,137,137,1,1,True
138,238,238,238,,,Prisionero de los Piratas,Prisionero de los Piratas,138,138,1,1,True
139,239,239,239,,,Petrox,Petrox,139,139,1,1,True
140,240,240,240,,,Tolya,Tolya,140,140,1,1,True
141,241,241,241,,,Gwen,Gwen,141,141,1,1,True
142,242,242,242,,,Diana,Diana,142,142,1,1,True
143,243,243,243,,,Alya,Alya,143,143,1,1,True
144,244,244,244,,,Aposentos,Aposentos,144,144,1,1,True
145,245,245,245,,,Sala de Reuniones,Sala de Reuniones,145,145,1,1,True
146,246,246,246,,,Despensa,Despensa,146,146,1,1,True
147,247,247,247,,,Biblioteca,Biblioteca,147,147,1,1,True
148,248,248,248,,,Sistema Central,Sistema Central,148,148,1,1,True
149,249,249,249,,,Sala de Reuniones,Sala de Reuniones,149,149,1,1,True
150,250,250,250,,,Aposentos,Aposentos,150,150,1,1,True
151,251,251,251,,,Aposentos,Aposentos,151,151,1,1,True
152,252,252,252,,,Pasadizo cerrado,Pasadizo cerrado,152,152,1,1,True
153,253,253,253,,,Pasadizo cerrado,Pasadizo cerrado,153,153,1,1,True
154,254,254,254,,,Cámara de Aire,Cámara de Aire,154,154,1,1,True
155,255,255,255,,,Sala de los Difuntos,Sala de los Difuntos,155,155,1,1,True
156,256,256,256,,,Gabriel,Gabriel,156,156,1,1,True
157,257,257,257,,,Mesa de dados,Mesa de dados,157,157,1,1,True
158,258,258,258,,,Alcantarilla,Alcantarilla,158,158,1,1,True
