occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,200,200,200,,,Entrada a la Caverna,Entrada a la Caverna,17,17,1,1,True
2,201,201,201,,,Entrada,Entrada,18,18,1,1,True
3,202,202,202,,,Aposentos,Aposentos,19,19,1,1,True
4,203,203,203,,,Centro de Mando,Centro de Mando,20,20,1,1,True
5,210,210,210,,,Entrada al Desierto,Entrada al Desierto,23,23,1,1,True
6,211,211,211,,,Cavernas/Entrada,Cavernas/Entrada,24,24,1,1,True
7,212,212,212,,,Aposentos,Aposentos,25,25,1,1,True
8,213,213,213,,,Centro de Mando,Centro de Mando,26,26,1,1,True
9,220,220,220,,,Entrada,Entrada,29,29,1,1,True
10,221,221,221,,,Jardín,Jardín,30,30,1,1,True
11,222,222,222,,,Corral de Brahmins,Corral de Brahmins,31,31,1,1,True
12,230,230,230,,,Entrada,Entrada,34,34,1,1,True
13,231,231,231,,,Posada,Posada,35,35,1,1,True
14,232,232,232,,,Casino,Casino,36,36,1,1,True
15,240,240,240,,,Base,Base,39,39,1,1,True
16,250,250,250,,,Hotel,Hotel,42,42,1,1,True
17,251,251,251,,,Sala,Sala,43,43,1,1,True
18,252,252,252,,,Almacén de Agua,Almacén de Agua,44,44,1,1,True
19,260,260,260,,,Entrada,Entrada,47,47,1,1,True
20,261,261,261,,,Centro de la Ciudad,Centro de la Ciudad,48,48,1,1,True
21,262,262,262,,,Alturas,Alturas,49,49,1,1,True
22,263,263,263,,,Ciudad Antigua,Ciudad Antigua,50,50,1,1,True
23,264,264,264,,,Mercaderes,Mercaderes,51,51,1,1,True
24,265,265,265,,,Cueva,Cueva,52,52,1,1,True
25,270,270,270,,,Entrada,Entrada,55,55,1,1,True
26,271,271,271,,,Nivel 1,Nivel 1,56,56,1,1,True
27,272,272,272,,,Nivel 2,Nivel 2,57,57,1,1,True
28,273,273,273,,,Nivel 3,Nivel 3,58,58,1,1,True
29,274,274,274,,,Nivel 4,Nivel 4,59,59,1,1,True
30,280,280,280,,,Entrada,Entrada,62,62,1,1,True
31,281,281,281,,,Fortaleza Nivel 1,Fortaleza Nivel 1,63,63,1,1,True
32,282,282,282,,,Fortaleza Nivel 2,Fortaleza Nivel 2,64,64,1,1,True
33,283,283,283,,,Tanques Nivel 1,Tanques Nivel 1,65,65,1,1,True
34,284,284,284,,,Tanques Nivel 2,Tanques Nivel 2,66,66,1,1,True
35,290,290,290,,,Cráter,Cráter,69,69,1,1,True
36,291,291,291,,,Nivel 1,Nivel 1,70,70,1,1,True
37,300,300,300,,,Adytum,Adytum,73,73,1,1,True
38,301,301,301,,,Centro de la Ciudad,Centro de la Ciudad,74,74,1,1,True
39,302,302,302,,,Biblioteca,Biblioteca,75,75,1,1,True
40,303,303,303,,,Fortaleza,Fortaleza,76,76,1,1,True
41,304,304,304,,,Almacén,Almacén,77,77,1,1,True
42,310,310,310,,,Entrada,Entrada,80,80,1,1,True
43,311,311,311,,,Interior,Interior,81,81,1,1,True
44,500,500,500,,,¡Has ganado 10.000 puntos de experiencia!,¡Has ganado 10.000 puntos de experiencia!,84,84,1,1,True
45,501,501,501,,,Ruinas,Ruinas,85,85,1,1,True
46,1000,1000,1000,,,Desierto,Desierto,90,90,1,1,True
47,1001,1001,1001,,,Montañas,Montañas,91,91,1,1,True
48,1002,1002,1002,,,Ciudad,Ciudad,92,92,1,1,True
49,1003,1003,1003,,,Costa,Costa,93,93,1,1,True
50,1004,1004,1004,,,Desconocido,Desconocido,94,94,1,1,True
