index,chunk_index,file_offset,payload_offset,payload_size,opcode,opcode_name,version
0,0,30,34,6,0x0A,init_video_mode,0
1,0,40,44,8,0x05,init_video_buffers,2
2,0,52,56,766,0x0C,set_palette,0
3,0,822,826,4,0x15,documented_unknown_15,0
4,0,830,834,0,0x01,end_of_chunk,0
5,1,838,842,10,0x03,init_audio_buffers,1
6,1,852,856,0,0x01,end_of_chunk,0
7,2,860,864,2932,0x08,audio_frame,0
8,2,3796,3800,6,0x09,silence_frame,0
9,2,3806,3810,0,0x01,end_of_chunk,0
10,3,3814,3818,2952,0x08,audio_frame,0
11,3,6770,6774,6,0x09,silence_frame,0
12,3,6780,6784,0,0x01,end_of_chunk,0
13,4,6788,6792,2952,0x08,audio_frame,0
14,4,9744,9748,6,0x09,silence_frame,0
15,4,9754,9758,0,0x01,end_of_chunk,0
16,5,9762,9766,2952,0x08,audio_frame,0
17,5,12718,12722,6,0x09,silence_frame,0
18,5,12728,12732,0,0x01,end_of_chunk,0
19,6,12736,12740,2952,0x08,audio_frame,0
20,6,15692,15696,6,0x09,silence_frame,0
21,6,15702,15706,0,0x01,end_of_chunk,0
22,7,15710,15714,2952,0x08,audio_frame,0
23,7,18666,18670,6,0x09,silence_frame,0
24,7,18676,18680,0,0x01,end_of_chunk,0
25,8,18684,18688,2952,0x08,audio_frame,0
26,8,21640,21644,6,0x09,silence_frame,0
27,8,21650,21654,0,0x01,end_of_chunk,0
28,9,21658,21662,2952,0x08,audio_frame,0
29,9,24614,24618,6,0x09,silence_frame,0
30,9,24624,24628,0,0x01,end_of_chunk,0
31,10,24632,24636,2952,0x08,audio_frame,0
32,10,27588,27592,6,0x09,silence_frame,0
33,10,27598,27602,0,0x01,end_of_chunk,0
34,11,27606,27610,2952,0x08,audio_frame,0
35,11,30562,30566,6,0x09,silence_frame,0
36,11,30572,30576,0,0x01,end_of_chunk,0
37,12,30580,30584,2952,0x08,audio_frame,0
38,12,33536,33540,6,0x09,silence_frame,0
39,12,33546,33550,0,0x01,end_of_chunk,0
40,13,33554,33558,2952,0x08,audio_frame,0
41,13,36510,36514,6,0x09,silence_frame,0
42,13,36520,36524,0,0x01,end_of_chunk,0
43,14,36528,36532,2952,0x08,audio_frame,0
44,14,39484,39488,6,0x09,silence_frame,0
45,14,39494,39498,0,0x01,end_of_chunk,0
46,15,39502,39506,2952,0x08,audio_frame,0
47,15,42458,42462,6,0x09,silence_frame,0
48,15,42468,42472,0,0x01,end_of_chunk,0
49,16,42476,42480,6,0x02,create_timer,0
50,16,42486,42490,1080,0x0F,set_decoding_map,0
51,16,43570,43574,2952,0x08,audio_frame,0
52,16,46526,46530,6,0x09,silence_frame,0
53,16,46536,46540,44404,0x11,video_data_11,3
54,16,90944,90948,132,0x13,documented_unknown_13,0
55,16,91080,91084,0,0x04,start_stop_audio,0
56,16,91084,91088,6,0x07,send_buffer,1
57,16,91094,91098,0,0x01,end_of_chunk,0
58,17,91102,91106,1080,0x0F,set_decoding_map,0
59,17,92186,92190,2932,0x08,audio_frame,0
60,17,95122,95126,6,0x09,silence_frame,0
61,17,95132,95136,14042,0x11,video_data_11,3
62,17,109178,109182,132,0x13,documented_unknown_13,0
63,17,109314,109318,0,0x04,start_stop_audio,0
64,17,109318,109322,6,0x07,send_buffer,1
65,17,109328,109332,0,0x01,end_of_chunk,0
66,18,109336,109340,1080,0x0F,set_decoding_map,0
67,18,110420,110424,2952,0x08,audio_frame,0
68,18,113376,113380,6,0x09,silence_frame,0
69,18,113386,113390,14048,0x11,video_data_11,3
70,18,127438,127442,132,0x13,documented_unknown_13,0
71,18,127574,127578,0,0x04,start_stop_audio,0
72,18,127578,127582,6,0x07,send_buffer,1
73,18,127588,127592,0,0x01,end_of_chunk,0
74,19,127596,127600,1080,0x0F,set_decoding_map,0
75,19,128680,128684,2952,0x08,audio_frame,0
76,19,131636,131640,6,0x09,silence_frame,0
77,19,131646,131650,14080,0x11,video_data_11,3
78,19,145730,145734,132,0x13,documented_unknown_13,0
79,19,145866,145870,0,0x04,start_stop_audio,0
80,19,145870,145874,6,0x07,send_buffer,1
81,19,145880,145884,0,0x01,end_of_chunk,0
82,20,145888,145892,1080,0x0F,set_decoding_map,0
83,20,146972,146976,2952,0x08,audio_frame,0
84,20,149928,149932,6,0x09,silence_frame,0
85,20,149938,149942,14078,0x11,video_data_11,3
86,20,164020,164024,132,0x13,documented_unknown_13,0
87,20,164156,164160,0,0x04,start_stop_audio,0
88,20,164160,164164,6,0x07,send_buffer,1
89,20,164170,164174,0,0x01,end_of_chunk,0
90,21,164178,164182,1080,0x0F,set_decoding_map,0
91,21,165262,165266,2952,0x08,audio_frame,0
92,21,168218,168222,6,0x09,silence_frame,0
93,21,168228,168232,14078,0x11,video_data_11,3
94,21,182310,182314,132,0x13,documented_unknown_13,0
95,21,182446,182450,0,0x04,start_stop_audio,0
96,21,182450,182454,6,0x07,send_buffer,1
97,21,182460,182464,0,0x01,end_of_chunk,0
98,22,182468,182472,1080,0x0F,set_decoding_map,0
99,22,183552,183556,2952,0x08,audio_frame,0
100,22,186508,186512,6,0x09,silence_frame,0
101,22,186518,186522,14062,0x11,video_data_11,3
102,22,200584,200588,132,0x13,documented_unknown_13,0
103,22,200720,200724,0,0x04,start_stop_audio,0
104,22,200724,200728,6,0x07,send_buffer,1
105,22,200734,200738,0,0x01,end_of_chunk,0
106,23,200742,200746,1080,0x0F,set_decoding_map,0
107,23,201826,201830,2952,0x08,audio_frame,0
108,23,204782,204786,6,0x09,silence_frame,0
109,23,204792,204796,14054,0x11,video_data_11,3
110,23,218850,218854,132,0x13,documented_unknown_13,0
111,23,218986,218990,0,0x04,start_stop_audio,0
112,23,218990,218994,6,0x07,send_buffer,1
113,23,219000,219004,0,0x01,end_of_chunk,0
114,24,219008,219012,1080,0x0F,set_decoding_map,0
115,24,220092,220096,2952,0x08,audio_frame,0
116,24,223048,223052,6,0x09,silence_frame,0
117,24,223058,223062,14042,0x11,video_data_11,3
118,24,237104,237108,132,0x13,documented_unknown_13,0
119,24,237240,237244,0,0x04,start_stop_audio,0
120,24,237244,237248,6,0x07,send_buffer,1
121,24,237254,237258,0,0x01,end_of_chunk,0
122,25,237262,237266,1080,0x0F,set_decoding_map,0
123,25,238346,238350,2952,0x08,audio_frame,0
124,25,241302,241306,6,0x09,silence_frame,0
125,25,241312,241316,14032,0x11,video_data_11,3
126,25,255348,255352,132,0x13,documented_unknown_13,0
127,25,255484,255488,0,0x04,start_stop_audio,0
128,25,255488,255492,6,0x07,send_buffer,1
129,25,255498,255502,0,0x01,end_of_chunk,0
130,26,255506,255510,1080,0x0F,set_decoding_map,0
131,26,256590,256594,2952,0x08,audio_frame,0
132,26,259546,259550,6,0x09,silence_frame,0
133,26,259556,259560,14032,0x11,video_data_11,3
134,26,273592,273596,132,0x13,documented_unknown_13,0
135,26,273728,273732,0,0x04,start_stop_audio,0
136,26,273732,273736,6,0x07,send_buffer,1
137,26,273742,273746,0,0x01,end_of_chunk,0
138,27,273750,273754,1080,0x0F,set_decoding_map,0
139,27,274834,274838,2952,0x08,audio_frame,0
140,27,277790,277794,6,0x09,silence_frame,0
141,27,277800,277804,14048,0x11,video_data_11,3
142,27,291852,291856,132,0x13,documented_unknown_13,0
143,27,291988,291992,0,0x04,start_stop_audio,0
144,27,291992,291996,6,0x07,send_buffer,1
145,27,292002,292006,0,0x01,end_of_chunk,0
146,28,292010,292014,1080,0x0F,set_decoding_map,0
147,28,293094,293098,2952,0x08,audio_frame,0
148,28,296050,296054,6,0x09,silence_frame,0
149,28,296060,296064,14044,0x11,video_data_11,3
150,28,310108,310112,132,0x13,documented_unknown_13,0
151,28,310244,310248,0,0x04,start_stop_audio,0
152,28,310248,310252,6,0x07,send_buffer,1
153,28,310258,310262,0,0x01,end_of_chunk,0
154,29,310266,310270,1080,0x0F,set_decoding_map,0
155,29,311350,311354,2952,0x08,audio_frame,0
156,29,314306,314310,6,0x09,silence_frame,0
157,29,314316,314320,14026,0x11,video_data_11,3
158,29,328346,328350,132,0x13,documented_unknown_13,0
159,29,328482,328486,0,0x04,start_stop_audio,0
160,29,328486,328490,6,0x07,send_buffer,1
161,29,328496,328500,0,0x01,end_of_chunk,0
162,30,328504,328508,1080,0x0F,set_decoding_map,0
163,30,329588,329592,2952,0x08,audio_frame,0
164,30,332544,332548,6,0x09,silence_frame,0
165,30,332554,332558,14060,0x11,video_data_11,3
166,30,346618,346622,132,0x13,documented_unknown_13,0
167,30,346754,346758,0,0x04,start_stop_audio,0
168,30,346758,346762,6,0x07,send_buffer,1
169,30,346768,346772,0,0x01,end_of_chunk,0
170,31,346776,346780,1080,0x0F,set_decoding_map,0
171,31,347860,347864,2952,0x08,audio_frame,0
172,31,350816,350820,6,0x09,silence_frame,0
173,31,350826,350830,14046,0x11,video_data_11,3
